title,Pain & Anxiety Control Final Exam (Spring 2023),painanx,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Statement 1: The primary action of local anesthetics in producing a conduction blockade is to decrease the permeability of ion channels to potassium ions. Statement 2: Sodium ions exert a regulatory role on the movement of calcium ions across the nerve membrane.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,D,
Statement 1: Nerve blocks produced by local anesthetics are called nondepolarizing nerve blocks. Statement 2: Nerve blocks produced by succinylcholine are called depolarizing blockades.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,C,
Benzocaine is an anesthetic that is not suitable for injection due to the absence of the __________ part of the molecule.,Lipophilic,Hydrophilic,Ester,Amide,,B,
Statement 1: Local anesthetics with a higher pKa possess a more rapid onset of action than those with a lower pKa. Statement 2: Local anesthetics are basic compounds and are poorly soluble in water.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,B,
"A 62-year-old male patient presents to your dental practice with severe dental pain on tooth #30. Intra-oral clinical examination reveals a purulent lesion in the area of #30. Radiographic examination of #30 reveals a periapical radiolucency and gross decay with furcation involvement. You recommend extraction with local anesthesia to your patient and obtain informed consent to proceed. You give the following injections: right inferior alveolar nerve, lingual nerve and right long buccal nerve. You begin with the periosteal elevator and your patient jumps out of the chair, wincing in pain. With your new understanding of local anesthetics, you recommend the following course of action to your patient:",Continue with extraction of #30 after giving supplemental local anesthesia,Continue with extraction of #30 with N2O-O2,Defer extraction of #30 to a later date,Prescribe antibiotics and defer extraction of #30 until after they have finished the course of antibiotics,,D,
"When sodium bicarbonate is added to an anesthetic solution or when it's given just prior to local anesthetic injection, it produces which of the following effects:",Speeds the onset of action of the local anesthetic,Decreases the clinical effectiveness of the local anesthetic,Makes the injection more comfortable for the patient,Has no clinical or chemical effect,,A,
Which local anesthetic is more potent? Procaine (pKa =9.1; Lipid Solubility =1.0; Protein Binding =5) Lidocaine (pKa =7.7; Lipid Solubility =4.0; Protein Binding =65).,Procaine,Lidocaine,,,,B,
Which local anesthetic has a faster onset of action? Tetracaine (pKa =8.4; Lipid Solubility =80; Protein Binding =85) Articaine (pKa =7.8; Lipid Solubility =17; Protein Binding =95).,Tetracaine,Articaine,,,,B,
Which local anesthetic has the longest duration of action? Procaine (pKa =9.1; Lipid Solubility =1.0; Protein Binding =5) Lidocaine (pKa =7.7; Lipid Solubility =4.0; Protein Binding =65) Tetracaine (pKa =8.4; Lipid Solubility =80; Protein Binding =85) Articaine (pKa =7.8; Lipid Solubility =17; Protein Binding =95).,Procaine,Lidocaine,Tetracaine,Articaine,,D,
"Statement 1: Bupivacaine results in a longer recovery from a nerve blockade than that of lidocaine. Statement 2: When epinephrine is added to a local anesthetic solution, it results in an increased duration of the nerve block by increasing tissue perfusion to the area.",Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,A,
What was the first local anesthetic agent?,Cocaine,Procaine,Tetracaine,Chloroprocaine,,A,
Lidocaine can be given intravenously for the management of ventricular arrhythmias.,True,False,,,,A,
Which organ systems will have the highest anesthetic blood level of local anesthetics after initial administration?,Highly perfused organs,Organs with low perfusion,,,,A,
Which of the following local anesthetics has the longest elimination half-life?,Articaine,Lidocaine,Cocaine,Bupivacaine,,D,
"A patient reports they have an atypical form of pseudocholinesterase, which leads to: Statement 1: An increased risk of toxicity of amide local anesthetics. Statement 2: Prolongation of skeletal muscle paralysis from succinylcholine administration.",Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,B,
What is the primary site of excretion of ester and amide local anesthetics?,Kidney,Liver,Lungs,Heart,,A,
"All of the following are signs and symptoms of central nervous system toxicity by local anesthetics, EXCEPT:",Slurred speech,Shivering,Numbness of the tongue,Alertness,,D,
"All of the following are naturally occurring catecholamines of the sympathetic nervous system, EXCEPT:",Levonordefrin,Epinephrine,Dopamine,Norepinephrine,,A,
A 1:1000 dilution is equivalent to X mg/mL. Solve for X.,0.01 mg/mL,0.1 mg/mL,1.0 mg/mL,10 mg/mL,,C,
What is the maximum dose of epinephrine that may be given to healthy patients per appointment?,0.02 mg,0.2 mg,2 mg,20 mg,,B,
A 3-year-old patient presents to your practice for a stainless-steel crown of tooth # S. Which of the following local anesthetics would you be least likely to administer?,Bupivacaine,Lidocaine,Mepivacaine,Prilocaine,,A,
"A 58-year-old male patient presents to your practice and reports he believes he has uncontrolled hyperthyroidism. You request a medical consultation from his physician to determine the severity of his disease. The physician reports that his hyperthyroidism is uncontrolled even with medications and provides you with his lab values. After review of this consultation, you confidently give him an ASA 3 status. If this patient were to require dental treatment, which of the following would you be sure to avoid given his diagnosis?",Gingival retraction cord with racemic epinephrine,"Local anesthetics with epinephrine 1:200,000","Local anesthetics with epinephrine 1:100,000",4% Prilocaine,,A,
Statement 1: Deposition of local anesthesia at a great distance from the nerve has no effect on depth or duration of anesthesia. Statement 2: Increased vascularity of tissue results in rapid absorption of local anesthesia and therefore decreased duration of anesthesia.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,B,
What is the maximum recommended dose of lidocaine with a vasoconstrictor in mg/kg?,7.0,2.0,6.6,8.0,,A,
"How many milligrams of 0.5% Bupivacaine are in one, 1.8 mL dental cartridge?",5,9,36,72,,B,
"An 18-year-old female patient presents for extraction of #1 and #16. Over the duration of the procedure, the surgeon administered approximately 3mL's of 4% Articaine. How many milligrams of Articaine has the patient received?",120 mg,12 mg,1200 mg,1.2 mg,,A,
"A 30-year-old male patient with no significant past medical history, weighs 165 pounds. What is the maximum dose of 2% Lidocaine with 1:100,000 epinephrine that he may receive? What is the maximum dose of epinephrine that he may receive?",500 mg of lidocaine; 0.2 mg of epinephrine,525 mg of lidocaine; 0.2 mg of epinephrine,400 mg of lidocaine; 0.2 mg of epinephrine,495 mg of lidocaine; 0.02 mg of epinephrine,,A,
"A 68-year-old male, with congestive heart failure who had a myocardial infarction 6 months ago, presents for an emergency extraction of tooth #18 in a hospital-based setting. The patient weighs 100 kilograms. What is the maximum number of cartridges of 2% lidocaine with 1:100,000 epinephrine that he may receive?",11 cartridges,19 cartridges,4 cartridges,2 cartridges,,D,
Statement 1: There is no guaranteed formula for determining the maximum dose of multiple local anesthetic drugs. Statement 2: The best method is to ensure the total dose of both local anesthetics does not exceed the lower of the two maximum doses for the individual anesthetics.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,C,
"A dental anesthetic carpule contains 1.8 mL of a 2% solution of lidocaine with 1:50,000 epinephrine. How much lidocaine and epinephrine does the carpule contain?",36 mg lidocaine and 0.036 mg epinephrine,36 mg lidocaine and 0.36 mg epinephrine,36 mg lidocaine and 0.018 mg epinephrine,3.6 mg lidocaine and 0.018 mg epinephrine,,A,
Statement 1: Prilocaine undergoes biotransformation in the lungs. Statement 2: Prilocaine is relatively contraindicated in patients with congenital methemoglobinemia.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false.,,C,
Where does biotransformation of Articaine occur?,Plasma and Liver,Kidneys and Lungs,Plasma,Liver,Kidneys,A,
"EMLA or Eutectic Mixture of Local Anesthesia, is composed of which two local anesthetics?",Lidocaine and Prilocaine,Lidocaine and Articaine,Lidocaine and Bupivacaine,Lidocaine and Mepivacaine,,A,
Statement 1: Oraverse (phentolamine mesylate) is a beta-adrenergic receptor antagonist. Statement 2: Oraverse is a local anesthesia reversal agent.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false,,B,
"A 2-year-old patient presents for a pulpotomy and stainless-steel crown on #T. The patient weighs 30 pounds. How many cartridges of 2% lidocaine with epinephrine 1:100,000 can you administer to this patient?",1.7 cartridges,3.8 cartridges,2 cartridges,"Zero, it's contraindicated in pediatric patients",,A,
A patient reports they have a prosthetic joint. Prophylactic antibiotics are not recommended prior to dental procedures due to the prosthesis to prevent infection.,True,False,,,,A,
"A 72-year-old male patient with congestive heart failure, hypertension, coronary artery disease and GERD presents to you in your general practice residency program for full mouth extractions. The patient report he is taking Ranitidine for GERD. Which local anesthetics should you avoid administering to this patient?",Amides,Esters,All of the Above,None of the Above,,D,
What is the treatment for methemoglobinemia?,Methylene blue,Methylene green,Oraverse,Narcan,,A,
"All of the following are useful preventative measures to decrease the incidence of needle breakage into tissue, EXCEPT:",Use of small gauge needles,Use of long needles,Avoiding insertion of the needle into tissues up to the hub,Avoiding redirection of the needle once it is inserted into tissue,,A,
"While giving a maxillary injection above tooth #6, you believe you may have inadvertently injected into the orbit via the inferior orbital fissure because you notice your patient is exhibiting ptosis of the right eye. The treatment for this is:",Reassurance to the patient that this is not permanent,Cover the right eye with a gauze dressing,Referral to an ophthalmologist for evaluation if ptosis lasts >6 hours,All of the above,None of the above,D,
What is the likely cause of your patient who appears like the image depicted after administration of an inferior alveolar nerve block?,Local anesthesia injected into the parotid gland,Local anesthesia injected into the buccinator muscle,Local anesthesia injected into the orbital nerve,Local anesthesia injected into the masseter muscle,,A,images/painanx-final-spring-2023/fig41.jpeg
A 19-year-old female patient who was seen in your office 4 days ago for extraction of #32 presents today with pain and difficulty opening her mouth. What is the management of this complication?,Warm compress,Analgesics,Physiotherapy,All of the above,,D,
What is the management of a hematoma?,Warm compress,Cold compress,,,,B,
This image depicts a:,Cricothyrotomy kit,Direct laryngoscopy kit,Tracheostomy kit,,,A,images/painanx-final-spring-2023/fig44.jpeg
Overdose of local anesthetics is more likely to occur in which of the following patients?,78-year-old,18-year-old,35-year-old,50-year-old,,A,
Which of the following injection techniques is considered a “true mandibular nerve block”?,Gow Gates,Inferior Alveolar,Vazirani Akinosi,Long Buccal,,A,
"All of the following nerves are anesthetized with a successful Gow Gates injection technique, EXCEPT?",Inferior Alveolar,Mylohyoid,Auriculotemporal,Mental,Lateral Pterygoid,E,
Select the correct extraoral and intraoral landmarks for the Gow Gates injection technique:,Extraoral: external auditory meatus and corner of mouth; Intraoral: distal to the maxillary 2nd molar at the height just below the mesiopalatal cusp of the maxillary 2nd molar,Extraoral: internal auditory meatus and corner of mouth; Intraoral: mesial to the maxillary 2nd molar at the height just above the mesiopalatal cusp of the maxillary 2nd molar,Extraoral: angle of mandible and corner of mouth; Intraoral: distal to the maxillary 1st molar at the height just below the mesiopalatal cusp of the maxillary 1st molar,Extraoral: internal auditory meatus and corner of mouth; Intraoral: mesial to the maxillary 2nd molar at the height just above the distal-palatal cusp of the maxillary 2nd molar,,A,
Statement 1: The Vazirani-Akinosi injection technique is a useful technique in patients with severe trismus. Statement 2: The height of Vazirani-Akinosi injection is below that of the Gow Gates and above that of the inferior alveolar nerve block.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false,,B,
Statement 1: An example of a dynamic pressure sensing technology system for local anesthesia injection technique is the Wand/STA system. Statement 2: The Wand/STA system allows the periodontal ligament injection to be used as a predictable primary injection.,Statement 1 is true and Statement 2 is false.,Statement 1 is false and Statement 2 is true.,Both Statement 1 and Statement 2 are true.,Both Statement 1 and Statement 2 are false,,C,
"Regarding an aspirating syringe, the harpoon is meant to pierce the rubber plunger/stopper of the anesthetic cartridge.",True,False,,,,A,
Which of the following is true of a dental anesthetic cartridge?,The anesthetic solution is contained within a plastic cylinder.,The rubber plunger/stopper is flush with the edge of the glass cylinder.,The expiration date is printed on the glass cylinder.,The rubber plunger/stopper is surrounded by an aluminum cap.,,B,
The 27-gauge dental needle has a larger diameter than the 30-gauge dental needle.,True,False,,,,A,
Which of the following is NOT true about the Pro Tector needle sheath prop?,It should always be used for the anesthetic apparatus in TDH clinic.,It minimizes the risk of needle stick injury by holding the anesthetic cartridge during assembly of the anesthetic syringe apparatus.,It minimizes the risk of needle stick injury by holding the needle sheath during recapping of the needle.,It is disposable.,,B,
Engaging the harpoon of the anesthetic syringe with the rubber stopper of the anesthetic cartridge is essential,to ensure the aspiration function of the syringe,to ensure the needle is patent,to prevent backflow into the cartridge,engaging the harpoon is not essential,,A,
The site of needle insertion at the mucobuccal fold is appropriate for which of the following local anesthesia techniques?,Supraperiosteal injection,Inferior alveolar nerve block,(long) buccal nerve block,Lingual nerve block,,A,
The posterior superior alveolar nerve block is considered a high-risk area for local anesthetic injection due to the presence of which vessel(s) in the infratemporal fossa?,Pterygoid plexus of veins,Inferior alveolar vein,Inferior alveolar artery,Sphenopalatine artery,,A,
"A dental student administers an inferior alveolar nerve block for extraction of teeth #s 29 and 30. They confirm that the patient's right side of the tongue and right lower lip are numb before continuing with treatment. During use of the periosteal elevator, the patient indicates that they feel discomfort and pain. The most likely reason for the patient's pain is:","Incorrect technique for administration of the inferior alveolar nerve block, missing the nerve","The inferior alveolar nerve block only provides pulpal anesthesia for teeth #s 30, 31, and 32 including buccal and lingual periodontal tissue and bone of the same area",The inferior alveolar nerve block does not provide anesthesia of the buccal periodontal tissue and bone of mandibular molars,The patient is anxious and only think they feel pain,,C,
Statement 1: The nasopalatine nerve block anesthetizes the region of the primary palate and overlying soft tissues. Statement 2: The greater palatine nerve block anesthetizes the region of the secondary hard palate and overlying soft tissues.,Both statement 1 and statement 2 are true.,Both statement 1 and statement 2 are false.,Statement 1 is true and statement 2 is false.,Statement 1 is false and statement 2 is true.,,A,
A dental student is planning to complete an occlusal restoration of tooth #12. The most appropriate technique for administering local anesthesia for pulpal anesthesia is:,Supraperiosteal injection,Middle superior alveolar nerve block,Long buccal nerve block,Nasopalatine nerve block,,A,
The terminal branch of the inferior alveolar nerve is the,Mylohyoid nerve,Mental nerve,Buccal nerve,Lingual nerve,,B,
Which of the following is an anatomic landmark used for the antero-posterior placement of an inferior alveolar nerve block?,Palatoglossal arch,Coronoid notch,Pterygomandibular raphe,Premolars of the opposite side,,C,
"Which nerve provides sensory innervation to the buccinator muscle, buccal mucosa, and buccal gingiva and bone of the mandibular molars?",Lingual nerve,Inferior alveolar nerve,(Long) buccal nerve,Mental nerve,,C,
"When performing an inferior alveolar nerve block, it is possible to inject too posteriorly and anesthetize the facial nerve.",True,False,,,,A,
"When performing an inferior alveolar nerve block, which nerve is also anesthetized by stopping halfway on removing the needle?",Mental nerve,(Long) buccal nerve,Mylohyoid nerve,Lingual nerve,,D,
"A dental resident is called to the emergency room to evaluate a patient who fell and hit their face. Upon examination, the dentition and bone are intact, with no fractures or mobility noted. However, the labial mucosa opposite tooth #21 has a laceration that requires sutures. Which nerve should be anesthetized prior to placing sutures?",Left (long) buccal nerve,Right (long) buccal nerve,Left mental nerve,Right mental nerve,,C,
The inferior alveolar nerve enters the mandible via the mandibular foramen. The bony landmark just outside the foramen is the:,Styloid process,Coronoid process,Lingula,Mastoid process,,C,
Statement 1: The lingual nerve provides sensory innervation for the anterior two thirds of the tongue. Statement 2: The mental nerve provides sensory innervation for the mandibular incisors.,Both statement 1 and statement 2 are true.,Both statement 1 and statement 2 are false.,Statement 1 is true and statement 2 is false.,Statement 1 is false and statement 2 is true.,,C,
Which of the following nerve locations can be approximated using dental radiographs?,Mental nerve,Lingual nerve,Facial nerve,Maxillary nerve,,A,
"Statement 1: When completing an inferior alveolar nerve block, the lingual nerve block is accomplished by removing the needle halfway before injecting the remaining anesthetic solution. Statement 2: Aspiration is necessary during this step.",Both statement 1 and statement 2 are true.,Both statement 1 and statement 2 are false.,Statement 1 is true and statement 2 is false.,Statement 1 is false and statement 2 is true.,,A,
