title,Preclinical Pediatric Dentistry Final Exam (Spring 2022),pedo,final
question,option_a,option_b,option_c,option_d,correct,image
Which organization releases the guidelines of pediatric dentistry that we follow?,American Academy of Pediatric Dentistry,Dental Town,American Dental Association,Ninth District Dental Association,A,
Stainless steel crown retention is primarily provided by:,Beveling the occlusal-lingual of the tooth,The buccal bulge,Grooves located on the internal aspect of the stainless steel crown,Tapering the preparation all the way around,B,
All of the following are true about stainless steel crowns except:,The smallest crown that can be seated on the tooth properly should be selected,They are the restoration of choice for primary teeth that require a pulpotomy,The provider should easily be able to take it off with his fingers after trying it on the patient and before cementation,They can be crimped at the margins,C,
Which of the following is true about stainless steel crown preparations?,A long skinny tapered diamond bur can be used to reduce the interproximals.,A stainless steel crown preparation is very similar to a PFM crown preparation.,2.5 mm of the buccal bulge should be removed.,A stainless steel crown should have a shoulder finish line.,A,
All of the following are true about primary tooth pulpotomies except:,All coronal pulp tissue should be amputated.,Not all pulp horns need to be exposed.,The furcation should not be perforated.,A spoon excavator can be used to remove pulp tissue.,B,
Which of the following is true regarding pulpal therapy on primary teeth?,A rubber dam should not be in place.,A cotton pellet impregnated with formocresol should be left in the tooth and covered with IRM.,The pulp should be fairly hemostatic before being filled with IRM.,A glass ionomer is the restoration of choice after pulpal therapy on primary teeth.,C,
All of the following are members of a vulnerable population except:,A 17 year old gay male living at home,A 7 year old male with ADHD,A 9 year old female recently moved to NY from India,A 12 year old female adopted at 6 months old.,D,
All of the following impact a patient's health and well being in a negative manner except:,Living in a home with one bathroom for 8 people,Living in a community with access to transportation,Poor language skills,Living in a food desert,B,
"According to the American Academy of Pediatrics, all of the following are prevalent in today's childhood population except:",childhood obesity,dental caries,Acute Lymphocytic Leukemia,early mental health issues,C,
According to the 2016-2017 National Health and Nutrition Examination Survey poor oral health is strongly linked to which of the following?,Poor academic performance and missed school days,Failure to thrive,Disliking the dentist,Mucocele development,A,
Which of the following is a neurological disorder of executive function?,Autism,Asperger's,ADHD,Speech and language delay,C,
All of the following are true of ADHD except:,In teens it may present as anti-social behavior,Several symptoms must be present prior to 12 years old,May be associated with anxiety or depression,Child wants to perform the task but cannot intellectually understand what he needs to do,D,
All of the following are examples of anticipatory guidance except:,Explaining to a patient that the 6 year molars will be erupting shortly,Letting a patient know that they may need orthodontic treatment in a few years due to crossbite,Placing SDF on incipient carious lesions,Explaining that certain medications may cause xerostomia,C,
Unusual responses to sensory overload such as the sound of a handpiece and a bright overhead light is common in which special needs population? What technique can a dentist use to acclimate a patient to dental visits?,ADHD; desensitization,ADHD; voice control,Autism Spectrum Disorder; voice control,Autism Spectrum Disorder; desensitization,D,
Statement 1: Children with Autism Spectrum Disorder may “pouch” food. Statement 2: “Pouching” food means not chewing their food and swallowing it whole.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements true.,Both statements are false.,A,
All of the following are risk factors for leukemia except:,Parental smoking,Down Syndrome,Childhood Disintegrative Disorder,Ionizing Radiation,C,
Statement 1: Primary teeth with any carious lesion should be extracted prior to the start of cancer therapy. Statement 2: Ideally all dental care should be completed prior to the start of cancer therapy.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements true.,Both statements are false.,B,
What is the Absolute Neutrophil Count (ANC) an indicator of?,The host's ability to suppress or eliminate infection.,The host's ability to form a blood clot.,The host's ability to maintain blood pressure.,The host's ability to salivate.,A,
Which of the following is true of patients with ALL?,The cure rate is under 70%,Braces must always be removed,There is no need for oral hygiene instructions as these patients are dealing with enough,"Common signs and symptoms include intraoral bleeding, petechiae, fever",D,
Statement 1: SDF is a caries arresting medicament. Statement 2: SDF restores form and function.,The first statement is true. The second statement is false.,The first statement is false. The second statement is true.,Both statements true.,Both statements are false.,A,
Which of the following is a contraindication for SDF?,Cavitated occlusal lesion,Incipient interproximal caries,Irreversible pulpitis,Root caries,C,
"For lesions that are not restored after SDF therapy, how many reapplications of SDF can the patient receive?",Biannually,It only needs to be applied once,Twice per week,Whenever the child is in pain,A,
All of the following are actions of SDF except:,Arrest dental caries,Prevent dental caries,Causes tissue fixation of vital pulp to prevent pain,Decreases dentinal hypersensitivity,C,
The restorative material of choice when a cavitated tooth is being restored by the SMART technique is:,Stainless steel crown,Fluoride varnish,Glass ionomer,Resin modified sealant,C,
A bruised lip and a torn labial frenum is a common intra-oral finding of:,Electrical burn,Hand Foot Mouth disease,Child abuse,Acute Lymphocytic Leukemia,C,images/pedo-final-spring-2022/fig25.jpeg
"Mandated reporters are required to report suspected child abuse or maltreatment, in their professional capacity, only when they have definitive evidence of child abuse or maltreatment.",True,False,,,B,
New York State recognizes dentists as certain professionals that are specially equipped to fulfill the important role of mandated reporter of child abuse or maltreatment.,True,False,,,A,
"Cases of dental neglect may include untreated caries and/or gum disease that interfere with the child's ability to eat, communicate, grow and develop properly.",True,False,,,A,
