title,GDA Quiz 3 (Summer 2017),gda,quiz
question,option_a,option_b,option_c,option_d,correct,image
Name the developmental defect shown in the figure.,Amelogenesis Imperfecta,Tetracycline staining,Rh Incompatability,Congenital Syphilis,B,images/gda-quiz-summer-2017-3/fig1.jpeg
Cranial Nerve I is the the Olfactory Nerve and is responsible for smell.,True,False,,,A,
Pharyngeal arch 2 is rudimentary and does not have an adult derivative.,True,False,,,A,
The figures provided depict ectodermal dysplasia.,True,False,,,A,images/gda-quiz-summer-2017-3/fig4.jpeg
Identify the developmental defect shown in the attached figure.,Erythropoietic porphyria,Rh Incompatability,Tetracycline staining,Fluorosis,A,images/gda-quiz-summer-2017-3/fig5.jpeg
Name the developmental defect shown in the figure.,Rh Incompatability,Fluorosis,Dentinogensis Imperfecta,Dentin dysplasia,B,images/gda-quiz-summer-2017-3/fig6.jpeg
Name the developmental defect shown in the figure.,Rh Incompatability,Fluorosis,Gemination,Hutchinson's Incisors,A,images/gda-quiz-summer-2017-3/fig7.jpeg
Name the developmental defect shown in the figure.,Taurodontism,Gemination,Fusion,Dens invaginatus,A,images/gda-quiz-summer-2017-3/fig8.jpeg
Identify the developmental defect shown in the figure.,Dens evaginatus,Dens invaginatus,Hutchinson's incisor,Gemination,A,images/gda-quiz-summer-2017-3/fig9.jpeg
A patient with supernumerary teeth could have more than 32 total teeth.,True,False,,,A,
