title,Oral & Maxillofacial Surgery Final Exam (Spring 2019),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"Consider the following statements regarding oral pathology diagnostic adjuncts. I. Use of these techniques eliminates the need for performing conventional biopsies. II. Currently available adjuncts are based on cytology, vital stains, light, and molecular biomarkers. III. These techniques may result in false negatives and false positives. IV. Use of these techniques is accompanied by significant surgical risk. Which of the above statements are FALSE?",I &II.,I &III.,I &IV.,II &III.,II &IV.,,C,
"All of the following characteristics of a pathologic lesion raise suspicions for malignancy, EXCEPT:",Lesion exhibits slow growth.,Lesion bleeds on gentle manipulation.,Lesion feels attached to adjacent structures.,Lesion and surrounding tissues are firm to touch.,Lesion has persisted more than two weeks.,,A,
Which of the following characteristics of an oral lesion should NOT be considered an indication for biopsy?,Intrabony lesions that appear to be enlarging.,Visible or palpable submucosal swelling beneath clinically normal mucosa.,Any unknown lesion in a high-risk area for malignancy.,Any lesion that does not resolve following routine clinical management (i.e. removal of local irritant) within 2 days,Any lesion that is of extreme concern to the patient.,,D,
Which of the following statements regarding biopsy procedures is FALSE?,A patient who does not follow a recommendation for biopsy should be required to sign a Refusal of Treatment form.,A patient who does not return for follow-up as recommended regarding a pathologic lesion should be contacted by various methods including phone and writing.,"A biopsy log which includes patient identification, date of biopsy, information regarding how and when specimen was sent out and results returned, and communication with patient regarding these results should be maintained.","As long as a histopathologic diagnosis obtained after biopsy of a suspicious lesion is benign, no further treatment or follow-up needs to be performed.",Appropriate referral must be made after histopathologic diagnosis is obtained from a biopsy specimen.,,D,
"Which of these statements is/are TRUE regarding INCISIONAL biopsies? I. This technique is generally utilized for lesions <1 cm. II. This technique is generally utilized for lesions >1 cm. III. This technique may be preferred for lesions that are in close proximity to vital structures. IV. If the pathologic diagnosis is benign, this technique will generally end up being the definitive surgical treatment.",I &III.,II &III.,I &IV.,II &III.,II &IV.,,B,
Which of the following statements regarding the management of jaw tumors is TRUE?,Treatment decision making regarding surgical procedure is influenced by the location of the tumor.,Treatment decision making regarding surgical procedure may vary based on if the lesion remains intraosseous or has extended extraosseously.,Treatment decision making regarding surgical procedures may vary depending on whether or not reconstruction is anticipated.,A &B.,"A, B, &C.",,E,
"Consider the following jaw lesions and treatments: Lesions:      I. Odontoma, Cementoblastoma, Aneurysmal bone cyst II. Ameloblastoma, Myxoma III. Primary intraosseous carcinoma, sarcoma of any type Treatments:  IV. Composite resection Enucleation &/or curettage V. Marginal or partial resection VI. Enucleation &/or curettage Which group of pairings matches lesions with the correct treatment?",I and IV.,II and VI.,II and V.,I and V.,III and VI.,,C,
Which of the following statements regarding jaw tumors is TRUE?,Maintaining the inferior border of the mandible aids in reconstruction.,"For most bone lesions requiring resection, margins should be 1 cm.","If a lesion has perforated the cortex, excision of soft tissue at the site of perforation may be necessary.",Frozen sections may be obtained to help determine if an adequate amount of tissue has been excised.,All of these statements are TRUE.,,E,
Which of the following statements regarding radiation and chemotherapy treatments is FALSE?,Patients undergoing radiation treatment can be protected by shielding non-targeted areas of their bodies during treatment.,Patients undergoing radiation treatment can be protected by fractionation which involves giving small increments of radiation over time rather than a larger dose at once which allows for better recovery of the normal tissues.,Patients undergoing radiation treatment can be protected by administering the radiation via multiple ports which will expose the tumor to the full dose of radiation but surrounding tissues to a lower dose.,Chemotherapy treatment may utilize several agents which act at different stages in the life cycle of the tumor cell.,Differences in growth rates between tumor cells and normal cells does not influence how chemotherapy affects these cells.,,E,
Which of the following statements is FALSE?,"An abscess, which can also be referred to as a phlegmon, is non-purulent, non-necrotizing inflammation of the skin and subcutaneous tissues.",An abscess is characterized by a doughy to indurated swelling.,"Cellulitis is characterized by the presence of pus which is the build-up of fluid, living and dead white blood cells, necrotic tissue, bacteria, or other foreign substances.","Cellulitis is chronic, localized, well circumscribed, fluctuant and contains bacteria.",All of these statements are FALSE.,,E,
Consider the following organisms: I. Anaerobes. II. Mixed aerobes and anaerobes. III. High-virulence aerobes. Which of the following describes the progression of organisms as an odontogenic infection develops?,"I, II, III.","III, II, I.","II, III, I.","II, I, III.","I, III, II",,B,
Which of the following statements regarding a periapical abscess is FALSE?,A periapical abscess may also be referred to as an acute alveolar abscess.,A periapical abscess may be accompanied by significant pain although there may be no swelling present.,"Treatment for a periapical abscess is to establish drainage which may be achieved by extraction, trephination or initiation of endodontic treatment.","A periapical abscess may have a fistula, a.k.a. sinus tract, present.","A periapical abscess is a local, limited infection which cannot progress to a fascial space infection.",,E,
Which of the following statements related to CT imaging of abscesses is FALSE?,All dental infections require CT imaging for diagnosis and treatment decision-making.,Patients with iodine allergy are at additional risk for allergic reactions related to CT contrast agents when compared to patients without iodine allergy.,Patients who have had previous allergic reactions to contrast agents may sometimes be pre-medicated with IV steroids or IV anti-histamines so that they can be given contrast agents with less risk.,CT with contrast agents illuminates details of the abscess related to the pertinent anatomy more clearly than CT without contrast agents.,None of these statements are FALSE.,,A,
Which of the followings signs/symptoms are NOT indicative of advanced infection?,Facial swelling.,Increased mouth opening.,Dysphagia.,Dyspnea.,Pyrexia.,Dehydration.,B,
Which of the following statements regarding I&D's is FALSE?,I&D of cellulitis may be helpful as it causes a change in the environment of the infection by introducing oxygen into the area.,I&D techniques that allow for dependent drainage are more effective than those that do not allow for dependent drainage.,The approach used for extraoral I&D techniques must be chosen to minimize risk to the facial nerve.,The approach used for extraoral I&D techniques must be chosen to minimize potential esthetic damage.,"Since Ludwig's Angina infections often do not have purulence present, I&D will not be beneficial in treating these infections.",,E,
A patient presents for emergency evaluation of facial swelling and pain. Exam reveals facial asymmetry with swelling from her left eye to left upper lip. Her left eye is partially closed from the swelling and nasolabial fold is obliterated. Tooth #12 has visible root caries. The patient most likely has:,A fascial space infection in the buccal space.,A fascial space infection in the retropharyngeal space.,A fascial space infection in the canine space.,A gingival abscess.,A fascial space infection in the lateral pharyngeal space.,,C,
"A patient presents complaining of “swelling inside my left cheek.” She has no extra-oral asymmetry or swelling. Intra-oral exam reveals a fluctuant, tender swelling buccal and apical to severely carious tooth #15. What is the most likely location of the infection?",Canine space.,Vestibular space.,Buccal space.,Retropharygeal space.,Submaxillary space.,,B,
Which space infection has the most direct route to extend to the diaphragm?,Canine space.,Vestibular space.,Buccal space.,Retropharyngeal space.,Submandibular space.,,D,
What are the most commonly impacted teeth?,Maxillary canines.,Mandibular premolars.,Third molars.,Mandibular canines.,Maxillary lateral incisors.,,C,
Which of the following is NOT an indication for removal of third molars?,Periodontal issues.,Pericoronitis.,Pathology.,Third molars that are erupted and in function.,Prevention of jaw fracture.,All third molars should be removed.,D,
What is the most common intraoperative complication to occur during tooth extraction?,Displacement of a root into the maxillary sinus.,Bleeding.,Injury to the inferior alveolar nerve.,Root fracture.,Jaw fracture.,,D,
Clinical examination of tooth 32 reveals a large distal operculum. Which of the following is the correct classification for tooth 32 (lower right third molar)?,Fully erupted.,Soft tissue impaction.,Partial bony impaction.,Full bony impaction.,None of the above.,,C,images/omfs-final-spring-2019/fig22.jpeg
Tooth 32 can also be classified as Pell and Gregory Class:,1.,2.,3.,4.,None of these categories apply.,,A,images/omfs-final-spring-2019/fig23.jpeg
Tooth 32 can also be classified as Pell and Gregory Class:,A.,B.,C.,D.,None of these categories apply.,,A,images/omfs-final-spring-2019/fig24.jpeg
"Weighing the need for adequate evaluation and the desire to minimize radiation exposure, which of the following statements reflects the most minimal requirement to be met?",An impacted mandibular third molar can be extracted after obtaining a periapical radiograph.,An impacted mandibular third molar can be extracted after obtaining a panoramic radiograph.,An impacted mandibular third molar can be extracted after obtaining a bite-wing radiograph.,An impacted mandibular third molar can be extracted after obtaining a CBCT.,An impacted mandibular third molar can be extracted after obtaining a medical grade CT.,,B,
What layers do you NEED to go through to create a full thickness flap in the oral cavity? I. Mucosa II. Periosteum III. Fat IV. Muscle V. Lingual nerve,"I, II.","I, III, IV.","I, II, III, IV.","I, II, III, IV, V.","I, II, III.",,A,
Which of the lines depicted here show the correct design of a vertical release when extracting tooth 16 (upper left third molar)?,Blue line.,Yellow line.,Red Line.,Green Line,None of the above.,,D,images/omfs-final-spring-2019/fig27.jpeg
How far through the tooth should a buccal to lingual cut be made with the drill when sectioning a lower third molar?,25%.,33%.,50%.,80-90%.,100%.,,D,
Which of the following is a contraindication for coronectomy?,Absence of apical infection.,Pericoronitis.,Tooth root stability.,Carious involvement of remaining fragment.,Absence of periodontal disease.,,D,
Which of the following is NOT an indication that the third molar is in close proximity to the inferior alveolar canal?,Darkening at the apices of the roots,Narrowing of the mandibular canal,Diversion of the mandibular canal,Interruption of superior cortical line of mandibular canal,Increased opacity at the apices of the roots,,E,
"A 21 year-old female presents to your office complaining of pain in her lower right “wisdom tooth.” She reports that she has had multiple episodes of pain over the past three years. On exam, you note a distal operculum over tooth 32 that is erythematous and edematous with expressable purulent discharge. There is no lingual swelling or trismus. The operculum is tender to palpation. What is your MOST LIKELY diagnosis?",Acute periapical abscess.,Vestibular abscess.,Moderate pericoronitis.,Acute periodontal abscess.,Buccal space abscess.,,C,images/omfs-final-spring-2019/fig31.jpeg
Which of the following are appropriate initial treatments for this patient? I. Antibiotics II. Extraction of tooth 1 (upper right third molar) III. Extraoral Incision and drainage of abscess IV. Scaling and root planning V. No treatment,"I, III.","I, II.","I, IV.",V.,"II, III.",,B,images/omfs-final-spring-2019/fig32.jpeg
You have completed your initial treatment and now are planning for definitive treatment of tooth 32. Which of the following would be the best choice for your definitive treatment plan? I. Extraction or coronectomy of 32 based on additional information obtained. II. Cone beam CT. III. Extraction of tooth 32. IV. Coronectomy tooth 32. V. Place patient on a recall monitoring basis.,II then IV.,II then I.,II then III.,II then IV.,IV then V.,,B,images/omfs-final-spring-2019/fig33.jpeg
"Pretend that this panoramic radiograph was taken on a 61-year-old male. He denies any symptoms associated with his third molars and, in fact, has NEVER had any symptoms. Your exam reveals no significant periodontal pocketing around the distal of the second molars and there are no carious lesions of the third molars. How do you want to proceed?",Cone beam CT and extractions and/or coronectomy based on results of this study.,"Extraction of teeth 1, 16, 32.","Extraction of teeth 1, 16 and coronectomy tooth 32.",Place patient on a recall monitoring basis.,Referral to a periodontist for maintenance of periodontal health.,,D,images/omfs-final-spring-2019/fig34.jpeg
"When performing a coronectomy, the remaining tooth fragment should be at least ___ from bone margins in all directions?",2 mm.,4 mm.,5mm.,1 cm.,The distance from tooth to bone margin is not determined by a specific measurement but is determined by ensuring that enough tooth structure has been removed to accomplish what is necessary.,,B,
"If a symmetric canine bulge does not exist in the vestibule by age 9, then radiographic assessment and/or orthodontic consultation is indicated to determine if intervention is necessary.",True.,False.,,,,,A,
What areas are the most likely locations that impacted maxillary third molars may be displaced into? I. Canine space II. Pterygomaxillary space III. Infratemporal space IV. Pharyngeal space V. Maxillary sinus,"I, III.","III, V.","IV, V.","II, III, IV, V.","I, III, V.",,B,
Which tooth root is most commonly dislodged into the maxillary antrum during an extraction procedure?,Palatal root of the maxillary first premolar.,Palatal root of the maxillary first molar.,Distobuccal root of the maxillary first molar.,Palatal root of the maxillary second molar.,Mesiobuccal root of the maxillary second molar.,,B,
