title,PCOD I Final Exam (Fall 2021),pcod1,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The reason we bevel on a Class IV is:,For esthetics,For retention,For esthetics and retention,None of the answer choices,,,C,
A bevel is done,On the occlusal of all posterior amalgams,On the occlusal all posterior composites,On the facial of all anterior composites,On the lingual of all anterior composites,,,C,
Which of the following burs is recommended to create a bevel,A fluted carbide bur,A soflex disc,A pointed diamond stone,A pear shaped bur,,,C,
"True/ False: The 1mm hoe in our kits have a cutting edge on three sides: the bottom edge, the left side of the instrument and the right side of the instrument.",True,False,,,,,A,
"With our rheostat, the maximum RPM of a bur in the high speed hand piece is:","150,000 RPM","250,000 RPM","200,000 RPM","100,000 RPM","40,000 RPM",,C,
Which statement is false in regards to an ideal preparation of #19 MO amalgam?,Extending the occlusal portion of the preparation distally to a point less than 1.5mm from the proximal margin would cut across unsupported enamel rods,The gingival-axial line angle should be rounded for additional thickness of the restoration and in order not to have a sharp angle.,The widest part of the occlusal preparation should be at the isthmus,The buccal and lingual walls should be convergent,,,C,
"True/ False: Finishing a composite with soflex discs can best be done with the blue banded handpiece at about 10,000 RPM",True,False,,,,,A,
"True/ False: The greater the percentage of silica/glass particles in a composite, the greater the polishability",True,False,,,,,B,
True/ False: A hybrid composite has larger size glass and silica fillers than a microfill which makes it stronger and more polishable,True,False,,,,,B,
Which would not be in a decreasing order of hardness on the Knoop scale?,"Enamel, amalgam, composite","Enamel, composite, resin tooth","Enamel , resin tooth, composite","Enamel, dentin, cementum",,,C,
"True/False: With a F.G. bur, a blue ringed handpiece can achieve a maximum bur speed of 40,000 RPM",True,False,,,,,B,
Why do we need to be mindful when drying the tooth after rinsing off the etch?,We do not need to rinse off etch,We do not want to overdry the tooth,We want to make sure the enamel does not collapse,The drier the tooth the better,,,B,
"In Class III, a portion of retention is created by:",Sharp line angles,Rough preparation,Parallelism of gingival and incisal walls,Square internal line angles,None of the answer choices,,C,
"True/False: Here at TCDM, we bevel all cavosurface margins in Class III?",True,False,,,,,B,
When restoring an anterior composite restoration- why is it important that we polish?,Appearance,Patient comfort,Stain,Plaque,"Appearance, Patient Comfort, Stain, Plaque",,E,
Which contacts do you break in a Class III preparation?,Gingival,Facial,Incisal,Gingival and facial,Facial and incisal,,D,
A Class II composite fractured at the junction of the occlusal and proximal areas. Why would that be?,Lack of curing the composite,A sharp axiopulpal line angle,Open margin,Rough gingival floor,"Rough gingival floor, and lack of curing the composite",,B,
"True/ False: In a Class III composite preparation, the palatal portion should stay within the area of the proximal marginal ridge, be parallel to the long axis of the tooth and have a 1mm bevel.",True,False,,,,,B,
When using polishing disc the proper order would be:,"Light blue, blue, dark blue, black","White, light blue, blue, dark blue","Black, dark blue, blue, light blue","Dark blue, black, blue, light blue, white",,,C,
Restoring a proper contact area is important because without proper contact there can be:,Tooth migration,Periodontal disease,Food impaction,"Tooth migration, Periodontal disease, Food impaction",,,D,
The major components of composite dental materials include all the following EXCEPT:,Fillers,Resin matrix,Coupling agent,Bonding agent,,,D,
Composites are mainly classified by:,Strength,Resin content,Polishability,Filler particle size,,,D,
The purpose of the silane coupling agent in composite resins is:,To improve the bond between the filler particles and the resin matrix,To reduce the oxygen inhibited layer,To help composite retain its color,To help one layer of composite adhere to the next,,,A,
All the following circumstances may require a longer curing time EXCEPT:,Use of an opaque shade,Curing in increments larger than 2mm,Composite placed on a Class III restoration on #8,Placing the curing tip 6-8mm away from the composite,,,C,
A matrix band is needed for the following restorations:,Class II amalgam,Class II composite,Class III composite,"Class II amalgam, Class II composite, Class III composite",,,D,
"As opposed to the front face mirror, one major benefit of a concave mirror is:",It reflects on the front surface,Produces a clear image,It magnifies the image,It creates a ghost image,,,C,
When using a mirror for indirect vision during an operative procedure it is best,To hold the mirror directly below the tooth we want to see,To hold the mirror in your dominant hand,To position the mirror away from the working area to increase field of view,Always hold the mirror outside the mouth,,,C,
In regards to the outline form for a composite preparation:,The buccal and lingual walls are convergent for retention,The outline form can be conservative,The outline form should be extended for use of bonding agent,There is not difference between an amalgam and composite preparation,,,B,
"When preparing a #14 for a composite restoration, the remaining marginal ridge can be no smaller than",1.0 mm,1.5 mm,1.75 mm,2.0 mm,,,D,
My patient is complaining of tooth sensitivity. What may be the cause?,Over etching of the tooth,You did not pack the composite laterally,Open margin,Over etching of the tooth & You did not pack the composite laterally,"Over etching of the tooth, You did not pack the composite laterally, Open margin",,E,
How does acid etching of a tooth work?,It attaches to the collagen fibers within dentin,It creates small microscopic inlets into the enamel surface,It helps with the macromechanical retention,It mineralizes the surface of enamel and dentin,,,B,
What is the difference between a smear layer vs smear plug?,A smear layer is the layer above the tooth surface that allows composite to bond to it.,A smear plug is the plug created within dentinal tubules when prime and bond is placed on a preparation.,"After acid etching of a tooth, a smear layer should be removed, but a smear plug can remain",The smear layer is a layer that is necessary for all composite restorations,,,C,
"After removing acid etch, it is important not to over dry the tooth. Why?","Over drying it, is part of the procedure. If there is any water it would contaminate the composite",Over drying it would cause the hydrophilic collagen matrix to collapse,Over drying it would cause the hydrophobic collagen matrix to remain,Over drying effects its ability to cure effectively,,,B,
Primer has a very important function. It helps prepare the tooth structure for bonding. Which statement is false?,Dentin is hydrophilic,Composite is hydrophobic,HEMA is a primer,Resin is hydrophobic,All statements are true,,E,
"When light curing a composite, you find that your composite is not curing. Why is that?",You held the light too far away from the restoration,The face of the curing light was contaminated,You placed too much composite at a time,You held the light too far away from the restoration & The face of the curing light was contaminated,The face of the curing light was contaminated & You placed too much composite at a time,"You held the light too far away from the restoration, The face of the curing light was contaminated, You placed too much composite at a time",F,
A composite Class II preparation must,Always break buccal and lingual contact,Always break gingival contact,Always include all the grooves and fissures,Always break buccal and lingual contact & Always break gingival contact,"Always break buccal and lingual contact, Always break gingival contact, Always include all the grooves and fissures",,B,
All the following apply EXCEPT: The axial wall of the proximal box of a Class II composite preparation must follow the contour of the tooth…,In order that we preserve the pulp,Unless dictated otherwise by decay,In order to create a consistent gingival floor,In order not to fracture the composite,,,D,
A Class II composite on #3 will:,Always cross the oblique ridge,Will follow decay,Will have two separate preparations,"Always cross the oblique ridge, Will follow decay, Will have two separate preparations",,,B,
Burnishing a tofflemire band prior to restoring a Class II composite restoration will:,Help you get proper contour of your restoration,Help you get proper contact on your restoration,Help your patient floss after the procedure,Help you get proper contour of your restoration & Help you get proper contact on your restoration,"Help you get proper contour of your restoration, Help you get proper contact on your restoration, Help your patient floss after the procedure",,E,
"When restoring a Class II composite, it is important to:",Restore the proximal portion first,Restore the occlusal portion first,Use excess bonding agent on the floor of the preparation to make sure the composite adheres appropriately,Bulk fill the proximal and occlusal surfaces to make sure it is properly sealed,,,A,
"When restoring a composite, it is important that you contour some of the dental anatomy prior to curing, because it will save you time afterwards.","The statement is true, but the reason is false","The statement is false, and the reason is false","The statement is true, and the reason is true","The statement is false, but the reason is true",,,C,
All are acceptable ways to clean up an embrasure space that has excess composite EXCEPT:,Using a flame shaped diamond,Using an interproximal strip,Using a chamfer diamond,Using an explorer before curing,,,C,
Using Bis-GMA over methyl methacrylate helps to decrease shrinkage because Bis-GMA is a smaller molecule?,"The statement is true, but the reason is false","The statement is false, and the reason is false","The statement is true, and the reason is true","The statement is false, but the reason is true",,,A,
Why do air bubbles matter if they seem to be buried in the composite?,It weakens the restoration,Increases plaque accumulation,Can cause discoloration of the composite,"It weakens the restoration, Increases plaque accumulation, Can cause discoloration of the composite","None of the answer choices, air bubbles are not a problem, unless they are at the margin",,D,
"When preparing a Class III composite, it is important to:",Start the preparation AT the contact,Start the preparation BELOW the contact,Start the preparation INCISAL to the contact,Start the preparation OCCLUSAL to the contact,,,A,
Mylar strips are useful because:,The light of the curing light can penetrate the band,It does not need a wedge,It does not need to be contoured around the tooth,The light of the curing light can penetrate the band & It does not need a wedge,The light of the curing light can penetrate the band & It does not need to be contoured around the tooth,,A,
"When using an interproximal polishing strip, it is important to use it in a C shape in order to",Maintain contact,Create a proper contour,Create proper embrasure,"Maintain contact, Create a proper contour, Create proper embrasure",None of the answer choices,,E,
"Once remineralized, the enamel in teeth is stronger than the original enamel, due to the hydroxyapatite.","The statement is true, but the reason is false","The statement is false, and the reason is false","The statement is true, and the reason is true","The statement is false, but the reason is true",,,A,
In regards to Class V defects:,You are more likely to have Class V decay on the lingual,You are less likely to have Class V defects on the lingual if they are caused by abrasion.,Abfraction is caused by toothbrushing,Class V lesions never extend onto the root surface,The depth of a Class V preparation is shallower incisally than it is gingivally.,,B,
All the following are reasons to restore a Class V lesion EXCEPT:,Gingival health,Esthetics,Sensitivity,Pulp Protection,None of the answer choices,,E,
