title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2021),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following statements related to ASA Classification is FALSE?,Anxiety can move a patient who would otherwise be ASA I to ASA II.,Smoking can move a patient who would otherwise be ASA I to ASA III.,"Modifiers E and P following the ASA number indicate that the patient is undergoing an emergency procedure or is pregnant, respectively.",A patient who can climb one flight of stairs or walk two level city blocks but will need to stop enroute because of distress will generally be considered ASA III.,A patient with more than three months of angina pectoris has an ASA classification indicating that they are healthier than a patient with less than three months of unstable angina pectoris.,,,,B,
Consider the following statements: I.    DDAVP (desmopressin) can be administered intranasally. II.   DDAVP administration can increase circulating levels of von Willebrand factor and Factor VIII. III.  Corticosteroid administration can increase circulating levels of clotting factors. IV.  DDAVP and corticosteroid administration can increase circulating levels of platelets.,"I, II, III, and IV are TRUE.","II, III, and IV are TRUE.",II and IV are TRUE.,II and III are TRUE.,,,,,A,
"Patients may be anticoagulated for all of the following conditions, EXCEPT:",Prosthetic joint replacements,Prosthetic heart valve replacements,Atrial fibrillation,DVT (deep vein thrombosis),Post coronary artery stenting,,,,A,
Which of the following statements are TRUE?,The effects of target specific oral anticoagulants are often altered due to food and drug interactions.,INR monitoring is used to determine dosing of target specific oral anticoagulants.,The effects of target specific oral anticoagulants can be reversed prior to oral surgery procedures with Vitamin K administration.,The effects of target specific oral anticoagulants can be reversed prior to oral surgery procedures with protamine sulfate administration.,"It is generally not necessary to interrupt therapy with target specific oral anticoagulants for low bleeding risk oral surgery procedures such as extraction of fewer than three contiguous teeth, implant placement, and periodontal surgery.",,,,E,
Which of the following statements are TRUE?,Dentists should adjust their patients’ anticoagulant medications on their own prior to minor oral surgery procedures.,Dentists should adjust their patients’ anticoagulant medications on their own prior to all oral surgery procedures.,Dentists should not adjust their patients’ anticoagulant medications on their own. Any decisions to adjust a patient’s medications should be made in conjunction with the physician who prescribed the medication.,"If an anticoagulated patient has had bleeding problems after any previous oral surgery procedure, their dentist should make sure that they stop the anticoagulant prior to any subsequent oral surgery.",The decision as to whether or not to adjust a patient’s anticoagulation prior to oral surgery should be made by the patient depending on their willingness to tolerate prolonged bleeding.,,,,C,
Which of the following statements are FALSE?,"The oral surgical treatment plan for any patient is solely based on the intraoral and extraoral physical examinations and radiographic examinations, as well as the patient’s desired results.","When determining what treatment a patient needs, the surgeon needs to consider the diagnosis, differential diagnosis, or a “rule-out”.",Surgeons must use their judgement to determine when to treat and when not to treat a given patient.,"All dentists should have an understanding of what oral surgical treatments are available for their patients, as well as what is involved in those treatments and the risks and benefits of those treatments.","When obtaining a medical history from a patient, it is beneficial to use questions that may seem redundant.",,,,A,
Which of the following statements about updating a medical history are FALSE?,A patient’s medical history should be updated regularly every six months.,"When updating a patient’s medical history, the depth of the discussion may vary depending on when the patient was last seen.","When updating a patient’s medical history, the depth of the discussion may vary depending on the nature of the appointment.","When updating a patient’s medical history, the depth of the discussion may vary depending on the patient’s previous medical conditions and history.",A parent may not necessarily provide an accurate medical history regarding their child.,,,,A,
Which of the following statements about diabetic patients is TRUE?,"Compared to patients without diabetes, poorly controlled diabetics do not have an increased risk of developing an infection, but if they do develop an infection, it is more difficult to control.","If a diabetic patient cannot eat before surgery but can eat normally after surgery, their insulin doses do not require any adjustments.",Signs of hypoglycemia in a diabetic patient include a decrease in pulse rate and an increase in blood pressure.,"In patients with elevated HbA1c values, infection risk increases with higher values.",HbA1c values reflect glycemic control over the previous 6 months.,,,,D,
Which of the following statements about HIV+ patients is TRUE?,About 20 % of HIV+ patients have a clinically significant decrease in platelets.,All HIV+ patients have an increased risk of infection following oral surgical procedures.,Antibiotic prophylaxis is necessary for oral surgical procedures in HIV+ patients who have CD4+ Tcell counts less than 200.,Antibiotic prophylaxis is necessary for oral surgical procedures in HIV+ patients who have neutrophil counts less than 1000.,All HIV+ patients require antibiotic prophylaxis for oral surgery procedures.,,,,C,
Which of the following statements regarding radiation therapy in patients is FALSE?,Osteoradionecrosis risk is greater in the maxilla than the mandible.,Differences in osteoradionecrosis risk between the maxilla and mandible are attributed to differences in vascularity between the two jaws.,Oral squamous cell carcinoma generally requires radiation > 6000 rad (60 Gy) for treatment.,"Prior to radiation therapy, extractions are often performed with increased bone removal and smoothing to allow primary soft tissue closure.",Hyperbaric oxygen therapy may be useful when extractions must be performed in irradiated jaws.,,,,A,
