title,Endodontics Quiz 2 (Spring 2019),endo,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
What situation would not be considered an endodontic emergency?,irreversible pulpitis with normal periapex,necrotic pulp with symptomatic apical periodontitis with no swelling,"necrotic pulp, fluctuant swelling with no drainage through the canal",sharp pain to cold of short duration,Irreversible pulpitis with symptomatic apical periodontitis,D,
What step(s) should be taken prior to initiating emergency treatment?,inform the patient of the recommended treatment plan,what are the treatment alternatives,the risks and benefits of the treatment plan,the expected prognosis,all the above,E,
one of the diagnosic differences between reversible pulpitis and irreversible pulpitis can be:,reversible pulpitis reacts to cold severely for a long period of time,reversible pulpitis reacts to cold severely for a short period of time,irreversible pulpitis will react to heat but not cold,irreversible pulpitis does not react to heat or cold,,B,
When an infected mandibular molar causes swelling below the jaw it is evidence that the infection:,extended above the mylohyoid muscle,extended below the mylohyoid muscle,extended above the platysma muscle,extended below the platysma muscle,,B,
Diagnosis of a cracked tooth that has not breached the pulp chamber is generally associated with the following:,Generalized pain upon chewing,Typically the pain is sharp,Pain most often limited to one cusp,The tooth responds negatively to cold,,D,
What tool is not typically used used to determine the presence of a fracture of the tooth include:,fiber optic light source,the tooth sleuth as a bite stick,ice,tapping of the tooth in question,,C,
Manifestations of a vertical fracture do not generally include:,thickened PDL (especially later in diagnosis),J-shaped bone loss around the affected root,prolonged pain to cold or heat,"deep, narrow and isolated periodontal pocket",,C,
Etiology of vertical root fractures include:,most vertical root fractures occur in endodontically treated teeth,they generally occur long after instrumentation and obturation,excessive force applied during root canal instrumentation and obturation.,excessive tooth structure removal,all the above,E,
Iatrogenic predisposing factors in the causation of vertical root fractures include:,excessive canal preparation,micro-cracks caused by rotary instrumentation,lateral compaction during obturation or retreatment of using rotary instruments,Uneven thickness of remaining dentin-the implementation of internal routing,all the above,E,
The least stressful way to effectively cleanse canals mechanically for both the tooth and the instruments used is to:,limit the frequency of motion that is generated by the handpiece,employ the crown-down technique,limit the arc of motion,stay centered within the confines of the canals,,C,
The single most important benefit of “internal routing” is,it cleans the canal far more in the bucco-lingual dimension,it cleans the canal far more in the mesio-distal dimension,it cleans the canal in three dimensions attempting to produce a final shape that mirrors the original canal anatomy in larger form,it reduces the stresses imposed on both the instruments and the canal walls,,C,
