title,Oral Surgery II Final Exam (Fall 2022),osii,
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Consider the diagram below. Which of the following statements is TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"When accomplishing a LeFort osteotomy, the nasopalatine and descending palatine arteries are cut so the maxillary segment maintains its blood supply from the tissues being perfused from the palate.","When accomplishing a LeFort osteotomy, the ascending palatine and ascending pharyngeal arteries are cut so the maxillary segment maintains its blood supply from the tissues being perfused from the palate.","When accomplishing a LeFort osteotomy, the nasopalatine, descending palatine, ascending palatine, and ascending pharyngeal arteries are cut so the maxillary segment maintains its blood supply by being bathed in the blood that leaks from these vessels.","When accomplishing a LeFort osteotomy, the maxillary artery is cut so the maxillary segment has no blood supply until the artery can repair itself.","When accomplishing a LeFort osteotomy, the maxillary artery is cut so the blood supply to the maxillary segment needs to be re-established by performing a surgical micro-vascular bypass procedure.",,,,A,images/osii-final-fall-2022/fig1.jpeg
Consider the two diagrams below. I. II. Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),I depicts bilateral sagittal split osteotomy procedures.,II depicts bilateral vertical ramus osteotomy procedures.,LeFort osteotomies carry a greater risk to the inferior alveolar nerve than either of the osteotomies depicted here.,LeFort osteotomies carry the same risk to the inferior alveolar nerve as either of the osteotomies depicted here.,ALL of these statements are TRUE.,NONE of these statements are TRUE.,,,F,images/osii-final-fall-2022/fig2.jpeg
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Orthognathic surgery can be performed to effect a functional improvement for a patient.,Orthognathic surgery can be performed to effect a cosmetic improvement for a patient.,"When performing orthognathic surgery, the starting point for establishing the proper positioning of the jaws is the maxillary central incisor.",The goal of orthodontic treatment prior to orthognathic surgery is to align the maxillary and mandibular teeth within the jaw bones that they are in.,"Virtual surgical planning is performed by meshing CBCT and optical scan data to plan osteotomy cuts and positioning of teeth, as well as minimizing the risk of nerve damage.",,,,E,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"Blood supply to the maxillary sinus is via the infraorbital, alveolar, greater palatine, and sphenopalatine arteries which are all branches of the internal maxillary artery.",Innervation of the maxillary sinus is via branches of the second division of the trigeminal nerve which include the infraorbital nerve and greater palatine nerves.,"The natural ostium of the maxillary sinus is located in the superior portion of the medial wall, opening into the middle meatus.",Respiratory epithelium is critical to sinus function.,When a nasal antrostomy is done as part of a Caldwell-Luc procedure the new ostium is placed at the position of the original ostium.,"For both medical and legal reasons, the dentist using CBCT must be familiar with maxillary sinus anatomy and have a strong sense of what is normal, what changes are not clinically significant and when to move the patient to a higher level of diagnostic and/or therapeutic care.",,,F,
Which of the following ideas/techniques are useful and accurate to help avoid or manage OA communications and other sinus complications following tooth extraction? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Careful pre-operative clinical evaluation.,CBCT imaging and interpretation prior to extraction of any maxillary tooth.,Initial flap design that allows for additional surgical treatment that may become necessary.,Referral to an appropriate specialist for initial treatment if management of a potential complication with a significant chance of occurrence falls outside a clinician’s comfort zone.,Attempting to initially remove all maxillary molars in one piece with elevators and forceps while being aware that this technique can be abandoned for a surgical approach if problems occur.,Using an extraction technique of sectioning maxillary molars with gentle removal of each root with no upward forces applied.,Delaying closure of a communication involving a grossly infected sinus to avoid breakdown of the initial repair.,Retrieving all root fragments displaced into the sinus by enlarging the sinus opening to improve visualization and access.,G,
Which of the following is/are NOT essential hallmarks of cancer cells? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Self-sufficiency in growth signals.,Sensitivity to growth-inhibitory signals.,Evasion of programmed cell death (apoptosis).,Immortality or unlimited replicative potential.,Limited angiogenesis.,Tissue invasion and metastasis.,,,E,
Which of the following statements is/are FALSE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"When excision of oral SCC is performed, surgical margins should be 2.5 – 3.0 cm.","Marginal resection of SCC of the mandible should be performed when the tumor is adjacent to, or invading, the periosteum.","When performing a neck dissection, Level III includes the lower jugular nodes from the inferior border of the cricoid to the clavicle.","Predictive factors for nodal metastasis include tumor thickness of 2 mm or greater, perineural invasion, and perivascular invasion.",Brachytherapy involves an implanted source of radiation.,,,,D,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),"Mutations that may induce carcinogenesis can arise from genetic factors, and/or chemical, radiation, and viral damage.",High risk HPV infection may put patients at risk for both oral and oropharyngeal cancers.,Risk of neck metastasis arising from oral SCC increases sharply when the tumor is > 2mm thick.,"Clinical staging of oral SCC lesions is based on tumor size, node involvement, metastasis, and patient’s level of pain.",Five-year survival rates for oropharyngeal cancers are dependent on the stage they are when they are first diagnosed and treated.,,,,E,
Which of the following statements is/are TRUE? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),Approximately 55% of adults are healthy (ASA I) at age 65.,"If a patient answers “YES” to the question “Are you in good health?”, it is safe to move ahead with a surgical procedure.",There is no advantage gained by using both a self-administered questionnaire AND a conversation to determine a patient’s health status.,A patient’s baseline health status has no impact on their healing response to surgery.,A patient ‘s baseline health status has no impact on their likelihood to sustain a medical emergency during a dental procedure.,,,,A,
Which of the following dysrhythmias presents major risks? (More than one answer may be correct.  Choose all correct answers.  NO partial credit will be given.),3rd degree AV block.,Symptomatic ventricular dysrhythmias.,Supraventricular arrhythmias with uncontrolled ventricular rate.,4th degree AV block.,Asymptomatic sinus tachycardia.,,,,C,
