title,Endodontics Review Final Exam (Summer 2020),endorev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
"If you have an area of significant internal resorption, the best way to determine whether or not it is perforating the root is to:",Take periapical  x-rays from diﬀerent angles,Internally probe the canal after gaining access to the pulp chamber,Pulp test knowing that a non-vital response will tell us whether or not there is a perforation,"Take a CBCT and look at the axial, coronal and saggital images",,D,
If two adjacent teeth hurt equally to percussion what is a good way to diﬀerentiate which one is the oﬀending tooth when neither react to the pulp test?,Application of cold,There is no diﬀerentiation and both teeth need RCT,Immobilize one and hit the other and then reverse the process. The oﬀending tooth will hurt and the other will not.,Palpate in the fold of each tooth. The oﬀending tooth will hurt more.,,C,
What is the potential path of infection when the roots of a molar tooth are apical to the mylohyoid muscle?,The infection is likely to express itself in the cheek area coronal to the angle of the jaw,A clear pathway now exists into the submandibular space that can lead to a Ludwigs angina and compromise the ability to breathe.,It can turn into a periapical infection that can only be resolved by RCT and antibiotics,It can lead to an infection of the submittal space.,,B,
The first step in diagnosis given we have reviewed the health history is:,Determining what tooth is bothering the patient,Testing all the teeth associated with the patient’s discomfort,Listening to the patient’s chief complaint,Percussing each of the suspicious teeth,,C,
When you see a fistulous tract it is important to:,Take a CBCT,Take x-rays from diﬀerent angle,Place a gutta percha point in the tract as far as it will go and take an x-ray,Treat the tooth that is physically closest to the fistulous opening,,C,
What statement is wrong regarding the presence of a fistulous tract?,Tells the dentist exactly which tooth to treat,By disappearing it tells the dentist that endodontic treatment is likely successful,It is an outlet of infection that generally prevents patient swelling,It is a sight that should be probed with a gutta percha point to determine its origin.,,A,
When diﬀerentiating between a periodontal pocket and a pocket of endodontic origin what is most important to know?,Just how far the lesion extends,Whether the pulp is vital or non-vital,The bone support status on the rest of the dentition,Whether it is a broad or narrow pocket,,B,
When a large endodontic lesion exists along the length of the root what key information can a CBCT give you?,Where all the canals are,Whether or not the canals are patent,The presence or absence of a buccal and lingual plate of bone,All the answer choices,,D,
Teeth with large periapical lesions need large preparations to adequately cleanse the canals.,True,False,,,,B,
What is the key determinant in deciding whether a non-vital fractured tooth can have successful Endodontic treatment?,The surrounding bone support,Whether the fracture extends through the floor of the tooth,Percussive sensitivity,The fractured segments are independently movable,,B,
A tooth with an area that tests vital is:,Nothing to be concerned about,Should be treated endodontically,Requires a review of the patient’s age and health history and may require a biopsy,Is always associated with an Endodontic lesion that must be treated,,C,
The only way to determine the pathology of a lesion is through biopsy.,True,False,,,,A,
Which statement(s) are correct? C fibers within the pulp: (Select All that Apply),Are located most peripherally near the odontoblastic processes,Produce sharp pain upon being stimulated,Are most responsible for referred pain,Are located in the central part of the pulp and are more resistant to hypoxia than A fibers,,D,
Which statements are correct? A fibers within the pulp:,Are rapidly damaged by low concentrations of oxygen,Are the first fibers to react to decay,Produce sharp pain of short duration,All the answer choices,,D,
When a dull pain is present that cannot be localized a good way to narrow the field of inspection is to:,Pulp test all the teeth,Percuss all the teeth,Selective anesthesia,Wait until the pain becomes more localized,,C,
If you see a resorption defect in the body of a tooth what is of the least importance?,The vitality of the tooth,Whether it is internal or external resorption,Whether it has perforated the root,,,A,
The best way to diﬀerentiate between internal and external resorption is,Taking x-rays at several diﬀerent angles,Testing for vitality,Taking a CBCT and looking at the axial views,Applying high intensity light to the coronal aspects of the crown,,C,
If two adjacent teeth hurt equally to percussion you diﬀerentiate between the two by,Pulp testing each of them,Immobilizing one and hitting the other and then reverse the process. The oﬀending tooth will hurt when the other is immobilized.,Taking a periodical x-ray and examining which one has a thicker PDL,Anesthetizing each one individually to see if the pain recedes.,,B,
"For an infection in a mandibular molar to spread below the angle of the jaw and penetrate the tissue spaces along the length of the neck, the infection must",Have produced a large apical area,Extend apically below the mylohyoid muscle,Break through the cortical bone,Produce a sizable lateral swelling,,B,
A sinus tract observed on the buccal mucosa. Please mark all the correct answers (Select All that Apply),Tells us that tooth it is closest to is infected,Tells us that tooth it is closest to needs root canal therapy,Tells us that it is likely that a tooth in the vicinity of the fistula is non-vital,Tells us we should tract the fistula with a gutta percha point and take an x-ray to see where it tracts to.,,D,
The dentinal tubules become wider as they approach the enamel dentin junction.,True,False,,,,B,
Short wide posts,Produce less stress that is directed over a larger area,Produce less stress that is directed over a smaller area,Concentrate stresses coronally and can lead to vertical fractures,Minimize the functional stresses making the tooth less vulnerable to fracture,,C,
A patient with a  fluctuant swelling associated with an acute apical abscess should,Be treated with antibiotic prior to root canal therapy,Have cold compressions applied to reduce the swelling prior to root canal therapy,Have an I & D followed by warm salt water rinses for the next few days,Have the pulp accessed and debrided first,,C,
