title,Fixed Prosthodontics Midterm Exam (Fall 2021),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"When fabricating a provisional crown, the maxillary left central incisor, and therefore the maxillary right central incisor are the widest teeth buccolingually in the dentition:",True,False,,,,,,B,
The maxillary left central incisor is known as:,Universal System tooth # 8,Palmer system tooth <1,International 11,a and b,All of the above,,,B,
"When fabricating a provisional crown, the maxillary left central incisor:",The mesioincisal line angle is curved,The distoincisal line angle is curved,The buccal cervical margin curves away from the root,The buccal cervical margin curves towards the root,The incisal edge is straight,"a, c, and e","b, d, and e",G,
Working time and setting time are always the same:,True,False,,,,,,B,
"When fabricating a provisional crown, the maxillary left central incisor:",The cingulum is offset to the mesial,The cingulum is in the center of the tooth,The cingulum is in the middle third,The lingual fossa extends beyond the cervical third,a and c,b and d,None of the above are correct,G,
"The more paths of insertion that a fixed prosthesis has, the greater the retention of that fixed prosthesis:",True,False,,,,,,B,
"When fabricating a provisional crown, the maxillary left central incisor:",The mesial contact is in the middle third,The distal contact is in the cervical third,a and b,None of the above,,,,D,
Freedom of displacement is synonymous with retention:,True,False,,,,,,B,
"When fabricating a provisional crown, the maxillary left central incisor:",The buccal height of contour is in the middle third,The lingual height of contour is in the middle third,a and b,None of the above,,,,D,
"When fabricating a provisional crown, the curvature on the cervical margin is greater on the distal than any other tooth:",True,False,,,,,,B,
"When fabricating a provisional crown, the right mandibular first molar, and therefore the left mandibular first molar are wider buccolingually than mesiodistally:",True,False,,,,,,B,
"When fabricating a provisional crown, the right mandibular first molar is known as:",Universal system tooth # 30,Palmer system tooth 6>,International 46,a and b,All of the above,,,E,
A crown preparation with minimal remaining dentin will not create a negative pulpal response:,True,False,,,,,,B,
"When fabricating a provisional, the mandibular right first molar:",The MB groove is longer than the DB groove,The MB cusp is more pointed than the DB or the D cusp,The BD cusp is the widest mesiodistally of the buccal cusps,a and c,None of the above,,,E,
Hydrocolloids and elastomers are referred to as rigid impression materials:,True,False,,,,,,B,
"When fabricating a provisional, the mandibular right first molar:",The buccal height of contour is in the middle third,The buccal height of contour is in the gingival third,The lingual height of contour is in the middle third,The lingual height of contour is in the gingival third,b and c,None of the above,,E,
"When fabricating a provisional, the mandibular right first molar the crown is shorter on the mesial than the distal:",True,False,,,,,,B,
Which of the following are not intra-coronal restorations:,Crown,Inlay,Onlay,Laminate,"a, c and d",a and d,,F,
"When fabricating a multiple abutment fixed prosthesis, the important concept(s) is/are:",Periodontal condition of the teeth,Crown to root ratio of abutment teeth,Parallelism of abutments,Treatment plan of fixed prosthesis,c and d,All of the above,,F,
The path of insertion of a fixed prosthesis has no relationship to the adjacent proximal contacts:,True,False,,,,,,B,
When preparing the mesial taper of the mandibular right first molar. The head of the handpiece should be tilted slightly to the:,Mesial,Distal,Buccal,Lingual,,,,B,
