title,Periodontics I Quiz 4 (Fall 2017),perio1,quiz
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
All of the following are examples of environmental risk factors for periodontal disease EXCEPT one. Which one is the EXCEPTION?,Smoking,Overhanging restoration,Poor oral hygiene,Vitamin C deficiency,,,D,
Statement 1: Host modulation therapy treats the host response by reducing the production of cytokines and destructive enzymes. Statement 2: Host modulation therapy also stimulates the restoration of the connective tissue attachment.,"The first statement is TRUE, the second if FALSE.",Both statements are TRUE,"The first statement is FALSE, the second if TRUE.",Both statements are FALSE.,,,B,
The treatment plan for a patient who presents with a high risk for periodontal disease should include,A 6 month recall appointment,A radiographic re-evaluation every 12 months,SRP followed by a clinical re-evaluation at 3 months,Referral to specialist,,,D,
Caries Management by Risk Assessment allows the clinician to monitor patient outcomes after providing preventive and therapeutic interventions.,True,False,,,,,A,
Which of the following in office procedures a dental professional should recommend for their patient at a high risk for caries?,Dietary risk assessment and counseling,Restore caries,Professional fluoride application,Xylitol gum,"A, B, and C",All of the above,E,
The HPV strains most commonly associated with oral cancer are,16 and 18,6 and 11,14 and 18,16 and 66,,,A,
The U.S. Department of Health and Human Services and Agency for Healthcare Research and Quality 5-step algorithm for health-care professionals to use when engaging patients is:,"Advise, assess, arrange, assist, analyze.","Analyze, assess, assist, advise, arrange","Ask, advise, assist, assess, arrange","Ask, advise, assess, assist, arrange.",,,D,
Which of the following local delivery agents contains an antiseptic?,Tetracycline fiber,Minocycline microspheres,Chlorhexidine chip,Doxycycline gel,,,C,
Local delivery of antibiotics is better than systemic administration of antibiotics for all of the following except:,Side effects are lower,Reduced probability of development of resistant bacteria,Lower concentration of medication in gingival crevicular fluid,Medication dosing compliance is not an issue,,,C,
Administration of antibiotics systemically by the oral route is better than local delivery in terms of the following:,Compliance with dosing regimen is not a concern,Multiple sites can be easily accessed with the antibiotic,Side effects are minimized,Development of resistance is not a concern,,,B,
Which of the following statements best describes the role of fluoride in caries prevention?,The main action of fluoride in caries control is through systemic effect.,Fluoride's main effect is on the reduction of oral bacteria.,Fluoride enhances remineralization and inhibits demineralization.,Fluoride can remineralize cavitated lesions.,,,C,
What is the best regimen for the patient at a low risk for caries?,"4-month clinical re-evaluation, 12-month radiographic re-evaluation","6-month clinical re-evaluation, 24-month radiographic re-evaluation","3-month clinical re-evaluation, 6-month radiographic re-evaluation","6-month clinical re-evaluation, 12-month radiographic re-evaluation",,,B,
