title,Clinical Oral Radiology Exam 1 (Fall 2018),coralrad,exam1
question,option_a,option_b,option_c,option_d,correct,image
Which of the following best describes this patient's age?,Less than 10 years of age,10 - 30 years of age,30 - 50 years of age,50+ years of age,A,images/coralrad-exam1-fall-2018/fig1.jpg
Which of the following errors in technique is present in this panoramic radiograph?,"A double image is present, possibly due to incomplete erasure of the sensor",The patient's glasses were not removed,The patient moved during the scan,There are no technical errors present,B,images/coralrad-exam1-fall-2018/fig2.jpg
The tooth with the metallic restoration is tooth:,#30,#29,#K,#T,D,images/coralrad-exam1-fall-2018/fig3.jpg
Which of the following teeth appear to have or are suspicious for dental caries?,#13,#20,#12,All of the answer choices are correct,D,images/coralrad-exam1-fall-2018/fig4.jpg
"All of the following aspects of this panoramic radiograph are within normal limits, EXCEPT one. Which one is the EXCEPTION?",The number of teeth,The pulp chambers,The mandibular condyles,The inferior nasal conchae,B,images/coralrad-exam1-fall-2018/fig5.jpg
Which of the following best describes the follicular space of #17?,well-defined,poorly-defined,,,A,images/coralrad-exam1-fall-2018/fig6.jpg
Which of the following best describes the follicular space of #17?,well-corticated,non-corticated,,,A,images/coralrad-exam1-fall-2018/fig7.jpg
What type of radiograph is this?,Horizontal bitewing,Vertical bitewing,Premolar periapical,Molar periapical,A,images/coralrad-exam1-fall-2018/fig8.jpg
"All of the following are present in this radiograph, EXCEPT one. Which one is the EXCEPTION?",Periodontal bone loss,Occlusal restoration,A crown,Cervical burnout,A,images/coralrad-exam1-fall-2018/fig9.jpg
Which of the following best describes the class II restoration on tooth #3?,Well-defined,Poorly-defined,,,A,images/coralrad-exam1-fall-2018/fig10.jpg
Which of the following best describes the class II restoration on tooth #3?,irregular in shape,rectangular in shape,multilocular in shape,unilocular in shape,A,images/coralrad-exam1-fall-2018/fig11.jpg
"All of the following are true about tooth #4, EXCEPT one. Which one is the EXCEPTION?",It has undergone root canal treatment,Its crown has open margins,Its PDL space is widened compared to its neighboring teeth,Its apex cannot be visualized,C,images/coralrad-exam1-fall-2018/fig12.jpg
Which of the following best describes this radiograph?,A molar bitewing radiograph with a double image,A premolar periapical radiograph with a double image,A molar periapical radiograph with a cone cut,A premolar periapical radiograph with a cone cut,D,images/coralrad-exam1-fall-2018/fig13.jpg
"Of the two mandibular condyles, which one appears more regular in shape?",Left,Right,,,A,images/coralrad-exam1-fall-2018/fig14.jpg
Mandibular alveolar bone loss is present.,True,False,,,A,images/coralrad-exam1-fall-2018/fig15.jpg
What type of radiograph is this best described as?,Horizontal bitewing,Vertical bitewing,Mandibular periapical,Maxillary periapical,C,images/coralrad-exam1-fall-2018/fig16.jpg
Which of the following best describes the borders of the radiolucent entity in the #18 region?,Fairly well-defined and well-corticated except for superiorly,Fairly well-defined and non-corticated,Poorly defined except for mesially,Poorly defined all around,A,images/coralrad-exam1-fall-2018/fig17.jpg
What is your impression of the entity in the #18 region?,Periapical pathology,Extraction socket,Dental caries,None of other answer choices are correct,B,images/coralrad-exam1-fall-2018/fig18.jpg
This patient has calculus.,True,False,,,A,images/coralrad-exam1-fall-2018/fig19.jpg
This patient has dental caries.,True,False,,,B,images/coralrad-exam1-fall-2018/fig20.jpg
This patient has periodontal/alveolar bone loss.,True,False,,,A,images/coralrad-exam1-fall-2018/fig21.jpg
How many teeth are present in this radiograph?,30,31,32,33,B,images/coralrad-exam1-fall-2018/fig22.jpg
Which of the following is visualized in this radiograph?,Carotid calcifications,Hyoid bone,Nose jewelry,,B,images/coralrad-exam1-fall-2018/fig23.jpg
Which of the following best describes the patient's periodontal bone?,Generalized severe bone loss,Generalized mild bone loss with several localized areas of severe bone loss,Generalized mild bone loss,No bone loss is noted in this radiograph,B,images/coralrad-exam1-fall-2018/fig24.jpg
Tooth #30 appears to have _____ roots.,1,2,3,4,C,images/coralrad-exam1-fall-2018/fig25.jpg
"All of the following are well-visualized in this radiograph, EXCEPT one. Which one is the EXCEPTION?",Dental caries,Class V restoration,Overhanging restoration margins,Cone cut,B,images/coralrad-exam1-fall-2018/fig26.jpg
Which type of radiograph is this best described as?,Horizontal bitewing,Vertical bitewing,Mandibular periapical,Occlusal,C,images/coralrad-exam1-fall-2018/fig27.jpg
Calculus is noted in this radiograph.,True,False,,,A,images/coralrad-exam1-fall-2018/fig28.jpg
Periodontal bone loss is noted in this radiograph.,True,False,,,A,images/coralrad-exam1-fall-2018/fig29.jpg
Which of the following best describes this patient's age?,Less than 10 years of age,10 - 30 years of age,30 - 50 years of age,50+ years of age,D,images/coralrad-exam1-fall-2018/fig30.jpg
Ghost images are seen in this panoramic radiograph.,True,False,,,A,images/coralrad-exam1-fall-2018/fig31.jpg
Which of the following best describes the radiopaque objects projected near the angles/rami of the mandible?,Poorly-defined,Well-defined,,,B,images/coralrad-exam1-fall-2018/fig32.jpg
Which of the following best describes the radiopaque objects projected near the angles of the mandible?,irregular in shape,unilocular in shape,,,A,images/coralrad-exam1-fall-2018/fig33.jpg
The location of this radiograph is the anterior maxilla.,True,False,,,B,images/coralrad-exam1-fall-2018/fig34.jpg
The shape of the radiopaque entity projected near the crowns of the teeth is best described as:,(Curvi)linear,Systemic lupus erythematosus-oid,Multilocular,Irregular,A,images/coralrad-exam1-fall-2018/fig35.jpg
Calculus is present in this radiograph.,True,False,,,A,images/coralrad-exam1-fall-2018/fig36.jpg
The internal structure of the entity in the apical portion of the #12 region is best described as:,Radiolucent and containing a linear radiopacity,Radiopaque and containing a linear radiopacity,,,B,images/coralrad-exam1-fall-2018/fig37.jpg
The shape of the entity in the apical portion of the #12 region is best described as:,Round and containing a linear structure inside of it,Irregular,Multilocular,Punched out,A,images/coralrad-exam1-fall-2018/fig38.jpg
The effects on adjacent structures from the entity in the apical portion of the #12 region is best described as:,Displacement of nearby roots,Resorption of nearby roots,Communication with the left maxillary sinus,No effects on adjacent structures are observed,D,images/coralrad-exam1-fall-2018/fig39.jpg
"Considering the entire radiographic presentation, the entity in the #12 region is most likely:",Trabecular bone,Supernumerary tooth,Retained root fragment,Lip piercing,C,images/coralrad-exam1-fall-2018/fig40.jpg
"Which of the following teeth has a large, well-visualized carious lesion that cannot be cervical burnout?",#17,#18,#19,#20,B,images/coralrad-exam1-fall-2018/fig41.jpg
"All of the following teeth appear to have dental caries, EXCEPT one. Which one is the EXCEPTION?",#11,#12,#13,#14,D,images/coralrad-exam1-fall-2018/fig42.jpg
What type of radiograph is this?,Horizontal bitewing,Vertical bitewing,Premolar periapical,Molar periapical,B,images/coralrad-exam1-fall-2018/fig43.jpg
"All of the following findings are present in this radiograph, EXCEPT one. Which one is the EXCEPTION?",Root canal treatment (gutta percha),Fully calcified canal,Crown,Periapical lucency,B,images/coralrad-exam1-fall-2018/fig44.jpg
"All of the following findings are present in this radiograph, EXCEPT one. Which one is the EXCEPTION?",Fractured teeth,Caries,Periodontal bone loss,Calculus,B,images/coralrad-exam1-fall-2018/fig45.jpg
