title,Removable Prosthodontics Quiz 7 (Fall 2018),rempros,quiz
question,option_a,option_b,option_c,option_d,correct,image
Which statement is NOT TRUE concerning “occlusal rests”?,They transfer the forces of occlusion along the long axis of the tooth,They help maintain the vertical dimension of the prosthesis,"They can, in certain designs, be omitted",,C,
Maxillary Major Connectors MUST:,Have relief from the hard palate,Cover the whole palate,Contact the lingual surfaces of the remaining maxillary dentition,,A,
The fulcrum line relating to an RPD is?,Determined by a line drawn connecting the two most posterior occlusal rest seats,Determined by a line drawn connecting the two most anterior occlusal rest seats,Is only important in Kennedy Class III and IV partial dentures,,A,
Guide Planes provide:,Retention,Path of insertion,Path of removal,All of the above,D,
The position of the cast table of the surveyor is one of the determining factors of the position of the height of contour line on a surveyed tooth,True,False,,,A,
“RPI” as related to removable partial dentures refers to:,"Rotation, postion, index","Removable, partial, I-bar","Rest, proximal plate or Guide plane, I-bar",It's the school where partials were invented,C,
A “direct retainer” must encompass how much of an abutment? (in degrees),at least 270,at least 90,at least180,at least 360,C,
"Which of the following describes correctly, the design of an occlusal rest seat?",It is spoon shaped,It is deeper towards the center of the tooth than the marginal ridge,It directs the forces away from the center of the tooth,Both a and b,D,
A major characteristic of the mandibular lingual bar major connector is its intimate contact with the lingual mucosa,True,False,,,B,
A clasp design that has the retentive arm entirely under the height of contour of a tooth is called:,A supra-bulge clasp,A “C” clasp,An RPA clasp,An infra-bulge clasp,D,
