title,Intro to Implants Exam 2 (Spring 2023),implants,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
The main complication reported with implants placed in growing patients is:,Infraocclusion positioning of dental implants in the maxillary and mandibular archs,Infraocclusion positioning of dental implants in the maxillary arch and the rotation of implants in the mandibular arch.,Infraocclusion positioning of dental implants in the mandbibular arch and the rotation of implants in the maxillary arch,The rotation of dental implants in the maxillary and mandibular arch's,,,B,
All of the following are errors which may affect guided surgery except:,Acquisition and data processing,Surgical template production,Template positioning,Stable tooth born template,,,D,
The main advantage of guided surgery is the:,Ability to plan and optimize the implant position in a restorative driven placement manner,Ability to place multiple implants,It reduces surgical time,It simplifies the implant placement process,,,A,
"Surgical guides are only GUIDES and it is important to have a fundamental knowledge of their limitations because studies indicated that the mean angular deviation, and linear deviation at implant neck and apex were:",10 degees and 2.3mm,5 degrees and 3.2mm,5 degrees and 2.3mm,2 degrees and 5.3mm,,,C,
"A patient presents to your office for implant placement. She is missing teeth numbers 12 and 13, but only has 12mm of space between teeth numbers 11 and 14. Your options for treatment include all of the following except?",Send patient to orthodontist to see if they can develop more space.,Place two 4mm implants to replace 12 and 13,Place one implant with a crown and cantilever restoration,Recommended patient have a bridge placed between 11 and 14,,,B,
The greater palatine foramen is most often found:,Distal to the third molars,Opposite the third molars,Between the 2nd and 3rd molars,Opposite the 2nd molars,,,B,
The minimum vertical space required for an implant retained overdenture is?,5mm,7mm,11mm,15mm,,,B,
"An implant surgeon should be careful when placing implants in the anterior mandible between the mental foreman because there is a chance, they could hit the:",Incisive nerve,Inferior alveolar nerve,Mental nerve,Incisive nerve,,,A,
A patient presents to your office with a fractured off crown on tooth number 8. You decide to extract the tooth and place an immediate implant. An implant is placed and a temporary crown is delivered. The implant is considered to be?,"Immediate load, not immediate function","Immediate load, immediate function","Not immediate load, immediate function",Not immediate load or immediate function,,,A,
When placing an immediate implant with a temporary. The minimum torque force one would like to achieve is?,25N/cm,36N/cm,45N/cm,57N/cm,,,C,
The ideal amount of space for an implant retained hybrid is?,5mm,10mm,15mm,20mm,,,C,
The vertical dimension of restorative space generally refers to the?,Space needed for implant and abutment,"Space needed for implant components, materials, and teeth",Space need for implants and teeth,Space needed for teeth only,,,B,
If you do not have a cone beam CT scan it is advisable to palpate the lingual aspect the mandibular ridge when placing implant in the posterior mandible: if there is a severe undercut you may have to use shorter implants or change the trajectory of your implant.,"First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,C,
"While there is no study which show the link between specific mechanical load and histologic changes around implants ; we know that occlusal disharmony can result in surface wear, fracture, loosened screws, and abutment and implant fracture.","First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,C,
"The Nasopalatine foremen and its contents can complicate the placement of maxillary anterior implants; however, the nerve can be removed with little to know sensory deficient","First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,C,
All of the following are absolute contraindications to implant therapy except?,Uncontrolled diabetes,Intravenous bisphosphonate use,Unrealistic expectations,Controlled systemic disease,,,D,
"You should have no occlusal contact when placing a temporary crown on an immediate implant; however, interproximal contact does not matter?","First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,A,
Care should be taken when extracting an anterior maxillary tooth and placing an immediate implant; one should never graft the gap between the implant and the buccal plate?,"First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,A,
"The growth of the facial skeleton continues after puberty, but the amount of growth decreases steadily and after the second decade of life and seems to be clinically insignificant.","First statement is true, second statement is false","First statement is false, first statement is true","First statement is true, second statement is true","First statement is false, second statement is false",,,C,
What is not a basic tenant to digital implant surgical planning?,Digital implant surgical planning is prosthetically driven to ensureproper placement of an implant based on the desired final restoration,Digital implant surgical planning confirms to the surgeon if s/he can achieve primary stability of the planned implant/implants,Digital implant surgical planning visualizes and avoid important anatomic landmarks,,,,B,
Who can digitally plan an implant surgery?,The surgeon,The restorative dentist,An implant planning service,The lab,All of the above,,E,
What are the benefits of Implant Studio software?,The entire process can be totally outsourced,It's a closed system that can't be messed with,It allows for designof a surgical prosthetic guide,"A, B, and C",,,C,
What design considerations need to be defined when fabricating an implant surgical guide?,Reinforcing the guide with struts to provide strength,Whether the surgical plan will be pilot vs. free-hand,Limiting the number of implants per guide,A and B,,,A,
The reason(s) clinicians take the time to complete digital implant surgical planning include:,It allows for visualization and avoidance of important anatomical landmarks,One can plan the position of the teeth based upon where the implants are placed,It best ensures no anesthetic is needed on the day of surgery,All of the above,,,A,
A tooth-supported surgical guide is more predictable than a tissue-supported guide.,True,False,,,,,A,
Which of the following data set(s) is required for digital implant surgical planning?,CBCT scan,CBCT scan and Surface scan,"CBCT scan, Surface scan, and 3D facial scan",,,,B,
What statement is TRUE?,Digital surgical implant planning is required for implant therapy,Digital surgical implant planning is best practices for implant therapy,Digital surgical implant planning can be done at the time of surgery,,,,B,
Why are screw-retained crowns preferred to cement-retained crowns?,Improved aesthetics,Reduced risk of peri-implantitis,Less chance of screw-loosening,,,,B,
Why would you prescribe a cement-retained crown instead of a screw-retained crown?,Because of implant angulation,Because the lab bill costs less,Because it will last longer,"A, B, and C",,,A,
What pre-surgical prosthetics can be manufactured when digitally planning an implant surgery?,Essix Appliance,Maryland Bridge,Screw-retained provisional crown,Provisional FPD,All of the above,,E,
What is a scan flag?,It's a software icon you must choose when setting up the prescription for an implant impression,It's the part you buy from the lab and send back with the impression to make the screw-retained crown,It's the component that gets screwed onto an implant to relate the position of the implant to the surrounding dentition in the design software,It's the flag you wave when you are lost and need help troubleshooting the scanning software,,,C,
What factors must be considered when deciding to immediately provisionalize an implant?,If primary implant stability has been achieved,Patient compliance with post-operative instructions,Patient's occlusion,The diameter of the implant,"A, B, and C","B, C, and D",E,
