title,Periodontics I Final Exam (Fall 2021),perio1,final
question,option_a,option_b,option_c,option_d,correct,image
According to Ritz (1991) which method removed the least amount of root substance after 12 strokes?,Manual curette,Sonic scaler,Ultrasonic scaler,Rotating diamond bur,C,
According to Lindhe (1982) what is the average critical probing depth for loss of attachment when performing Scaling and Root Planing?,4.2mm,2.1mm,5.5mm,2.9mm,D,
When probing depths are 4-6mm what percent of the time are the roots clean after Scaling/Root Planing?,43%,32%,25%,90%,A,
Which of the following is true regarding calculus removal prior to surgery?,The is an increase in the size of the surgical field,There is a decrease in the amount of time the flap needs to be open,There is a decrease in the band of attached gingiva,None of the answer choices,B,
What factors are responsible for reduced pocket depths after Scaling and Root Planing?,Inability to probe due to close adaptation of gingival to tooth,Gain of attachment,Recession of the gingiva,All of the answer choices,D,
At which range does the Piezoelectric Scaler operate?,"3,000 - 8,00 cycles per second","18,000 - 45,000 cycles per second","25,000 - 50,000 cycles per second","50,000 - 100,000 cycles per second",C,
The following conditions are an indication for the use of Interdental Aids:,Large interdental spaces,The presence removable appliances,The absence of bone loss,All of the answer choices,A,
What is the average width of furcation openings?,2-3mm,1.5-2mm,3-4mm,.5-1mm,D,
A new toothbrush removes how much more plaque than a 3-month-old toothbrush?,10%,20%,30%,40%,C,
Which of the following is true regarding Gingivitis?,Gingivitis always progresses to Periodontitis,Periodontitis always precedes Gingivitis,Gingivitis may remain stable for many years and may never progress to Periodontitis,None of the answer choices,C,
What is true regarding the Early Lesion of Gingivitis?,There is an increase in T-cells,There is no bleeding on probing,Margination of Neutrophils begins,All of the answer choices,A,
Which of the following is a role of T-cells?,Secretion of interleukins,Differentiation of B cells to plasma cells,"Secretion of interleukins, and differentiation of B cells to plasma cells",None of the answer choices,C,
What is the function of GCF (Gingival Crevicular Fluid)?,There is antimicrobial activity,There is cleansing of material from the sulcus,There is antibody activity in defense of the gingiva,All of the answer choices,D,
According to Proye (1982) what is true regarding pocket depth following one visit of scaling and root planning?,Recession was not noticed until after three weeks,There was a gain in attachment after two weeks,The average attachment gain was 0.52mm,All of the answer choices,C,
Hypophosphatasia is characterized by:,Increased levels of serum alkaline phosphatase and decreased levels of urinary phosophoethanolamine,Decreased levels of serum alkaline phosphatase and increased levels of urinary phosphoethanolamine,Decreased levels of serum alkaline phosphatase and decreased levels of urinary phosphoethanolamine,Increased levels of serum alkaline phosphatase and increased levels of urinary phosphoethanolamine,B,
"Multiple tiny vesicles presenting on the perioral skin, vermillion border of the lips and the oral mucosa that rupture into large, painful ulcerated areas is a sign of:",Papillon-LeFevre Syndrome,Acute Necrotizing Ulcerative Gingivitis,Acute Primary Herpetic Gingivostomatitis,Candidiasis,C,
What is true regarding the cell wall of many Gram-negative bacteria?,There is a lipopolysaccharide that is cytotoxic to fibroblasts,The cell wall causes stimulation of bone deposition,It has endotoxin that is not heat stable,All of the answer choices,A,
What is true regarding cementum?,Endotoxin can penetrate into cementum up to 12 microns,Root planning includes removal of cementum affected with Endotoxin,"Endotoxin can penetrate into cementum up to 12 microns, and root planning includes removal of cementum affected with Endotoxin",None of the answer choices,C,
Which of the following criteria are used to re-evaluate the efficacy of Scaling and Root Planing?,Root smoothness,Soft-tissue response,Re-epithelialization,All of the answer choices,D,
Which of the following are features of the Pocket Wall in Periodontal Disease?,Epithelium is highly infiltrated with PMN's and lymphocytes,There is decreased formation of rete pegs,There is a decrease in the amount of blood vessels,All of the answer choices are features of the pocket wall,A,
What is true regarding the initial lesion of gingivitis (Page and Schroeder)?,Margination of PMN's,Increased flow of GCF,Vasculitis,All of the answer choices are true,D,
The role of Macrophages include?,Secretion of complement proteins,Antigen processing,Antigen presentation,All of the answer choices are true,D,
Electrolytes are considered an Enzymatic Component of Gingival Crevicular Fluid,True,False,,,B,
According to Page and Schroeder (1976) in which Stage of Gingivitis is bleeding on probing first seen?,Stage I,Stage II,Stage III,Stage IV,B,
According to Dr. Max Listgarten Spirochetes can first be seen near the surface of subgingival plaque after how many weeks?,1 week,2 weeks,3 weeks,4 weeks,C,
Gingivitis does not always precede Periodontitis. This statement is:,True,False,,,B,
Gingivitis may remain stable for many years. This statement is:,True,False,,,A,
What is true regarding cementum?,Cementum is thickest near the CEJ,Cervical cementum is too thick to be removed,Width of coronal cementum is 500 microns,None of the answer choices,D,
For which of the following Electric Scaling Units is the vibration of the tip linear?,Piezoelectric Unit,Sonic Unit,Magnetostrictive Unit,"""Cavitron"" Unit",A,
How many days does it usually take for the Early Lesion of Gingivitis to be detected?,Up to four days,From four to seven days,From seven to twenty-one days,None of the answer choices,B,
"To determine radiographic bone loss, the tooth is divided into how many parts?",Fifths,Quarters,Thirds,Sixths,C,
"Multiple tiny vesicles presenting on the perioral skin, vermillion border of the lips and the oral mucosa that rupture into large, painful ulcerated areas is a sign of:",Papillon-LeFevre Syndrome,Acute Necrotizing Ulcerative Gingivitis,Acute Primary Herpetic Gingivostomatitis,Candidiasis,C,
Plaque Induced Gingivitis may occur on a periodontium with attachment loss which is stable and non-progressing.,True,False,,,A,
Factors that are used to determine a periodontal diagnosis is/are:,Rate of progression,Presence of certain signs and symptoms,Patient's age of onset,All of the answer choices,D,
According to the Specific Plaque Hypothesis microscopic examination of plaque revealed that different bacterial morphotypes were found in healthy versus periodontally diseased sites.,True,False,,,A,
