title,Oral & Maxillofacial Surgery Final Exam (Spring 2022),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"BONUS: Since this patient reported a history of having had coronary stents placed, he must have had a myocardial infarction and sustained damage to his heart.",True,False,,,,,,B,
Please refer to the attached pdf for the case scenario. It was decided to delay the extraction until the patient has not taken warfarin for two days. The extraction was performed without re-checking the INR. The patient calls several hours after the extraction and reports that he has heavy bleeding that will not stop. Which of the following statements is FALSE?,The patient should be evaluated to see how heavy the bleeding is and if intervention is required.,"The INR should be re-checked and if it is not 1.0 or below, it should be assumed that this is the cause of the bleeding.",Local measures such as the application of hemostatic agents and re-suturing can be used to help reduce the bleeding.,Post-operative instructions should be reviewed with the patient to make sure he is doing everything correctly.,The INR should have been re-checked before the extraction was done.,,,B,
Please refer to the attached pdf for the case scenario. Which of the following statements about this patient's post-operative pain management is TRUE?,It is safe for him to take acetaminophen.,It is safe for him to take NSAIDS.,It is safe for him to take a combination of acetaminophen and NSAIDS.,He should not take any analgesics until his pain has reached a significant level.,He should expect to be pain-free when following the post-operative pain management protocol.,,,A,
Please refer to the attached pdf for the case scenario. Which of these statements about the mandibular right third molar (#32) is TRUE?,The surgeon might as well extract #32 at the same time as #31 since the patient is already having a procedure in that area.,"One of the periapical radiographs shows #32 entirely, so no other images would be necessary when deciding when and how to extract that tooth.","After #31 is extracted, #32 may erupt to some degree over time.",#32 must be extracted since it is impacted.,Extracting #32 would be easier now than when the patient was much younger since the surrounding bone is more elastic.,,,C,
Please refer to the attached pdf for the case scenario. Review of the imaging studies reveals the following about tooth #31: - Carious - Periapical pathology - Roots impinging on a narrowed inferior alveolar nerve - Crown an adjacent #30 Which of the following statements is TRUE?,"Extraction of #31 does not pose any risk of neurosensory disturbance since this is a second molar, not a third molar.",Coronectomy is a good option for treatment of this tooth.,"If the tooth fractures during extraction, the apical fragment can be left in place.","A throat screen should be used during the extraction since the adjacent tooth has a crown which could be dislodged during the extraction. Otherwise, use of a throat screen would not be necessary when performing the extraction.",NONE of these statements are TRUE.,,,E,
Please refer to the attached pdf for the case scenario. Which of the following statements is TRUE?,This patient's diabetes makes him more prone to developing an infection and if an infection does develop it will be more severe compared to a person without diabetes.,"This patient's diabetes does not make him more prone to developing an infection but if an infection does develop, it will be more severe compared to a person without diabetes.",If the patient is having surgery first thing in the morning with sedation and needs to be NPO for eight hours prior to the sedation he should take his insulin as he normally does.,If the patient is having surgery first thing in the morning with sedation and needs to be NPO for eight hours prior to the sedation he should double his insulin doses.,"During the peri-operative period, mild to moderate hyperglycemia puts the patient at greater risk than hypoglycemia.",,,A,
Please refer to the attached pdf for the case scenario. Which of the following statements about this patient's anticoagulation status and management is TRUE?,There is no risk in administering protamine sulfate which would reverse the effects of the warfarin.,There is no risk in administering Vitamin K which would reverse the effects of the warfarin.,The 4.5 INR is in the target range for preventing blood clot formation.,The general dentist should have decided to take the patient off his warfarin before sending him to the surgeon.,The patient was most likely taking the warfarin to reduce the risk of blood clots and stroke because of his atrial fibrillation.,,,E,
Please refer to the attached pdf for the case scenario. Which of the following statements about this patient's heart rate is FALSE?,This patient's heart rate is in the normal heart rate range.,"This patient's heart rate (54) is most likely due to the metoprolol, a beta blocker used for his hypertension.",This patient's heart rate (54) is most likely due to the patient being in pain.,This patient's heart rate (54) is most likely due to the patient's dental phobia/anxiety.,This patient's heart rate (54) is most likely due to the patient being a well-trained athlete.,,,B,
Please refer to the attached pdf for the case scenario. What ASA Classification would you assign to this patient?,ASA I,ASA II,ASA III,ASA IV,ASA V,,,C,
Consider the sutures depicted in this photograph: Which of these statements regarding the sutures shown here is TRUE?,S1 is a continuous “baseball” suture and S2 is a continuous “football” suture.,S1 is a continuous “baseball” suture and S2 is a continuous interlocking suture.,S1 is a continuous interlocking suture and S2 is a continuous “baseball” suture.,S1 is a continuous sling suture and S2 is a continuous “baseball” suture.,S1 is a continuous interlocking suture and S2 is a continuous sling suture.,,,C,images/omfs-final-spring-2022/fig11.jpeg
