title,GDA Midterm Exam (Summer 2017),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following statements is NOT true regarding gametogenesis?,The first meiotic division is a reduction division because the chromosome number is reduced from haploid to diploid.,A diploid or 2n cell has a total of 46 chromosomes.,Gametogenesis allows for random assortment of maternal and paternal chromosomes between the gametes.,Haploid cells are formd as a product of meiosis and the result is a cell with 23 chromosomes.,,,,A,
"Oocytes survive for only 24 hours, while sperm live for no more than 48 hours in the female genital tract.",True,False,,,,,,A,
Statement 1: Fertilization occurs in the ampulla of the uterine tube. Statement 2: If implantation occurs in the uterus it is considered an ectopic pregnancy.,Statement 1 is True. Statement 2 is True.,Statement 1 is False. Statement 2 is False.,Statement 1 is True. Statment 2 is False.,Statement 1 is False. Statement 2 is True.,,,,C,
What medication is widely accepted as appropriate for pain management following a dental procedure for a patient that is pregnant?,Ibuprofen,Codeine,Acetaminophen,Aspirin,Morphine,,,C,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (Lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,,,C,
Which of the following hormones is released by the mother in response to stress that can cause birth defects in the developing fetus?,Cortisone,Estrogen,Testosterone,Human Chorionic Gonadotropin,Secretin,,,A,
"What FDA classification is given to drugs that have been proven safe in animal fetal studies but there are currently no adequate, well-controlled studies in humans?",Category A,Category B,Category C,Category D,Category X,,,B,
Which of the following is false about diagnostic radiation in relation to pregnant patients?,The FDA states diagnostic radiation is contraindicated in pregnant patients,Use of a lead apron with a thyroid collar is indicated,The risk of birth defects from the radiation from one full mouth series (FMX) is 9 in 1 billion,It is important to communicate and educate expecting patients so that all parties feel comfortable with treatment options,None of the above,,,A,
The capability of a cell to give rise to several different kinds of specialized cells is known as:,Induction,Complexity,Pluripotential,Critical period,Specialization,,,C,
"Which of the following highly addictve illegal drugs is related to addiction in the unborn baby, respiratory distress, severe withdraw symptoms including irritability and convulsions and higher incidence of HIV transmission from mother to fetus?",PCP,Marijuana,Heroin,Cocaine,Alcohol,,,C,
What known antibiotic teratogen causes the yellow and brown banded staining shown in the figure provided?,Amoxicillin,Azithromycin,Tetracycline,Ciprofloxacin,,,,C,images/gda-midterm-summer-2017/fig11.jpeg
