title,Endodontics Final Exam (Spring 2020),endo,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
An iatrogenic event is the responsibility of:,the manufacturer of the product that caused the problem,the patient who may have suddenly moved abruptly during the procedure,the doctor doing the procedure,all the answer choices,,,C,
A good example of an iatrogenic event would be the use of the operating microscope.,true,false,,,,,B,
The worst iatrogenic event discussed in the lectures is:,separating an instrument in the canal,creating a ledge that prevents instrumentation to the apex,extrusion of NaOCl beyond the apex,extrusion of cement signficantly beyond the apex,,,C,
NaOCl beyond the apex is highly toxic in concentrations as low as:,0.5%,0.01%,5.25%,0.05%,,,B,
NaOCl attacks the mineralized portion of bone marrow,True,False,,,,,B,
What treatment should not be included with extrusion of NaOCl over the apex?,the use of cold compresses the first day,the administration of antibiotics immediately,injecting saline beyond the apex as quickly as possible,the use of negative pressure to vacuum out as much NaOCl as possible,the use of warm compresses on the second day to encourage blood circulation,none of the answer choice,F,
One can often determine whether or not an instrument has perforated the inferior alveolar nerve by:,taking a series of periapical x-rays at different angles,palpating deeply into the buccal fold of the tooth being treated,employing the apex locator whenever taking a measurement,"viewing saggital, coronal and axial views of the instrument in the canal",,,D,
The two basic causes of instrument separation are:,inadequate access and overuse,excessive radicular pressure and operator inexperience,torsional stress and cyclic fatigue,canal curvature and rotational speed,,,C,
What approach reduces instrument separation the most?,asymmetrical reciprocating motion,rotary motion,manual motion,30º oscillating motion,,,D,
Instruments used in the safest way have the advantages of:,being used vigorously in three dimensions,being used vigorously in thin isthmuses,creating a three-dimensional glide path for subsequent instruments,being used multiple times before replacement,all the answer choices,,E,
The safest and most complete way to apply cement prior to obturation is by:,use of a pressure syringe,use of the bidirectional spiral,use of a paper point as the applicator,use of the lentulo,,,B,
The bidirectional spiral is unique in that it:,drives the cement apically and laterally along the entire length of the canal,prevents excess cement from escaping coronally,prevents excess cement from extruding apically during its application,it prevents the lateral flow of cement,,,C,
In Blooms Taxonomy of critical thinking the highest state is:,analyzing,applying,understanding,creating,,,D,
The basis of critical thinking is:,understanding,analyzing,remembering,applying,,,C,
"In a problem solving loop, the process is initiated by:",identifying the problem,explore information and create ideas,select the best idea,build and test the ideas,evaluate the results,,A,
What is not a barrier to critical thinking?,group think,biased experience,drone mentality,open forum debates,social conditioning,,D,
Evidence based medicine is based on the intersection of:,"clinical experience, best research evidence and personal experience","clinical experience, best research evidence and patient’s values","clinical experience, case studies and personal experience","expert opinion, clinical experience and patient’s values",,,B,
Greater tapered shaping preserves tooth structure and adapts to the pulpal anatomy accurately in all cases.,True,False,,,,,B,
Which statement is not true?,reamers engage the dentinal walls less than files,files shave dentin away primarily with the pull stroke,the flutes on a file are more vertically oriented than those on a reamer,the reamer produces a superior sense of tactile perception,,,C,
What statement is not true?,30º oscillating instrumentation at 3000-4000 cycles per minute is faster than rotary,it is far safer to internally route the canals with oscillating driven reamers than greater tapered rotary systems,oscillation allows the instruments to be used safely multiple times,oscillation reduces procedural stress because the instruments are less prone to separation,,,A,
The most important step for a dentist planning to treat a medically compromised patient is to:,start treatment as quickly as possible,place the patient on prophylactic antibiotics,communicate with the patient’s physician or physicians,have the patient fully understand what the treatment will consist of,,,C,
What is not a sign of hypoglycemia?,confusion,tremors,agitation,pruritis (itchy),diaphoresis (sweating),tachycardia,D,
"If a tooth with a periapical area responds normally to cold, the dentist should:",leave it alone because the pulp is obviously alive,"consider the possibility of a metastatic lesion from the lungs, breast or prostate",treat the tooth because the pulp test is most likely a false positive,take a CBCT to determine the extent of the lesion,,,B,
You can differentiate a deep perio lesion from an endo perio lesion by doing the following:,measuring the depth and the width of the pocket,percussing the tooth from different angles,pulp testing,taking a CBCT,,,C,
The goal of instrumentation to remove the most pulp tissue and bacteria while sacrificing the least amount of tooth structure implies that:,greater tapered rotary instrumentation is best,gaining straight-line access coronally is mandatory,less tapered instruments used in 30º oscillations against all the canal walls is most appropriate,greater tapered instruments should be used vigorously against the buccal and lingual pulpal extensions of oval canals and thin isthmuses.,,,C,
A level of pulpal inflammation in which the tissue is capable of returning to a normal state of health if the noxious stimuli are removed:,Reversible Pulpitis,Symptomatic Irreversible Pulpitis,Pulp Necrosis,Chronic Apical Abscess,,,A,
"Tooth #3 has a periapical radiolucency on the MB root and the diagnostic tests are, perc (-) palp (-) cold (-) swelling (-) sinus tract (-). What is your diagnosis?",Symptomatic Irreversible Pulpitis with Symptomatic Apical Periodontitis,Pulp Necrosis with Symptomatic Apical Periodontitis,Asymptomatic Irreversible Pulpitis with Asymptomatic Apical Periodontitis,Pulp Necrosis with Asymptomatic Apical Periodontitis,,,D,
Pulp exposures secondary to trauma can be amenable to conservative pulp therapies which conserve vital pulp tissue which can allow for continued root development.,True,False,,,,,A,
Pulp exposure during caries excavation in which bleeding cannot be controlled is a strong indicator of irreversible pulpitis.,True,False,,,,,A,
Endodontic disease/apical periodontitis is mainly caused by:,Bacteria inside the root canal,Bacteria outside the root canal,,,,,A,
Apical periodontitis is an inflammatory response to an infective process caused by bacteria.,True,False,,,,,A,
32 year old patient presents with a chief complaint that includes spontaneous and lingering pain to cold fluids. Upon radiographic exam you notice decay approximating the pulp of tooth #3. After caries excavation you notice there is no pulpal exposure. This is a strong indicator that a root canal can be avoided and that all that is needed is a well-sealed restoration.,True,False,,,,,B,
"Patient presents with a chief complaint of pain around his lower anterior teeth. He is not sure which tooth specifically is causing the discomfort. Upon radiographic examination you notice a significant periapical lesion that spans the apex of teeth #23, 24, 25. Because the lesion is touching the roots of these three teeth it is a strong indicator that all three teeth will require root canal therapy.",True,False,,,,,B,
A patient with an acute apical abscess associated with a necrotic pulp should be treated with a root canal. If the patient calls the day after you start the root canal and tells you the swelling is getting worse you should then tell the patient to only take an antibiotic if they develop fever.,True,False,,,,,B,
A sinus tract exiting on the gingiva adjacent to tooth #30 is an indication that tooth #30 is definitely the tooth that is causing the chronic apical abscess.,True,False,,,,,B,
A tooth with a chronic apical abscess is usually quite sensitive to percussion.,True,False,,,,,B,
There is never a justification to doing a root canal on a tooth with a healthy pulp.,True,False,,,,,B,
"Patient presents with decay on tooth #30. Radiographic exam reveals an open apex on both the mesial and distal roots. Upon caries excavation the pulp is exposed. The exposure measures 3 mm in diameter. After bleeding is controlled, you remove 2-3 of the coronal pulp tissue and place a bio-cermic material directly on the pulp. The term that best fits this procedure is:",Apexification,Apexogenesis,Indirect pulp cap,Pulpectomy,,,B,
A good indicator for a direct pulp cap is a pinpoint pulpal exposure in a tooth with a diagnosis of reversible pulpitis.,True,False,,,,,A,
One of the primary treatments for an immature permanent tooth with pulpal necrosis is apexogenesis.,True,False,,,,,B,
The reference point used by most clinicians for apical termination of cleaning and shaping the root canal system is:,Apical foramen,Cementodentinal junction,Radiographic apex,Apical constriction,,,D,
The endodontic explorer is not used often during root canal treatment. It is mostly used when trying to find a calcified canal.,True,False,,,,,B,
The best guide to follow during access preparation is the crown inclination.,True,False,,,,,B,
Maxillary 1st premolar usually has one root but 2 canals.,True,False,,,,,B,
The access preparation outline for a maxillary molar is :,Oval shape on the mesial aspect of crown (not invading marginal ridge),Oval shape on distal aspect of crown (not invading marginal ridge),Rounded triangle on mesial aspect of crown (not invading marginal ridge),Rounded triangle on distal aspect of crown (not invading marginal ridge),,,C,
Most maxillary molars have 4 canals,True,False,,,,,A,
A 2nd canal is found in about 20% of maxillary incisors.,True,False,,,,,B,
Studies indicate that about 25% of mandibular 2nd premolars will have a 2nd canal.,True,False,,,,,B,
The inferior alveolar nerve is located closest to:,The root apex of mandibular 2nd premolar,The mesial root apex of the mandibular 1st  molar,The distal root apex of the mandibular 1st molar,The distal root apex of the mandibular 2nd molar,,,D,
