title,Oral & Maxillofacial Surgery Final Exam (Spring 2018),omfs,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Which of the following is NOT a legitimate reason for bringing a patient to a hospital for Oral Surgical treatment?,To obtain maximal insurance payment for the surgeon providing treatment.,To better manage a patient who has behavioral or intellectual disabilities.,To provide safer care to a medically compromised/at-risk patient.,To provide care to a patient when adequate local anesthesia cannot be achieved to perform a procedure.,To provide complex treatment that requires a “team” approach.,,,,A,
"During procedures in a hospital operating room, which of the following statements is TRUE:",The scrub nurse and the circulating nurse perform the same duties.,The scrub nurse and the circulating nurse both gown and glove to assist the surgeon in performing surgery under sterile conditions.,The circulating nurse is responsible for the patient's circulation.,The scrub nurse gowns and gloves to assist the surgeon in performing surgery under sterile conditions.,Only the scrub nurse is allowed to participate in the Time-Out procedure. The circulating nurse never plays a role in the Time-Out.,,,,D,
"All of the following statements regarding a properly conducted pre-surgical Time-Out, are FALSE, EXCEPT:",Patient identity can be adequately confirmed if at least one patient identifier is checked and correct.,Surgical procedure and site must be confirmed by the entire operative team.,The patient cannot participate in the Time-Out.,Either the surgeon or the anesthesiologist must be present for the Time-Out; it is not necessary for both of them to participate.,The surgeon and the anesthesiologist are the only members of the operative team who can halt the procedure if any questions arise during the Time-Out.,,,,B,
Which of the following practices/techniques are useful in the prevention or management of post-operative airway problems?,Intubation and extubation should be performed in a manner that minimizes trauma to the airway.,Administration of cooled high humidity oxygen after extubation.,Administration of racemic epinephrine via aerosol after extubation.,"Strictly monitor the patient's condition, including observation for signs of airway problems, such as crowing and use of accessory muscles for breathing.",Keeping a tracheostomy set at the patient's bedside.,All of the above.,,,F,
In which of the following situations is post-operative vomiting the most dangerous?,A 23 year-old healthy patient who had treatment for a mandible fracture and has his jaws wired together in IMF (intermaxillary fixation).,A 4 year-old healthy patient who had his four maxillary incisors removed for “baby-bottle caries.”,A 70 year-old patient with hypertension who had a maxillary torus removed.,"A 23 year-old healthy patient who had orthognathic surgery with rigid fixation, avoiding the need for wiring her jaws together in IMF.",A 72 year-old patient with GERD (gastroesophageal reflux disease) who had several implants placed.,,,,A,
Which of the following tests/evaluations is NOT useful during a work-up for a post-operative fever?,Chest radiograph.,Urinalysis.,White blood cell count and differential.,Examination of the surgical site.,Examination of IV sites.,INR,,,F,
Which of the following techniques/procedures is NOT useful in minimizing the occurrence or severity of intra-operative blood loss or managing the post-operative complications that may arise from intra-operative blood loss?,Placing the patient in the Reverse Trendelenberg position during surgery.,Administration of hypertensive anesthesia during surgery.,Pre-operative autologous blood donation by the patient so that his/her own blood may be given back to them post-operatively.,Post-operative transfusion of the specific blood component that a patient requires.,All of these techniques are useful.,,,,B,
"Impacted teeth are associated with all of the following conditions, EXCEPT:",Cleidocranial dysplasia.,"Endocrine deficiencies (hypothyroidism, hyperthyroidism).",Deficient arch length.,Supernumerary teeth and/or local pathology such as cysts or tumors.,Congenitally missing permanent teeth.,,,,E,
"If a symmetric canine bulge does not exist in a patient's vestibule by age 9, then radiographic assessment and/or orthodontic consultation is indicated.",TRUE.,FALSE.,,,,,,,A,
Which of the following statements is NOT TRUE regarding techniques for the exposure of labially positioned impacted maxillary canines?,Techniques should be chosen to maximize the presence of attached gingiva at the labial surface of the tooth.,A technique involving an apically positioned labial flap can be utilized to reliably achieve an optimal long-term result in the majority of these cases.,A technique involving a labial flap which is replaced in its original position for closed eruption can be utilized to reliably achieve an optimal long-term result in the majority of these cases.,A technique involving gingivectomy for teeth that are very superiorly positioned can be utilized to reliably achieve an optimal long-term result in the majority of these cases.,Techniques that utilize open eruption do not require additional surgery if the bond between the bracket and the tooth fails.,,,,D,
