title,Practice Management I Midterm Exam (Spring 2021),pmgmt1,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Workers Compensation Policy is optional for employers with less than 5 employees.,True,False,,,,B,
Agency responsible for certifying radiology for dental assistants,HIPAA,Board of Dentistry,OSHA,DEP,EPA,D,
The agency that regulates the allowable chair side duties of Dental Assistants,DEP,Board of Dentistry,OSHA,EPA,,B,
The agency that deals with safety in the workplace is:,Hipaa,EPA,OSHA,HHS,None of the answer choices,C,
National repository of adverse actions taken against a Dentist.,NPI,OSHA,HIPAA,National Data Bank,None of the answer choices,A,
Agency that establishes requirements for the management of medical wastes:,Board of Dentistry,NJBRH,NPI,DEP,None of the answer choices,D,
A unique identifier for health providers used with electronic claims submission:,DEA number,CDS number,NPI number,None of the answer choices,,C,
The practice of dentistry is governed by statutes and regulations.,True,False,,,,A,
Offering a discounted fee must be disclosed on the insurance claim form.,True,False,,,,A,
A key consideration in deciding whether to join a dental PPO or Dental HMO is unused chairside hours.,True,False,,,,A,
PPO plan fees are generally lower than UCR fees.,True,False,,,,A,
A deductible is:,Paid by the patient,A fee that must be collected,"Many times, an annual fee",Occurs in many indemnity plans,All of the answer choices,E,
Falsification of dental insurance claims is not considered a criminal offense.,True,False,,,,B,
The organization responsible for updating the CDT code is,DEP,ADA,CDC,OSHA,None of the answer choices,B,
Laws proposed by the legislature and signed by the governor are called:,Rules,Laws,Statutes,Regulations,None of the answer choices,C,
The agency that regulates the dispensing of controlled pharmaceuticals is:,DEP,OSHA,DEA,EPA,None of the answer choices,C,
What agency is responsible for establishing standards to insure safety in the workplace?,DEP,OSHA,DEA,EPA,None of the answer choices,B,
The National Provider Number is used to:,provides uniform prescription writing,provides a unique number to 1dentify a provider,provide compliance to standards,identifies an advanced degree,none of the answer choices,B,
HIPAA Standards provide protection of patient information.,True,False,,,,A,
What term is used to describe not collecting a deductible or copayment?,Deductible,Copayment,Waive,Assignment,None of the answer choices,C,
The Term UCR stands for,Usual Consistent Relative,Usual Customary and Reasonable,Usual Customary and Reliable,None of the answer choices,,B,
Preferred Provider Organization (PPO) plan is an Indemnity Plan.,True,False,,,,A,
CDT is:,criteria for identifying caries,codes for identifying dental procedures✓,Uniform criteria for premedication,All of the answer choices,None of the answer choices,B,
When a dependent is insured by both parents which insurance is considered primary?,the oldest parent is primary,either parent is considered primary,the plan longest in effect,none of the answer choices,,D,
"In most states, a DEA Certificate is all that is necessary for a Dentist to administer enteral sedation in a private office.",True,False,,,,B,
