title,Periodontics II Final Exam (Spring 2020),perio2,final
question,option_a,option_b,option_c,option_d,correct,image
Tertiary Prevention of Periodontal Disease is the prevention of disease progression.,True,False,,,B,
Which of the following is/are true according to the Lang 1986 article (Bleeding on probing. A predictor for the progression of periodontal disease?),Patients with Bleeding on probing at 8% of their sites had a higher chance of losing attachment,Periodontal sites with probing depths of 5mm had a significantly higher incidence of bleeding on probing,Periodontal sites with bleeding on probing during three of the past three maintenance visits had a 30% chance of losing attachment in the future,All of the answer choices are true,B,
What factors are used to determine an appropriate periodontal maintenance interval for a patient?,Presence of risk factors,Level of plaque control,Severity of disease,All of the answer choices,D,
Which of the following is/are true regarding compliance with periodontal maintenance after periodontal treatment?,According to Wilson (1984) only 16% of patients were compliant with suggested maintenance intervals,Compliant patients had higher negative aggression scores than non-compliant patients,Patients who were compliant had 3.5 times greater tooth loss,All of the answer choices,A,
The pulsed Nd:YAG laser has an affinity (is absorbed well in) for which of the following?,Gram negative anaerobic bacteria,Connective Tissue,Water,None of the answer choices,A,
What findings were demonstrated by the histologic study of periodontal pockets treated with the LANAP (Laser Assisted New Attachment Procedure) protocol?,Several pockets healed with a long-junctional epithelium,There was cementum-mediated new attachment,There was no change in pocket depths,None of the answer choices,B,
Which Miller Class of recession is defined as when there is gingival recession which extends to or beyond the mucogingival junction and there is loss of interdental bone which extends to the apical extent of the marginal tissue recession?,Class I,Class II,Class III,Class IV,D,
Total root coverage is expected when treating Miller’s Class III Recession.,True,False,,,B,
Which of the following is the Siebert Class of Ridge Defects when there is Apico-coronal loss of tissue with normal buccolingual width?,Class I,Class II,Class III,Class IV,B,
Which of the following are reasons that you would perform a Replaced Flap?,To preserve esthetics in the anterior region,To ensure healing with New attachment,To reduce/treat infrabony pockets,All of the answer choices Title: 011,A,
Which of the following can occur when the “Biologic Width” is violated?,Chronic gingival inflammation,Chronic Pain,Loss of alveolar bone,All of the answer choices,D,
When performing a Gingivectomy which of the following incisions is used?,Sulcular incisions,Inverse Bevel incisions,External Bevel incisions,None of the answer choices,C,
Which of the following is/are not an indication for Gingivectomy?,Inadequate Zone of Attached Gingiva,Infrabony Defect,Acute Periodontal Abscess,All of the answer choices,D,
A patient has a Glickman’s Grade I Furcation on tooth #19.  What periodontal treatment should be recommended?,Guided Bone Regeneration,Root Resection Surgery,Osseous Surgery,Scaling and Root Planing,D,
What is true regarding healing after a Gingivectomy procedure?,Epithelialization takes 8-10 weeks,Healing occurs by tertiary intention,Healing is faster than that of a flap procedure,None of the answer choices,D,
"According to Hirschfeld and Wasserman (1978), what percentage of patients followed were in the “Well Maintained” group?",66%,12.5%,83%,4.2%,C,
The absorption of the ND:YAG Laser energy is highest in which of the following?,Hemoglobin and Hydroxyapatite,Water and Hydroxyapatite,Hemoglobin and Melanin,Water and Melanin,C,
What did Dr. Beube (1947) show in his 12-year study of bone regeneration?,Using bone graft material makes it possible to maintain a tooth with advanced bone loss for many years,Splinting mobile teeth together gives you bone regeneration,Scaling and root planning results in bone regeneration,None of the answer choices,A,
"According to Rosenberg (1980), what is the amount of sound supra-osseous crest tooth structure needed to fulfill the total requirement for restorative dentistry?",3.0 to 5mm,1.5 to 3mm,2.5 to 3.5mm,3.5 to 4mm,D,
Which of the following is/are an indication for Crown Lengthening?,Caries,Gingival Overgrowth,Altered Passive Eruption,All of the answer choices,D,
Which of the following are restorative considerations for Crown Lengthening?,To permit proper tooth preparation,To allow for adequate marginal placement of the restoration,To create adequate interproximal space for restorative material,All of the answer choices,D,
Which of the following is a disadvantage of the Replaced Flap?,There is adaptation of healthy connective tissue to the root surface,There are residual probing depths in the presence of infrabony pockets,It is useful in the maxillary anterior region for esthetics,None of the answer choices,B,
What is the definition of Secondary Prevention?,Prevention of disease progression,The correction of defects to prevent disease progression,To prevent disease initiation,None of the answer choices,A,
Which of the following are criteria used to establish the interval of periodontal maintenance?,The level of plaque control,The presence of risk factors,The severity of the disease,All of the answer choices,D,
What are the objectives of Periodontal Maintenance?,To re-evaluate the results of active therapy,To reinforce Oral Hygiene,To ascertain the need for treatment,All of the answer choices,D,
What percentage of patients are accepted to be non-compliant with Periodontal Maintenance?,One quarter,One half,One third,One eighth,C,
The ENAP (Excisional New Attachment Procedure) is performed in order to:,Treat interdental craters,Removed inflamed tissue surgically,Obtain better esthetics,Perform osseous surgery after scaling and root planning,B,
Which of the following is true regarding “Gingival Curettage”?,It is a procedure that is a definitive method to treat periodontal disease,It is a procedure to remove tissue debris and granulation tissue,The results of “Gingival Curettage” are superior to Scaling and Root Planing,All of the answer choices,B,
Which of the following is not an indication for Soft Tissue Grafting?,To shorten the buccal vestibule,To eliminate dentin sensitivity,To improve esthetics,To prevent root caries,A,
What are features of the Tunnel Technique for placing Acellular Dermal Matrix?,The papilla are detached,The incision does not extend beyond the Mucogingival Junction,An external bevel incision is made,None of the answer choices,D,
A patial-thickness flap includes which of the following?,Periosteum,Connective Tissue,Periodontal Ligament,None of the answer choices,B,
“Biologic Width” (Supracrestal Attached Tissues) is defined as the dimension of:,Junctional epithelium and connective tissue attachment,Connective tissue attachment and gingival sulcus,Junctional epithelium and gingival sulcus,None of the answer choices,A,
A patient has periodontal surgery but the flap margins have a gap of 2mm.  How many days will it take for the margin edges to close?,1 day,2 days,3 days,4 days,B,
"According to the Modified Hamp Furcation Classification, which Grade is defined as: Through and through loss, bone is not attached to the dome of the furcation?",Grade I,Grade II,Grade III,Grade IV,C,
"According to Fleischer and Mellonig (1989), when an experienced periodontist performs closed Scaling and Root Planing, what percentage is there of remaining calculus?",32%,25%%,57%,92%,C,
