title,Biochemistry Exam 1 (Unofficial) (Summer 2026),biochem,,Unofficial student-compiled exam; not sourced from the official exam bank
question,option_a,option_b,option_c,option_d,correct
Why do chromosomes shorten with each round of replication?,"After removal of the final RNA primer, DNA polymerase cannot completely replicate the end of the lagging strand",Ribonuclease degrades the telomeric DNA,Helicase degrades the ends of the chromosome,DNA ligase fails to seal the final Okazaki fragment,A
What is the role of the signaling cell?,Receives and interprets the signal,Degrades the signal after use,Amplifies the signal after receipt,Sends out the original signal,D
What is a telomere?,A protein complex that unwinds DNA,A structure that joins nucleosomes together,The site where RNA polymerase binds to begin transcription,A region of repetitive DNA sequences at the end of a chromosome,D
"What type of cells make up the thyroid gland, and how are they arranged?",Columnar epithelial cells forming a solid mass,Neuroendocrine cells arranged in clusters,Cuboidal epithelial follicular cells lined up around colloid,Squamous epithelial cells lined up around colloid,C
How many sets of core histones combine to form the nucleosome octamer?,Three,Four,Two,One,C
In which direction does DNA polymerase add new nucleotides?,2' to 5',3' to 5',5' to 3',Randomly in either direction,C
What does depolarization of the pancreatic cell membrane trigger?,ATP production stops immediately,Voltage-gated calcium channels open,Sodium channels close permanently,Voltage-gated potassium channels open further,B
"Which organ converts inactive vitamin D into its active form, Calcitriol?",The thyroid gland,The kidneys,The parathyroid gland,The liver,B
What is Hashimoto's Thyroiditis?,A genetic condition causing excess TSH production,"An autoimmune condition attacking the thyroid gland, leading to hyperthyroidism","An autoimmune condition attacking the thyroid gland, leading to inflammation, damage, and hypothyroidism",A bacterial infection of the thyroid gland,C
How does encapsulation typically differ between benign and malignant neoplasms?,Neither is typically encapsulated,"Benign neoplasms are typically encapsulated, while malignant neoplasms are typically non-encapsulated",Both are typically encapsulated,"Benign neoplasms are typically non-encapsulated, while malignant neoplasms are typically encapsulated",B
What is the second step of hemostasis?,Coagulation Cascade,Vasoconstriction/Vascular Spasm,Platelet Plug formation,Fibrinolysis,C
What enzymes are responsible for flipping phosphatidylserine between membrane surfaces?,Kinases and phosphatases,Helicases and ligases,Flippases and floppases,Synthetases and hydrolases,C
What type of damage can X-rays cause to DNA?,Single-stranded and/or double-stranded breaks,Only thymine dimers,Only deamination,Only depurination,A
How many steps make up the hemostasis pathway?,5,4,3,2,C
"After RISC separates the dsRNA, what does the remaining single strand do?","Senses out similar RNA strands, which it will then help degrade",Becomes a new ribosomal subunit,Binds directly to DNA to block transcription,Is exported from the cell to signal neighboring cells,A
What effect does IGF-1 have on osteoclast and osteoblast activity?,"Decreases their activity, decreasing endochondral ossification","Only increases osteoclast activity, with no effect on osteoblasts","Only increases osteoblast activity, with no effect on osteoclasts","Increases their activity, increasing endochondral ossification",D
What characterizes autocrine signaling?,It is signaling that requires direct contact between two different cells,It is a type of endocrine signaling exclusive to hormones,It is a subset of paracrine signaling where the signal acts on the cell that released it,It is signaling that only occurs through the bloodstream,C
What subunits make up the Insulin Receptor Tyrosine Kinase (Insulin RTK)?,Alpha and beta subunits,"Alpha, beta, and gamma subunits",Only alpha subunits,A single monomeric subunit,A
How can a G-protein help cancer cells evade p53 regulation?,It can convert into a receptor tyrosine kinase,It can only function when bound to p53 directly,It can be permanently locked in the GDP-bound inactive state,"It can be fooled into constantly being 'on', with the alpha subunit not dissociating from GTP",D
"What does Thrombin (IIa) do to Factor XIII, and what is the result?","Activates it into XIIIa, which cross-links fibrin, forming a layer on top of the platelets to hold the clot together","Activates it into XIIIa, which degrades fibrin to prevent excess clotting",Converts it directly into fibrinogen,"Inactivates it, preventing fibrin cross-linking",A
What happens at the ribosomal A site?,It brings in a new amino acid,It is where the start codon is recognized,It is where the tRNA exits the ribosome,It adds the amino acid to the growing peptide chain,A
Under what condition do DNA binding proteins bind tightly to DNA?,When the proper sequences are in the correct order,Only when the DNA is single-stranded,Only after DNA has been methylated,Only during S phase of the cell cycle,A
"What repair pathway rejoins double-strand breaks by smoothing broken ends, discarding some nucleotides, and is fast but error-prone?",Base excision repair,Non-homologous end joining,Nucleotide excision repair,Homologous recombination,B
