title,Periodontics I Quiz 1 (Fall 2019),perio1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
Alveolar Mucosa:,Blends imperceptibly with attached gingiva,"Is red, movable, and has a shiny surface",Is firmly bound to underlying bone,a. and b.,a. and c.,B,
The following is/are feature(s) of “Biofilms”:,They protect bacteria from phagocytosis,They engage in the primary production of their own nutrients,They are natural communal aggregations of microorganisms,All of the above,,D,
The function of the periodontal ligament (PDL) include:,Maintaining the vitality of the surrounding cells,Absorbing forces on the attachment apparatus of the tooth,Provides proprioception to the tooth,All of the above,,D,
The mucogingival junction is:,Absent facially but present palatally in the maxilla,Present present facially and absent lingually in the mandible,Present facially but absent palatally in the maxilla,Absent facially and palatally in the maxilla,Present facially and palatally in the maxilla,C,
Two primary processes involved in the formation of dental plaque are:,Aggregation and matrix formation,Pellicle formation and environmental forces,Aggregation and environmental factors,Interbacterial and host nutritional intake,Adherence and Growth,E,
What is true regarding Supragingival Calculus?,It is located below the gingival margin,It is commonly associated with teeth adjacent to minor salivary gland ducts,It absorbs food pigments and tobacco stains,All of the above,,C,
Which is a characteristic of the interdental “col”?,It is located outside the gingival embrasure,It is composed of alveolar bone only,It exists only in health,It conforms to the shape of the interproximal contact area,Exists when a diastema is present,D,
Which is the first of the tooth accumulated materials to form on a tooth after a “cleaning”?,Materia Alba,Acquired Pellicle,Calculus,Food debris,,B,
Which of the following is a “Biologic Risk Factor” for Periodontitis?,Smoking,Stress,Genetics,Anatomic Changes,,C,
Which statement regarding “Marginal Gingiva” is true?,It is attached,It is approximately 3mm wide,It is part of the Oral Sulcular Epithelium,None of the above,,D,
