title,Periodontics I Final Exam (Fall 2022),perio1,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
An Infrabony Pocket is when the base of the pocket is apical to bone.,True,False,,,,A,
A patient presents with 3mm of gingival recession and a 7mm pocket. How much attachment loss does this patient have?,4mm,3mm,7mm,10mm,,D,
What is true regarding Purulent Exudate?,Purulent Exudate is always seen in deep pockets,It does not indicate pocket depth,It indicates that a tooth is mobile,All of the above are true,,B,
According to Page and Schroeder (1976) in which Stage of Gingivitis is there Moderate Gingivitis?,Stage I,Stage II,Stage III,Stage IV,,C,
"When a patient is suffering from Periodontal Disease, the active phases of disease are followed by shorter periods of inactivity.",True,False,,,,B,
Gingivitis always precedes Periodontitis. This statement is:,True,False,,,,A,
Gingivitis always progresses to Periodontitis. This statement is:,True,False,,,,B,
According to Caffesse (1986) when probing depths are 4-6mm what percentage of the time are the roots clean after Scaling and Root Planing?,32%,43%,56%,83%,,B,
What is true regarding cementum?,Cementum is thickest near the CEJ,Cervical cementum is too thick to be removed,Width of coronal cementum is 500 microns,None of the above,,D,
What is the rationale for removing calculus?,Calculus makes plaque harder to removed,Calculus acts as an irritant against the sulcular lining,It decreases inflammation which makes it easier to incise and reflect the tissue during surgery,All of the above,,D,
Which of the following are features of the Pocket Wall in Periodontal Disease?,There is decreased formation of rete pegs,Epithelium is highly infiltrated with PMN's and Lymphocytes,There is a decrease in the amount of blood vessels,All of the above are features of the pocket wall,,B,
How does one evaluate the effectiveness of Scaling and Root Planing?,Evaluate tissue response,Check for root smoothness,Re-probe patient after 4-6 weeks,All of the above,,D,
Which Miller Class of Mobility is when there is mobility of less than 1mm but no apical movement?,Class 0,Class I,Class II,Class III,Class IV,C,
What factors are responsible for reduced pocket depths after Scaling and Root Planing?,Recession of the gingiva,Gain of attachment,Inability to probe due to close adaptation of the gingiva to the tooth,All of the above,,D,
According to Lindhe (1982) what is the average critical probing depth for loss of attachment when performing Osseous Surgery?,4.2mm,2.1mm,5.5mm,2.9mm,,C,
What is the average width of furcation openings?,3-4mm,1.5-2mm,0.5-1mm,2-3mm,,C,
A patient presents with benign gingival enlargement which is caused by moderate hyperplasia of the epithelium with hyperkeratosis. Enlargement begins with eruption of the primary teeth. The diagnosis for this patient is:,Hypophosphatasia,Hereditary Gingival Fibromatosis,Vincent's Infection,Eruption Gingivitis,,B,
According to Proye (1982) what is true regarding pocket depth following one visit of scaling and root planning?,Recession was not noticed until after three weeks,There was a gain of attachment after two weeks,The average attachment gain was 0.52mm,All of the above,,C,
Electrosurgery devices have the highest potential for electromagnetic interference in the dental operatory.,True,False,,,,A,
Factors that are used to determine a periodontal diagnosis include:,Rate of Tooth Loss,Attachment Loss,Radiographic Bone Loss,All of the above,,D,
Magnetostrictive scalers are safer than Piezoelectric scalers for patient with implanted cardiac devices.,True,False,,,,B,
Phagocytosis of bacteria and their products is a role of Macrophages in the role of Gingivitis.,True,False,,,,B,
Plaque reorganizes on the teeth and subgingivally within two hours.,True,False,,,,B,
What are features of the Established Lesion of Gingivitis?,There is decreased formation of Rete Pegs,There are low numbers of Plasma Cells in the Connective Tissue,There is increased destruction of collagen fibers,None of the above,,C,
What is the rationale for removing calculus?,Calculus allows for more plaque accumulation,Calculus acts as a mechanical irritant against the sulcular lining,Calculus can impede proper home care,All of the above,,D,
What is true regarding Cementum?,Cementum is thickest near the CEJ,Width of coronal cementum is 500 microns,Cervical Cementum is too thick to be removed,None of the above,,D,
"When comparing the effects of Manual vs Sonic/Ultrasonic scalers, which of the following is/are true?",The degree of plaque removal is greater with Sonic/Utrasonic Scalers,The amount of pocket reduction depth is similar,Manual curettes give better access to Class II and Class III Furcations,None of the above,,B,
When probing depths are >6mm what percentage of the time are the roots clean after Scaling and Root Planing?,43%,32%,25%,90%,,B,
"Relative to each other, which of the following scaling units has low heat production?",Sonic Scalers,Magnetoscrictive Scalers,Piezoelectric Scalers,Ultrasonic Scalers,,A,
Which of the following criteria are used to re-evaluate the efficacy of Scaling and Root Planing?,Root Smoothness,Soft-tissue Response,Re-epithelialization,All of the above,,D,
Which of the following are features of the Pocket Wall in Periodontal Disease?,Epithelium is highly infiltrated with PMN's and lymphocytes,There is decreased formation of Rete Pegs,There is a decrease in the amount of blood vessels,All of the above,,A,
How many days does it take for the Initial Lesion (Page and Schroeder-1976) to be detected?,Up to four days,From four to seven days,From seven to twenty-one days,None of the above,,D,
According to Dr. Max Listgarten Spirochetes can first be seen near the surface of subgingival plaque after how many weeks?,One Week,Two Weeks,Three Weeks,Four Weeks,,C,
Which of the following are bacterial mechanisms of tissue/cell damage?,Activation of cytokine production,Secretion of toxins,Induction of apoptosis of host cells,All of the above,,D,
What are the benefits of “power” scaling?,There is increased tactile sensitivity,There is decreased operator fatigue,There is less chance of damaging the root surface,None of the above,,B,
