title,Oral Radiology Final Exam (Fall 2019),oralrad,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Each of the following is a purpose of quality assurance EXCEPT for one. Which is the EXCEPTION?,Minimize radiation dose,Optimize image quality,Optimize diagnostic yield,Patient education,,D,
How often should the reject analysis log be reviewed?,Weekly,Monthly,Annually,Semi-annually,,A,
Monitors used for viewing radiographs should ideally NOT face a window or bright light source.,True,False,,,,A,
A patient has the bitewing radiograph below taken to evaluate his molars. Which of the following is the BEST description of the radiolucent entity pointed to by the black arrow?,Incipient caries,Dental caries,Root caries,Cervical burnout,,B,images/oralrad-final-fall-2019/fig4.jpeg
The radiopaque border surrounding tooth #20 is known as the ________?,PDL space,Lamina dura,Enamel,Dentin,,B,images/oralrad-final-fall-2019/fig5.jpeg
Regarding the radiolucent entity pointed to by the white arrow: all of the following possible diagnoses should be considered EXCEPT for one. Which is the EXCEPTION?,Mental foramen,Periapical lesion,Cemento-osseous dysplasia,Cervical burnout,,D,images/oralrad-final-fall-2019/fig6.jpeg
Which of the following is the MOST LIKELY diagnosis of the radiolucency between the roots of #19 and #20?,Incipient caries,Lateral radicular cyst,Cervical burnout,Periapical scar,,B,images/oralrad-final-fall-2019/fig7.jpeg
Ghost images ONLY occur in panoramic radiographs:,True,False,,,,A,
Which is the anatomical structure circled in red?,Real left earring,Real right earring,Ghost image of the left earring,Ghost image of the right earring,,A,images/oralrad-final-fall-2019/fig9.jpeg
Which is the anatomical structure outlined by red?,Right Mandibular condyle,Right maxillary sinus,Right Pterygomaxillary fissure,Right Inferior nasal concha,,D,images/oralrad-final-fall-2019/fig10.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",,B,
"When taking a panoramic radiograph, which part of the patient's head is imaged first?",Right,Left,Superior,Inferior,,B,
Which of the following is an ADVANTAGE of panoramic radiography?,Broad coverage of the facial bones and teeth,Useful in patients who have limited jaw opening,Low patient dose,All of the answer choices are advantages,,D,
Which of the following errors in technique is present in the panoramic radiograph below?,Head rotated left,Head tilted left,Chin up,Patient movement,,A,images/oralrad-final-fall-2019/fig14.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,,A,images/oralrad-final-fall-2019/fig15.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,,D,images/oralrad-final-fall-2019/fig16.jpeg
The following radiograph is best described as a:,Submentovertex radiograph,Waters view radiograph,Lateral cephalometric radiograph,Posterior-anterior radiograph,,B,images/oralrad-final-fall-2019/fig17.jpeg
Which of the following radiographs would be BEST to evaluate the mandibular condylar neck?,Oblique mandibular body radiograph,Reverse-Towne radiograph,Lateral cephalometric radiograph,Submentovertex radiograph,,B,
CBCTs are better at evaluating soft tissues than hard tissues.,True,False,,,,B,
The dark/hypodense area on this CBCT deep to the restoration on tooth #3 does NOT show on a bitewing radiograph. This dark/hypodense area is most likely:,Beam-hardening artifact,Dental caries,Osteomyelitis,Periodontal bone loss,,A,images/oralrad-final-fall-2019/fig20.jpeg
This is a coronal slice of a CT demonstrating Juvenile Idiopathic Arthritis. What structure is indicated by the white arrows?,Temporomandibular joint,Skull base,Maxillary sinus,Nasal Cavity,,A,images/oralrad-final-fall-2019/fig21.jpeg
Any non-disposable item the patient touches or you touch with your gloved hands should have a barrier.,True,False,,,,A,
The digital sensor should NOT have a plastic barrier since it will interfere with the x-rays.,True,False,,,,B,
Which of the following is NOT a material in radiology that requires special waste management?,Silver from the fixer solution,Lead foil found in film packets,Barriers covering the chair,,,C,
Universal precautions dictate that we should:,Treat all human blood and certain human body fluids as if they were known to be infectious,Use extra barriers when treating patients with known infectious diseases,Treat saliva but not blood as potentially infectious,Treat blood but not saliva as potentially infectious,,A,
Which of the following statements is FALSE?,Many pediatric patients experience less discomfort than adult patients,Many pediatric patients have trouble sitting still,Many pediatric patients need to be yelled at to make them behave properly,Many pediatric patients require behavior management,,C,
Dementia is more common in elderly patients than in the general adult population.,True,False,,,,A,
Which of the following is true regarding intellectual disability (ID)?,"Intellectual disability, by definition, develops before age 18","Intellectual disability, by definition, is acquired late into adulthood",,,,A,
Dental caries:,Cannot be seen on radiographs,Always extends into the pulp chamber,May form on either the crown or root surfaces,Is the same as cervical burnout,,C,
Dental caries that is limited to the enamel is known as:,incipient decay,gross decay,root decay,apical periodontitis,,A,
Which of the following clinical situations is MOST like to result in in root caries?,Xerostomia,Periapical lucency / apical periodontitis,Generalized calculus,Mesiodens,,A,
Furcation involvement is:,Horizontal periodontal bone loss,Crescent-shaped bone loss around the anterior teeth,Root caries,Periodontal bone loss between the roots of multi-rooted teeth,,D,
"When evaluating for alveolar bone loss, one should look to see if the bone level is more than 0.5 to 2.0 apical to the ___________.",dentinoenamel junction,cementoenamel junction,root apex,interproximal height of contours,,B,
