title,Pain & Anxiety Control Exam 1 (Spring 2019),painanx,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
Classification of a local anesthetic into an ester or a base is determined on a molecular level by the,lipophilic component,intermediate chain component,hydrophilic component,enzymatic degradation in the plasma,,B,
The proportion of charged and uncharged forms of a local anesthetic is influenced by which of the following,pKa dissociation constant of the local anesthetic,pH of the tissues into which the local anesthetic is injected,the addition of Sodium Bisulfite as a preservative,only a &c,all of the above,E,
A slow injection technique,is less painful,is less likely to cause rapid rise in blood levels of local anesthetic,does not provide the same depth of anesthesia as a rapid technique,a &b only,all of the above,D,
Which of the following statements is correct?,The uncharged form of the local anesthetic is responsible diffusion across nerve membranes and for blocking sodium channels,The uncharged form of the local anesthetic is responsible for diffusion across nerve membranes and the charged form is responsible for blocking sodium channels,The charged form of the local anesthetic is responsible for diffusion across nerve membranes and for blocking sodium channels,The charged form of the local anesthetic is responsible for diffusion across nerve membranes and the uncharged form is responsible for blocking sodium channels.,,B,
Which local anesthetic has an acidic pKa?,Lidocaine,Mepivacaine,Bupivacaine,Benzocaine,Articaine,D,
The following are reasons for the addition of a vasoconstrictor to a local anesthetic EXCEPT FOR:,It helps patients who are suffering from hypotension,It increases the duration of the local anesthesia,It decreases the risk of toxicity,It decreases bleeding at the site,It decreases the rate of local anesthetic into the circulation,A,
"Two dental cartridges of 2% Lidocaine with Epinephrine 1:100,000 contain",Lidocaine 72 mg and Epinephrine 0.036 mg,Lidocaine 36 mg and Epinephrine 0.018 mg,Lidocaine 54 g and Epinephrine 0.018 mg,Lidocaine 72 mg and Epinephrine 0.009 mg,,A,
A 150 lb male patient with a history of coronary artery disease and ventricular ectopic beats requires a class I restoration of an upper left 2nd bicuspid. You obtain written medical clearance from the cardiologist. Which local anesthetic is the first one you should use?,3% Mepivacaine,"2% Lidocaine with Epinephrine 1:100,000","0.05% Bupivacaine with Epinephrine 1:200,000","4% Articaine with Epinephrine 1:100,000",,A,
"A 100 lb healthy female patient requires multiple dental procedures and requests that you get as much done as possible in one session. What is the maximum recommended dose of 2% Lidocaine with Epinephrine 1:100,000 you should administer?",Lidocaine 72 mg with Epinephrine 0.036 mg,Lidocaine 144 mg with Epinephrine 0.072 mg,Lidocaine 288 mg with Epinephrine 0.144 mg,Lidocaine 360 mg with Epinephrine 0.18 mg,,C,
"What is the maximum number of dental cartridges of 0.5% Bupivacaine with Epinephrine 1:200,000 you should use on a patient with significant cardiovascular disease?",1 dental cartridge,2 dental cartridges,4 dental cartridges,6 dental cartridges,8 dental cartridges,C,
