title,Ethics Final Exam (Summer 2017),ethics,,"1 question (about the ADA Ethics Hotline) is an intentional single-choice question in the source — the instructor's note explains there is only one answer option and everyone gets credit for marking it. It was omitted since this app requires at least two choices per question."
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
"All of the following play a role in the fiduciary relationship that exists between dentists and their patients, EXCEPT:",Trust and confidence that commitments between parties will be honored.,Public's expected competence in dentist's skill.,Public's trust in dentists' putting their patients' interests over their own.,Dental students' obligations to patients are the same as licensed practicing dentists.,Dentist's right to decide what is best the option for every patient.,,,,E,
"The Four Principles of Professionalism include all of the following, EXCEPT:",Excellence: a commitment to always do your best.,Accountability: a willingness to be accountable for choices &actions.,Humanism: seeing the best in everyone in any given situation.,Altruism: the dedication to place the needs of the patient above your own self-interest.,Resiliency: capacity to go on despite any obstacle or set-back.,,,,E,
"Which of the following Models for Dentist-Patient Interaction, as defined by Ozar &Sokol, is inherently unethical?",Guild,Agent,Commercial,Interactive,None of these models is inherently unethical.,,,,E,
"As you are aware, Ozar and Sokol defined several Models for Dentist-Patient Interaction. Which of the following statements is TRUE with regard to the Guild Model?",It can also be referred to as Fraternalism.,It is based on the fact that patients can be educated regarding their condition so that they understand the situation as well as the dentist does.,It is based on the ethical principle of Autonomy.,Financial considerations are the driving force in this model.,The dentist's professional values are the motivating factors in this model.,,,,E,
Obtaining informed consent prior to performing a dental procedure is a process that is most consistent with the ethical principle of:,Autonomy,Beneficence,Non-maleficence,Justice,Veracity,,,,A,
"Elements to be included in an informed consent discussion include all of the following, EXCEPT:",Treatment alternatives and their risks and benefits.,Who will perform the treatment.,What the fees will be.,Differing views of treatment options held by other dentists.,Special interests of the provider or other parties.,"What procedures, if any, are for research purposes.",The history of how the procedure was developed.,,G,
"When talking about the ethical principle of Beneficence, all of the following statements are TRUE, EXCEPT:","This principle applies only to individual patients, and not the public at large.",The dentist has a duty to promote a patient's welfare with competent and timely delivery of care.,This principle can be upheld by self-governance of the profession.,Research and development by members of the profession play a role in upholding this ethical principle.,"Dentists who educate themselves to recognize abuse and neglect of children, disabled individuals, and elders, and who report such abuse, are acting in accord with this ethical principle.",,,,A,
"More from NYU contrasted dentists with Normative and Commercial views. When considering these views, which of the following statements is NOT TRUE?","Neither of these views is good or bad. They form different perspectives for a ""values based"" dialogue.",The motivation of dentists with a Commercial View is financial success.,"The motivation of dentists with a Normative View is altruism, compassion, service, and ""doing good.""",Financial success is a by-product of the good work performed by a dentist with a Normative View.,Dentists with a Commercial View see themselves in the role of being a public servant.,,,,E,
Dental school faculty and administrators have an ethical obligation to:,Dental students at the school.,Patients who come to the dental school for treatment.,The public at large.,Dental colleagues.,Medical colleagues.,Three of the above.,Four of the above.,All of the above.,H,
"Dr. Connolly presented a Protocol for Ethical Decision Making. When utilizing this Protocol, dentists should adhere to all of the following, EXCEPT:",Confer and agree on the facts.,Ask if there is any missing information.,Identify all possible alternatives for action.,Identify the ethical principles associated with each alternative for action.,Do not let the opinions and judgement of others influence your decision.,Rank your alternatives and choose a course of action.,,,E,
