title,Pain & Anxiety Control Exam 2 & 3 (Spring 2019),painanx,exam23
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
The purpose of using an aspirating syringe when administering dental local anesthesia is,To ensure a more stable control of the dental syringe,To enable the dentist to inject the local anesthetic at a faster rate,To ensure that the dentist is not injecting directly into a blood vessel,To reduce pressure on the thumb pad of the dentist,,,,C,
The harpoon of the dental syringe engages:,The rubber stopper of the dental cartridge,The diaphragm of the dental cartridge,The neck of the dental cartridge,The aluminum cap of the dental cartridge,,,,A,
Which one of the following needles has the smallest inner and outer diameter,#30 gauge short needle,#27 gauge long needle,#25 gauge short needle,#21 gauge long needle,,,,A,
"Which needle is less likely to deflect when inserted through tissue, and also permit easier aspiration?",#30 gauge short needle,#27 gauge long needle,#27 gauge short needle,#25 gauge long needle,,,,D,
"You are performing a posterior superior alveolar nerve block and prior to injection you aspirate and see bright red blood filling the dental cartridge. If you accidently proceeded with the injection of the contents of a full cartridge of 2% Lidocaine with Epinephrine 1:100,000 which one of the following would pose the greatest risk(s)?","Rapid systemic rise in the concentration of Lidocaine and Epinephrine into the bloodstream, potentially leading to the systemic effects of these drugs","Rapid onset of anesthetic effect to the region, creating prolonged numbness",Delayed onset of local anesthetic effect preventing you from performing painless dentistry,Delayed metabolism and elimination of the local anesthetic.,,,,A,
You are performing a posterior superior alveolar nerve block and prior to injection you aspirate and see bright red blood filling the dental cartridge. What is the most likely blood vessel(s) that the needle has entered?,Inferior alveolar artery,Pterygoid plexus of veins,Retromandibular vein,Superficial temporal artery,,,,B,
"Which nerve is responsible for sensory innervation to the maxillary second &third molars, and the distal portion of the maxillary first molar?",Inferior alveolar nerve,Infraorbital nerve,Middle superior alveolar nerve,Posterior superior alveolar nerve,,,,D,
The Maxillary division of the Trigeminal Nerve exits the skull through,Jugular foramen,Stylomastoid formamen,Foramen rotundum,Foramen ovale,Greater palatine foramen,,,C,
The Maxillary division of the Trigeminal Nerve is responsible for all of the following EXCEPT:,Sensory innervation from the midface and upper teeth,Pain and temperature sensation of the midface,Motor innervation to the muscles of the upper lip,Discriminative touch sensation of the midface,,,,C,
Following administration of a dental injection it is necessary to recap the needle. Which one of the following techniques is recommended?,Slide the needle into the cap without touching the cap to avoid a needle stick injury,"Hold the cap in one hand, place the needle into the cap carefully","Hold the cap in one hand, and rapidly place the needle into the cap to avoid potential exposure of the needle to your assistant","Slide the needle into the cap as rapidly as possible, using either a one handed or two handed technique",,,,A,
