title,Preclinical Pediatric Dentistry Exam 2 (Spring 2018),pedo,exam2
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"Loss of a primary molar before ____ years of age will lead to delayed emergence of the succedaneous tooth, whereas loss after the same age will lead to early emergence.",3,5,7,12,,,C,
"If the loss of a 2nd primary molar occurs just before the eruption of the 6-yr molar, when the crown is still covered with oral mucosa and a thin partial covering of bone, the appliance of choice for space maintenance is a ______ for both the maxillary and mandibular arches.",distal shoe,nance appliance,lower lingual holding arch,band and loop,,,A,
Premature loss of which of the following primary molars will result in the greatest amount of space closure?,maxillary 1st,maxillary 2nd,mandibular 1st,mandibular 2nd,,,B,
"Mesial bodily movement is associated with closure of ______ posterior spaces, and mesial crown tipping is most associated with closure of ‧ ‧ ‧ ‧ _____ posterior spaces.","maxillary, maxillary","maxillary, mandibular","mandibular, maxillary","mandibular, mandibular",,,B,
During preparation of a tooth for a stainless steel crown:,proximal surfaces are reduced using a #56 fissure bur.,the gingival margin of the preparation on the proximal surfaces should be a feather edge with no ledge or shoulder present.,approximately 2.5 mm of clearance with the opposing teeth is required,buccal and lingual surfaces should routinely be reduced.,,,B,
Initial selection of a primary celluloid crown form is based on the mesial-distal width of the incisal edge of the tooth to be restored _________ preparation.,prior to,after,,,,,A,
Inconclusive evidence suggests minor residual speech defects may result from the extraction of the primary maxillary incisors in children less than 3 years of age. This tendency may increase the younger the child is at the time of the extractions.,The first statement is true; the second statement is false.,The first statement is false; the second statement is true.,Both statements are true.,Both statements are false.,,,C,
The photo depicts an example of which appliance?,band and loop,upper lingual holding arch,transpalatal arch,nance,,,D,images/pedo-exam2-spring-2018/fig8.jpeg
The gingival margin of a stainless steel crown should be _______ the free gingival margin of the tooth to be restored.,at the same level as,1mm below,1 mm above,,,,B,
The length of time it takes to prep and restore a tooth varies depending on which material is used. Which list is correct when written from material requiring the least amount of time to the material requiring the most amount of time?,"stainless steel crowns, pre-veneered crowns, open faced stainless steel crowns","strip crowns, open faced stainless steel crowns, pre-veneered crowns","zirconia crowns, stainless steel crowns, pre-veneered crowns","stainless steel crowns, open-faced stainless steel crowns, strip crowns",,,A,
The best space maintainer is a natural tooth. The preceding statement is:,True,False,,,,,A,
When inserting a stainless steel crown it is first seated on the _____ followed by pressure applied in a ______ direction.,"lingual, buccal","buccal, lingual","occlusal, buccal","lingual, occlusal",,,A,
If a stainless steel crown does not seat to the same level as the adjacent teeth which of the following is a potential cause?,the occlusal reduction may be inadequate,a gingival proximal ledge may exist,the crown may be too long,a contact may not have been broken with the adjacent tooth,all of the above,,E,
Which of the following is not an objective of full coverage restorations?,to preserve integrity of primary tooth until exfoliation.,to protect tooth from additional decay and infection.,to increase mechanical retention and decrease tooth reduction.,,,,C,
A space maintainer is always indicated when a primary tooth is lost prematurely. The preceding statement is:,True,False,,,,,B,
Of the below choices which is more important when considering space maintenance?,dental age of patient,chronological age of patient,,,,,A,
Which is the correct order of events when fabricating a custom band and loop space maintainer?,"orthodontic separators, orthodontic band size selection, alginate impression, pour up model, send model to lab, cement appliance","orthodontic band size selection, orthodontic separators, alginate impression, pour up model, send model to lab, cement appliance","alginate impression, orthodontic separators, orthodontic band size selection, pour up model, send model to lab, cement appliance","alginate impression, orthodontic band size selection, orthodontic separators, pour up model, send model to lab, cement appliance",,,A,
The term “stainless steel” is used when the ________ content exceeds ____%.,"steel, 50","chromium, 11","nickel, 50","iron, 11",,,B,
The photo depicts an example of which appliance?,band and loop,crown and loop,nance,distal shoe,,,A,images/pedo-exam2-spring-2018/fig19.jpeg
Which of the following is true regarding lower lingual holding arches?,It is indicated for bilateral loss of primary anterior teeth in the mandibular arch during the mixed dentition.,It is indicated when oral hygiene is subpar.,It is contraindicated for bilateral loss of primary posterior teeth in the mixed dentition.,It is contraindicated in the primary dentition.,,,D,
"Regarding the preparation of a composite strip crown, which finish line is appropriate?",shoulder,chamfer,featheredge,bevel,,,C,
The purpose of a small vent hole on the lingual surface of the celluloid crown form is to:,allow trapped air to escape,allow excess composite to escape,allow escape of gamma 2,A and B,B and C,"A, B, and C",D,
A Class III preparation of a primary canine incorporates ______ and ______ to allow for additional retention as well as access necessary to properly insert the restorative material.,a dovetail; a gingival lock,an undercut; an incisal lock,a dovetail; an incisal lock,an undercut; a gingival lock,,,A,
When a “Hollywood Bridge” is fabricated for a 3 year old ______ it is primarily done so for _______ reasons.,financial,esthetic,functional,space maintenance,,,B,
The photo depicts examples of which type of restoration?,open-face stainless steel crowns,zirconia crowns,posterior strip crowns,pre-veneered stainless steel crowns,,,D,images/pedo-exam2-spring-2018/fig25.jpeg
Which of the following is a contraindication for the full coverage of primary teeth?,posterior teeth with excessively large interproximal lesions,discolored anterior teeth as a result of trauma,anterior and posterior teeth which have undergone pulpal therapy,none of the above,,,D,
Stainless steel crowns is the treatment of choice for carious posterior teeth of young children requiring dental treatment under general anesthesia who are at high risk. The preceding statement is:,True,False,,,,,A,
Which of the following is a potential reason for the premature loss of a primary tooth?,trauma,caries,systemic disease,all of the above,,,D,
Which of the following is not true regarding zirconia crowns?,they are recommended in patients whom are heavy bruxers.,they are expensive,they are less technique sensitive as composite strip crowns.,greater tooth reduction is required than other full coverage restorations.,,,A,
SpongeBob the Musical is ___________:,totally worth seeing!,so much fun!,surprisingly entertaining!,all of the above,,,D,
