title,Cariology Final Exam (Spring 2019),cario,final
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Fluorapatite contains the following ions:,"Calcium, Carbonate, Fluoride","Calcium, Hydroxyl, Fluoride","Calcium, Sodium, Fluoride","Calcium, Phosphate, Fluoride",,,,D,
Root Caries:,Are mainly caused by Actinomyces viscosus,Are Inverted U-Shaped lesions,Initial demineralization follows Sharpey’s fibers,Are V Shaped lesions,Both A and C,Both B and D,,E,
Dentin demineralizes when the pH drops below:,6.5,5.5,3.5,4.5,,,,A,
Baking soda combined with _____ was found to be more efficacious in inhibiting S. Sobrinus;,Stannous Fluoride,Sodium Fluoride,ACP,CPP-ACP,,,,B,
Carbonated Hydroxyapatite;,Is less soluble in acid than Fluorapatite,Is less soluble in acid than hydroxyapatite,Is of similar solubility to fluorapatite,Is more soluble than hydroxyapatite in acid,,,,D,
Agglutinating factors in saliva:,Produce ammonia which raises the pH,Are bactericidal to gram negative bacteria,Lays a coating on the bacterial surfaces so that they stick to each other,Cause Bicarbonate and Hydrogen to combine,,,,C,
The inner affected dentin of a carious lesion is comprised of which zones:,"Turbid, Transparent, and Normal","Infected, Transparent, and Normal","Subtransparent, Transparent, and Normal","Infected, Turbid and Transparent",,,,C,
The breakdown of glucose by enzymes thus releasing energy and pyruvic acid is defined as:,Lactoperoxidase,Glycolysis,Glucansucrase,Glycosyltransferase,,,,B,
"This enzyme called ______, is found in saliva and combines with Hydrogen Peroxide and ______ to produce a bacteriostatic antimicrobial agent:","Monoamine oxidase, Ammonia","Laccase, Urea","Tyrosinase, Sialin","Lactoperoxidase, Thiocyanate",,,,D,
Adverse effects of both Stannous Fluoride and Chlorhexidine are;,Superficial staining of the teeth,Staining of carious lesions,Staining of affected dentin,,,,,A,
The translucent zone of a carious lesion is:,"The outermost layer, closest to the oral cavity",The largest of all the zones,The closest to the DEJ,The area with the greatest potential for remineralization,,,,C,
Which of the following statements are true about CPP-ACP :,It is safe for all age groups,It should be used exclusively instead of a fluoride dentifrice,It has a 4-hour substantivity,It can be left on overnight and ingested,A and D,,,E,
The preconditioning stage that is required for an oral biofilm to develop is:,The stationary maturation stage,The pellicle formation,The growth phase,The experimental phase,,,,B,
The mechanism of action for baking soda on plaque removal is:,A mechanical action only,A biological action only,Both a mechanical and a biological action,A antiviral action only,,,,C,
Fluorapatite has the following effect(s):,Inhibits demineralization by making a less soluble mineral,Improves remineralization by speeding up the reuptake of Ca and P,Inhibits demineralization by making a more soluble mineral,Improves remineralization by slowing down the reuptake of Ca and P,A and B,C and D,,E,
Affected Dentin is:,Unable to be remineralized,Closer to the pulp than infected dentin,Teeming with bacteria,Has very little or no bacteria,Is able to be remineralized,"B, D, E","A, B, C",F,
Dental products need what percentage of Xylitol to have therapeutic effects?,10%,20%,25%,50%,,,,A,
Fluorapatite is created by:,Fluoride binding to Hydrogen on the tooth surface,Fluoride binding to Calcium on the layer of the tooth surface,Fluoride binding to Calcium inside the hydroxyapatite,Fluoride binding to Magnesium in the dentin,,,,B,
Adverse effect(s) to the prolonged use of Chlorhexidine may be:,Bad breath,Staining of teeth,Excessive Fluoride buildup,Emergence of more virulent S. Mutans species,B and C,B and D,,F,
Dentin Caries are radiographically seen as:,U-Shaped lesions,Inverted V Shaped lesions,V Shaped lesions with broad area by DEJ and apex towards the pulp,V Shaped lesions with broad area by pulp and apex towards the DEJ,Hexagonal shaped lesions,,,C,
Calcium and Phosphate begin to dissolve away from hydroxyapatite when the pH drops below the:,Chief pH,Critical pH,Crucial pH,Contrary pH,,,,B,
Which of the following statements about the Salivary Pellicle are false?,It's main role is protective in nature,It protects the enamel from abrasion and attrition,Bacteria are abundantly present in the pellicle,It lubricates the tooth surface to facilitate chewing and speech,It is the acellular layer of adsorbed salivary proteins.,,,C,
Fluorapatite demineralizes at a pH of about 4.5 Enamel demineralizes at a pH of about 5.5,"The first statement is true, the second statement is false",Both statements are false,"The first statement is false, the second statement is true",Both statements are true.,,,,D,
The remineralization agent Recaldent should be avoided in patients with:,A silver allergy,A peanut allergy,A milk allergy,A lactose intolerance,,,,C,
Four basic components of a biofilm are:,"Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Advanced Communication System","Bacteria micro-colonies, Intra-polysaccharide structure, Fluid Nutrient Channel, Primitive Communication System",,,,A,
The radiographic appearance of a carious lesion that is in the outer third of dentin is characterized as a:,E1 Lesion,D1 Lesion,D3 Lesion,D2 Lesion,E2 Lesion,,,B,
Fluoride can enter the bacterial cell by binding with:,Hydrogen,Calcium,Phosphate,Magnesium,,,,A,
"When there is a limited supply of glucose/sucrose, Mutans Streptococcus produce:",Acetic Acid,Lactic Acid,Formic Acid,Carbonic Acid,Both A and C,,,E,
Which cartoon character appeared in almost every slideshow?,Scooby Doo,Donald Duck,SpongeBob SquarePants,Mickey Mouse,,,,C,
"If a patient presents with white spot lesions on smooth surfaces, 3 new radiographic approximal enamel lesions, and a history of deep pits and fissures, his caries risk would be:",Low,Moderate,High,Between a Tall and a Venti,,,,C,
Which of the following is not an indication for Silver Diamine Fluoride use?,Patients with high caries risk,Patients with low caries risk or no carious lesions,Patients with xerostomia,Patients with early childhood caries,Patients with a silver allergy,Both B and E,,F,
The dark zone in the enamel carious lesion:,Is an area of demineralization only,Is an area of remineralization only,Is an area of an inactive lesion only,Is an area of both demineralization and remineralization,,,,D,
Displaying an inverted V-Shape and comprised predominantly of S. Sanguis bacteria are characteristics of:,Infected dentinal caries,Pit and Fissure Caries,Root Caries,Affected dentinal caries,,,,B,
Primary Caries:,Are lesions that only occur on primary teeth,Are lesions that develop on an unrestored tooth surface,Are lesions that develop adjacent to a restoration,Are similar to recurrent caries,,,,B,
CAMBRA stands for:,CAries Management by Reversing Acid,CAries Management by Remineralization Agents,Cavitation Acid Management By Radical Alternatives,CAries Assessment Management By Revitalizing Amoeba,CAries Management By Risk Assessment,,,E,
CSP is also commonly known as:,Novamin,MI Paste,Recaldent,Clinpro,,,,A,
