title,PCOD I Quiz 4 (Fall 2016),pcod1,quiz
question,option_a,option_b,option_c,option_d,option_e,correct,image
The powder component in an unmixed amalgam capsule contains:,Ag-Sn and Cu-Sn,Ag-Sn and Ag-Cu,Ag-Cu and Cu-Sn,Ag-Hg and Cu-Sn,none of the above,B,
What is the most predominant element in dental amalgam?,Silver,Copper,Tin,Mercury,Zinc,D,
Excess mercury in a hardened dental amalgam causes:,the elimination of gamma-2 in the restoration,the formation of a Cu-Sn component in the initial state,a higher compressive strength of the restoration,higher resistance to corrosion,none of the above,E,
The reason for overfilling a cavity preparation with amalgam prior to carving is:,to avoid creating flash at the margins,to get acceptable interproximal contacts,to eliminate the excess mercury in the restoration while carving the anatomical form,so that polishing can be performed immediately after anatomical carving,all of the above,C,
Neurological changes in humans are not detected below urine levels of mercury of 500 mg/L. Placing an amalgam restoration can cause urine levels of mercury in the patient as high as:,2.5 mg/L,4.0 mg/L,5.0 - 20 mg/L,10.0 mg/L,500 mg/L,A,
Dr. G. V. Black's first name is:,Stanley,George,Green,Gray,Guillermo,C,
The ADA Recommendations to reduce risks of mercury to the dentist and personnel include:,Keep operatory well ventilated,Use high volume suction when removing amalgam.,No carpeting in operatory.,Store scrap amalgam in tight containers.,All of the above,E,
The ADA's position on the use of amalgam as a restorative material is:,amalgam is safe to use in patients not allergic to mercury,there is no toxicological reason for removing a serviceable amalgam restoration,amalgam is superior to composite as a restorative material for posterior teeth,a and b only,all of the above,D,
The compressive strength of amalgam:,is at least twice that of composites,is sufficient to withstand forces of mastication on large restorations on molars,can decrease if gamma-2 phase is present in the restoration,a and b only,all of the above,E,
The reverse curve in a Class II MO amalgam preparation serves to:,preserve the mesio-lingual cusp,preserve the mesio-buccal cusp,maintain the divergence of the distal wall,a and c,all of the above,B,
Toxic levels of mercury in the body can cause:,insomnia,neuromuscular dysfunction,“Mad Hatter” sudden unintentional movements,b and c,all of the above,E,
Which of the following statement(s) concerning the bacterial etiology of caries is false?,The bacterial composition of the plaque can be altered by a patient's diet.,The bacterial composition of the plaque can be altered by a reduction in a patient's saliva flow.,Streptococcus mutans appears to be acquired by children at the time that the primary teeth erupt.,Once plaque forms on the developing dentition its composition remains constant for life.,None of these statements are false.,D,
Which of the following dental findings is a sign of a potentially serious eating disorder?,White spots on the facial surface of the mandibular teeth.,Severe erosion of the palatal aspects of the maxillary teeth.,Wear or erosion on any portion of the tooth surface.,Eating disorders never cause changes in the dentition.,None of the above,B,
"In the enamel white spot lesion, the area of maximal mineral loss is:",located at the surface of the lesion.,located below the surface of the lesion.,uniform through the depth of the lesion.,,,B,
Which of the following are virulence factors of Streptococcus mutans?,Ability to produce acids.,Acid tolerance.,Ability to convert sucrose into an extracellular matrix.,All the above.,None of the above,D,
