title,TMD & Orofacial Pain Midterm Exam (Spring 2020),tmd,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"When a patient points to a specific site which is causing pain, that site is not necessarily the location of the pathology that is causing the pain.",True,False,,,,,,A,
The following are examples of intraoral disorders that can cause pain EXCEPT:,Acute pulpitis,Erosive lichen planus,Squamous cell carcinoma of the floor of mouth,Atypical facial neuralgia,,,,D,
Which of the following are true when confronted with a patient with chronic orofacial pain?,Establishing a diagnosis is relatively straightforward and can readily be distinguished from odontogenic pathology,Patient’s symptoms general last between 3-4 months then tend to subside,"Multiple diagnoses are common, and symptoms are often resistant to treatment",All of the above are correct,,,,C,
"Repeated dental procedures, trauma, surgery and noxious stimulation to an anatomic region can cause neuroplasticity, central sensitization and chronic pain.",True,False,,,,,,A,
Which of the following are characteristic of neuropathic pain?,A strong stimulus with high intensity is associated with decreased pain intensity,A strong stimulus with high intensity is associated with hyperalgesia and allodynia,A weak stimulus with low intensity is associated with allodynia and hyperalgesia,All of the above  are associated with neuropathic pain,,,,C,
"Although the temporomandibular joint is a synovial joint, it is unique because most temporomandibular disorders are caused by a malocclusion",True,False,,,,,,B,
Which of the following tissues are present in the temporomandibular joint?,"Fibrocartilage, synovium and bone","Hyaline cartilage, muscle and synovium","Fibrocartilage, hyaline cartilage and synovium","Hyaline cartilage, muscle and bone",,,,A,
"Normal healthy articular cartilage, when under load, can be compressed, and when unloaded is resilient and returns to the unloaded state.  The reason for this is:","Proteoglycans are osmotically active, collagen fibers maintain the structural integrity of the articular cartilage",The subchondral bone has elastic fibers,The collagen fibers anchor into the subchondral bone and also provide nutrition to the chondrocytes,Synovial fluid enclosed within the joint space absorbs the load on cartilage,,,,A,
Which of the following are functions of synovium and synovial fluid?,Lubrication,Chondrocyte nutrition and viability,Phagocytosis,All of the above,,,,D,
"Temporomandibular joints which have osteoarthritis of the articular cartilage, based on arthroscopic appearance, are likely to have elevated levels of keratan sulfate in the synovial fluid.  This indicates that proteoglycan degradation is an important event in TMJ osteoarthritis.",True,False,,,,,,A,
Excessive joint overload and impaired joint mobility are likely to have the following effects on synovial joints:,Articular cartilage degradation,Impaired biomechanics,Septic arthritis,All of the above,(a) and (b) only,,,E,
Temporomandibular joint disc displacement requires treatment…,all of the time,most of the time,under circumstances where there is joint inflammation and persistent limited function,to reposition the disc,,,,C,
Studies on the results of open TMJ surgery designed to reposition the disc demonstrate that the disc will stay in the new position most of the time,True,False,,,,,,B,
"Statement #1:  Temporomandibular joint arthroscopy must also be accompanied by a rehabilitation regimen designed to reduce inflammation, decrease joint loading and restoration of range of motion. Statement #2:  TMJ arthrocentesis refers to a joint irrigation AND is the same procedure as TMJ arthroscopy.",Both statements are true,"Statement #1 is true, statement #2 is false","Statement #1 is false, statement #2 is true",Both statements are false,,,,B,
TMJ arthroscopy is a minimally invasive surgical procedure…,performed in the operating room or an outpatient facility,involves looking into the joint with an arthroscope and performing surgical procedures to treat the pathology that is present,will cure the patient of TMJ disease,All of the above are correct,Only (a) and (c) are correct,Only (a) and (b) are correct,,F,
Operative procedures that can be performed with TMJ arthroscopy include all of the following EXCEPT:,permanent repositioning of the disc,biopsy of pathologic tissue,lysis of adhesions,direct injection of a steroid into the most inflamed synovial tissues,,,,A,
Synovial chondromatosis is a condition …,that can occur in all synovial joints including the TMJ,with multiple osteo-cartilaginous nodules inside the joint space,in which the etiology is not known,all of the above,(a) and (b) are correct,,,D,
"A 45-year-old female presents with a chief complaint that “my bite feels off because my back teeth don’t meet, and my upper and lower front teeth are hitting harder.”  Examination reveals that there is a right posterior open bite and the anterior teeth are occluding prematurely. This condition can be caused by all of the following EXCEPT",Lateral pterygoid muscle spasm pulling the mandible into a new position.,An osteochondroma of the right mandibular condyle.,A severe synovitis of the right TMJ with synovial effusion seen on the MRI.,A neuralgia involving the sensory distribution of the right trigeminal nerve.,,,,D,
"A 55-year-old female presents with a chief complaint of severe excruciating pain and points to the region of her right face, infraorbital foramen, right nose, right upper lip and the apex of #6.  She describes her pain as extremely severe indicating it is like a “jolt of lightening,“ lasting approximately 5 seconds, then slowly subsides.  These painful episodes are occurring repeatedly throughout the day (she estimates approximately 50-100 per day).  She indicates that the pain is brought on by brushing her teeth, putting on lipstick and wind on her face.  The examination findings demonstrate that tooth #6 is extremely painful to touch, and when you perform percussion on #6, she screams in severe pain. Radiographs demonstrate a crown on #6 with previous endodontic therapy and a very small apical lucency.  The intraoral examination is essentially unremarkable in the region of #6 (no swelling, no fistula, no purulence, no periodontal disease).  What is the most likely diagnosis and what is the most appropriate course of treatment/management?","Periapical abscess #6, repeat endodontic therapy #6","Atypical facial neuralgia, refer to a neurological surgeon","Trigeminal neuralgia, refer to neurologist and/or an orofacial pain management center","Periapical abscess #6, perform apicoectomy #6.  If the patient doesn’t improve after one month, refer to neurologist and/or an orofacial pain management center",,,,C,
"A 43-year-old male presents to your office with pain, pointing to the region of the left mandible for 9 months.  He was initially diagnosed with a pulpitis associated with tooth #19 and following endodontic therapy, the symptoms improved slightly for one week then returned.  One month later he underwent an apicoectomy on #19 but the symptoms persisted.  Two months later he underwent extraction of #19 as well as #18, which had moderate periodontal disease.  The symptoms persisted and he was referred to a dentist who sees patients with temporomandibular disorders.  He was treated with an oral appliance to be used at night, which he has been compliant with for the past 5 months, but the symptoms have persisted.  He comes to your office, now pointing to tooth #20 as the location of the pain and begs you to remove this tooth.  Periapical and panoramic radiographs reveal a crown on #20, but no evidence of periodontal or apical infection.  What would be the most appropriate treatment/management for this patient?","Endodontic therapy on #20 and if symptoms persist, extraction of #20","Since the most likely diagnosis is osteomyelitis left mandible, refer the patient to an oral & maxillofacial surgeon for antibiotic therapy and possible extraction of #20 with bone biopsy","Referral to a center for the management of chronic orofacial pain with multiple specialists to assist in establishing the diagnosis, followed by appropriate management/treatment.",All of the answer choices are appropriate in the treatment/management of this patient,,,,C,
"A 22-year-old female has severe pain localized to the right TMJ with limited mandibular movement and deviation to the right upon jaw opening.  Her symptoms have persisted, in spite of 6 months of excellent reversible non-surgical therapies.   She is now starting to get depressed as this is affecting the quality of her life on a daily basis.  She is thinking that this condition will continue and ruin her life.  She has no medical problems but indicates that she is under severe stress.  MRIs demonstrate the right TMJ to have anterior disc displacement without reduction and a large synovial effusion, indicating severe inflammation in the joint.  Which of the following is/are the most appropriate options to consider in her treatment?","Identify and reduce etiologic factors (e.g. stress, clenching, joint inflammation, joint overload, poor sleep).","Avoid any invasive procedures and treat the patient with reversible therapies only, even if they are not effective in reducing the symptoms and continue to reassure the patient",Consider minimally invasive surgical procedures while continuing to control etiologic factors postoperatively,"Treat the patient with oral appliances, manipulation and/or surgery designed to reposition the disc",(a) and (b) only,(a) and (c) only,(a) and (d) only,F,
"If a patient indicates that they have a toothache and your examination findings are normal, the most likely reason for this is",the patient has a psychiatric disorder,the patient is not really experiencing pain,the patient has trigeminal neuralgia,the patient is experiencing pain which is being caused by a pathology which has not yet been diagnosed,,,,D,
"Temporomandibular  disorders (TMD) are not distributed equally in the population.  Of the choices below, which group has the highest prevalence rate?",women,men under 65,children under 15,women over 65,,,,A,
Disc displacement in the TMJ can result in:,Jaw locking,Jaw clicking,Jaw pain,All of the answer choices,,,,D,
Crepitus in the TMJ sounds like:,A grating sound,A clicking sound,A pulsating sound,A hissing sound,,,,A,
Crepitus sounds in a joint most likely indicates the presence of:,Synovial cyst,Increased neural firing,Muscle fasciculation,Degenerative joint disease,,,,D,
The most definitive way to image the presence of a synovial effusion in a TMJ is:,Panorex x-ray,MRI,Cone beam CT,Transcranial x-ray,,,,B,
"If a patient has an anteriorly displaced disc without reduction in the right TM joint, then the patient’s mandible will deviate toward the_____upon opening their mouth.",right,left,right initially then after a loud click to the left,"left initially, then after a loud click to the right",,,,A,
"If a patient has an anteriorly displaced disc without reduction in the left TM joint, there will be decreased ability to perform",left lateral excursion,right lateral excursion,both left and right lateral excursions,Beethoven’s 5th symphony,,,,B,
Severe rheumatoid arthritis of the right and left TMJs will most likely result in:,Excessive contraction of the lateral pterygoid muscles,Laxity of ligaments,Anterior open bite,Degeneration of the masticatory muscles,All of the answer choices,,,C,
Treatment of a patient with a TMD should begin with reversible treatment.,True,False,,,,,,A,
Internal derangement of the TMJ with an anterior disc displacement that reduces with jaw opening is most likely to cause:,Excessive load on teeth causing inflammation of the periodontal ligament,Mental illness with a reduced capacity to feel pain.,Subclinical fracture of the mandible,Clicking in the TM joint.,,,,D,
Disc displacement in the TM joint usually progresses to advanced degenerative joint disease,True,False,,,,,,B,
Realistic goals of TMD treatment are:,to improve jaw function and reduce pain to the lowest level possible,to reduce pain to the lowest level possible and restore normal anatomy,to restore normal anatomy and completely eliminate pain,to completely eliminate pain and restore masticatory function within one week,,,,A,
Current concepts on the pathophysiology and the goals of treatment of most temporomandibular disorders include the following EXCEPT,The TM joint is not a unique joint compared to other synovial joints,The TM joint shares similarities with other synovial joints,Orthopedic treatment principles of other synovial joints can be applied to the TM joint.,The goal of treatment is to restore normal anatomical relationships within the TM joint.,,,,D,
Prolonged immobilization of the mandible will cause articular cartilage degradation in the TM joint.,True,False,,,,,,A,
Bite plate appliances can do all of the following EXCEPT,Reduce masticatory muscle activity.,Distract the condyle from fully seating.,Reduce bruxism by making patients aware of oral habits.,Manipulate an anterior displaced disc posteriorly to a more normal anatomic relationship,,,,D,
Temporomandibular disorders (TMD) include all of the following EXCEPT,TM joint inflammation,Masticatory muscle pain,Disc displacement of TMJ,Neuropathic pain,,,,D,
