title,Preclinical Pediatric Dentistry Exam 2 (Fall 2018),pedo,exam2
question,option_a,option_b,option_c,option_d,option_e,correct,image
What does SDF stand for?,Silver Diamine Fluoride,Sodium Diamine Fluoride,Silver Dimethyl Fluoride,Sodium Dimethyl Fluoride,,A,
Which of the following is not a contraindication of SDF?,nickel allergy,stomatitis,ulcerative gingivitis,irreversible pulpitis,,A,
The recommended limit of SDF is equal to:,1 drop SDF per 22lbs body weight per treatment visit.,1 drop SDF per 10lbs body weight per treatment visit.,1 drop SDF per 4.5kgs body weight per treatment visit.,1 drop SDF per 1kg of body weight per treatment visit.,,A,
"According to Whitman, the minimum dose of fluoride that could cause toxic signs &symptoms and should trigger immediate therapeutic intervention and hospitalization is:",5mg/kg body weight,15mg/kg body weight,1.5mg/kg body weight,50 mg/kg body weight,,A,
The below image depicts which kind of space maintainer?,Band &Loop,Lower Lingual Holding Arch,Nance Appliance,Distal Shoe,,A,images/pedo-exam2-fall-2018/fig5.jpeg
Which of the following answers best completes the sentence: Closure of space after the premature loss of a primary second mandibular molar would most likely be caused by:,mesial bodily movement of the permanent first mandibular molar.,mesial tipping of the permanent first mandibular molar.,mesial rotation of the permanent first maxillary molar around its mesial root.,buccal inclination of the primary first mandibular molar.,,B,
Which of the following answers best completes the sentence: Closure of space after the premature loss of a primary second maxillary molar would most likely be caused by:,mesial bodily movement of the permanent first maxillary molar.,mesial tipping of the permanent first maxillary molar.,distal rotation of the permanent first mandibular molar around its distal root.,lingual inclination of the primary first mandibular molar.,,A,
The premature loss of a primary tooth might be the result of which of the following?,trauma,irreversible pulpitis,Juvenile Periodontitis,all of the above,none of the above,D,
38% SDF solution is comprised of the following:,"5% solvent, 25% remineralization factor, 8% antimicrobial agent","8% solvent, 5% remineralization factor, 25% antimicrobial agent","5% solvent, 8% remineralization factor, 25% antimicrobial agent","8% solvent, 25% remineralization factor, 5% antimicrobial agent",,B,
After first permanent molars have erupted into occlusion… (a) loss of second primary molars may result in significant space closure and (b) loss of a first primary molar with retention of the second primary molar shows minimal amounts of space closure.,(a) and (b) are both true,(a) and (b) are both false,(a) is true and (b) is false,(a) is false and (b) is true,,A,
Which is the correct order of events when fabricating a custom band and loop space maintainer?,"orthodontic separators, orthodontic band size selection, alginate impression, pour up model, send model to lab, cement appliance","orthodontic band size selection, orthodontic separators, alginate impression, pour up model, send model to lab, cement appliance","alginate impression, orthodontic separators, orthodontic band size selection, pour up model, send model to lab, cement appliance","alginate impression, orthodontic band size selection, orthodontic separators, pour up model, send model to lab, cement appliance",,A,
"As per radiographic evaluation of a tooth with a carious lesion, at least how much healthy dentin must insulate the pulp in order to be a good candidate for SDF application.",1mm,2mm,3mm,the amount is irrelevant,,A,
The length of time it takes to prep and restore a tooth varies depending on which material is used. Which list is correct when written from material requiring the least amount of time to the material requiring the most amount of time?,"stainless steel crowns, pre-veneered crowns, open faced stainless steel crowns","strip crowns, open faced stainless steel crowns, pre-veneered crowns","zirconia crowns, stainless steel crowns, pre-veneered crowns","stainless steel crowns, open-faced stainless steel crowns, strip crowns",,A,
"If the tooth to which the yellow arrow is pointing was be extracted the same day this radiograph was taken, the appliance of choice to maintain the space would be a ______.",Distal Shoe,Nance,Lower Lingual Holding Arch,Band &Loop,,A,images/pedo-exam2-fall-2018/fig14.jpeg
