title,Pathomedicine Exam 1 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,correct,image
See attached image. The radiolucencies at the apices of tooth #30 represent periapical granulomas. At the time when this radiograph was taken the pulpal diagnosis of #30 was:,Necrotic pulp,Reversible pulpitis,Irreversible pulpitis,"Healthy (vital, living) pulp",,A,
Which of the following best describes the process of metaplasia?,A change in cell phenotype to better resist injury induced by environmental stress,Increase in cell number,Decrease in cell number,Diminished cell size by loss of cell substance,None of the above,A,
"Which of the following represent changes that are not only seen in reversible cell injury, but also consistently associated with irreversible cell injury?",Inability to reverse mitochondrial dysfunction,Profound disturbances in cell membrane function,Cellular swelling,A and B,B and C,D,
What is the most common cause of hypoxia?,Pneumonia,Anemia,CO poisoning,Ischemia,Limited oxygen concentration of air at higher elevations,D,
Myelin figures are derived from:,Degradation and saponification of phospholipids,Increased binding of denatured proteins and loss of RNA,Remnants of damaged cell membranes,Lipid vacuoles in the cytoplasm,Nuclear shrinkage and increased basophilia,C,
Karyohexis represents:,Fading of basophilia seen in chromatin,Nuclear shrinkage and increased basophilia,Fragmentation of a pyknotic nucleus,Increased eosinophilia,Remnants of damaged cell membranes,C,
Which of the following are NOT morphologic features of apoptosis?,Nuclear chromatin condensation,Formation of apoptotic bodies (nuclear and cytoplasmic vesicles),Enzymatic digestion of cellular contents,,,C,
Coagulative necrosis is most likely to be identified in a clinical scenario of:,Reversible cell injury,Apoptosis,Tuberculosis infection,Fungal infection,Organ infarction,E,
The type of inflammation that results in casseous necrosis (as seen in a tuberculosis infection) is:,Granulation tissue,Granulomatous inflammation,Acute inflammation,None of the above,,B,
Elevated cardiac creatinine kinase (CK) may be detected in the serum of a patient who has suffered from a myocardial infarction.,True,False,,,,A,
"Injuries result from damage to essential cellular components. All of the following represent examples of such essential cellular components, EXCEPT one. Which one is the EXCEPTION?",Mitochondria,Cell membranes,Cytoskeleton,Genetic material,There are no exceptions on this list,E,
Myeloperoxidase functions primarily in:,Converting hydrogen peroxide to hypochlorite,Maintaining the Ca2+ concentration,Maintaining plasma membrane integrity,Maintaining cytosolic pH,Preventing fatty change,A,
"All of the following represent examples of pathways through which oxygen-derived free radicals (aka reactive oxygen species) injure cells, EXCEPT one. Which one is the EXCEPTION?",Lipid peroxidation of membranes,Damage to proteins through cross linkage and polypeptide fragmentation,Damage to DNA through single strand breaks,Increased concentration of cyanide,,D,
"All of the following represent examples of physiologic causes of apoptosis, EXCEPT one. Which one is the EXCEPTION?",Accumulation of misfolded proteins,Embryogenesis,Involution of hormone-dependent tissues,Maintenance of a constant cell number,Ending the inflammatory response,A,
"You are viewing a cluster of cells through a light microscope. One of the cells in the cluster is shrunken compared to the others, has vesicles attached to the internal aspects of the cell membrane and is brightly eosinophilic when compared to the adjacent cells of the same type. This cell is most likely:",Apoptotic,Necrotic,,,,A,
