title,Practice Management I Exam 1 (Spring 2020),pmgmt1,exam1
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
"The permit issued by a State Board of Dentistry that allows the administration of medications via intravenous, intramuscular, subcutaneous, submucosal, and / or inhalation routes is called a:",Local anesthesia permit,Nitrous Oxide anesthesia permit,Parental Conscious Sedation Permit,Oral topical Permit,None of the answer choices,,,C,
Which of the following is used on an insurance form to identify the provider of the service rendered?,The CDT code,The DEA number,The NPI number,The CDS Number,None of the answer choices,,,C,
Laws enacted by the legislative branch of government such as the Dental Practice Act are an example of:,schedules,rules,statutes,regulations,none of the answer choices,,,C,
What is the best method for receiving detailed information regarding a patients’ benefits is?,reviewing previous claims experience,the personnel office of the employer,from the patient,by requesting a pre-determination of benefits,examining information printed on the insurance card.,,,D,
Insurance claim forms should contain the following information except:,Insurance group number,Social security number,Date of birth of patient,Patients’ marital status,,,,D,
Most U.S. Dental Practices operate at an overhead of?,35%,15%,25%,60%,10%,,,D,
Any discounts provided to patients’ causes a reduction in,liability,taxes,overhead,profit,none of the answer choices,,,D,
Dental Maintenance Organization (DMO) plans generally have which of the following:,Annual maximum,Annual deductible,Pre-set co-payment schedules,Annual maximum & Annual deductible,Annual deductible & Pre-set co-payment schedules,none of the answer choices,,C,
Preferred Provider Organization (PPO) plans generally have which of the following?,Annual maximum,Annual deductible,Pre-set co-payment schedules,Annual maximum & Annual deductible,Annual deductible & Pre-set co-payment schedules,none of the answer choice,,D,
Drugs that have no current accepted medical use in the United States are in what Schedule?,I,II,III,IV,V,,,A,
When submitting an insurance form after offering a discounted fee to a patient,the regular fee for services is submitted for payment,the PPO fee is submitted for payment,the discounted fee is submitted for payment,the UCR fee is submitted for payment,none of the answer choices,,,C,
Insurance Companies require that insurance claims submitted for payment reflect that exact dates of service and specific description of services performed.,True,False,,,,,,A,
The “Birthday Rule”:,is used to identify the oldest parent,is used to identify which parent is primary,the primary is the insurance that pays the most,is used to identify the oldest parent AND the primary is the insurance that pays the most,none of the answer choices are correct,,,B,
If a crown is prepped in December and inserted in January,the claim may be sent in as being performed in December.,the date of service is the date the preparation of the tooth.,the insertion date of the crown in January must be used.,Any treatment date may be used,none of the answer choices,,,C,
"In regard to insurance submission, a person may be guilty of insurance fraud if","one knowingly makes a false, fraudulent, or misleading statement",omits a material fact from the claim form,"BOTH one knowingly makes a false, fraudulent, or misleading statement AND omits a material fact from the claim form","NEITHER one knowingly makes a false, fraudulent, or misleading statement NOR omits a material fact from the claim form",,,,C,
For patients who are covered by more than one insurance carrier the dentist should,submit the claim to only one insurance carrier since it is illegal to have two or more insurance benefit plans,submit claims to both insurance carriers without telling either of the two about each other,coordinate the benefits of the primary carrier with the secondary carrier,none of the answer choices,,,,C,
CPT codes are:,criteria for identifying caries,codes for identifying dental procedures,Uniform criteria for premedication,all of the answer choices,none of the answer choices,,,E,
Capitation benefit plans pay the dentist,after the Dentist submits a claim form,based on a sliding scale,a per-person or per-family dollar amount,per Dentist encounter,When the patient sees the Dentist,,,C,
A permit issued by a state board that allows a dentist to administer a pharmacological agent in a dosage that has the potential to inhibit a patients’ response beyond the elimination of anxiety is a(n):,Nitrous Oxide Permit,Parental Conscious Sedation Permit,Local Anesthesia Permit,Enteral Conscious Permit,none of the answer choices,,,D,
"When submitting insurance claims for a minor child less than 18 years of age where both parents have dental benefit coverage, the dentist must:",Let the parents decide which insurance will pay first,Send the claim to either of the insurance companies,Determine which parent is primary and which is secondary,Submit the claim for the parent who brought the form in first,none of the answer choices,,,C,
Payment for dental services rendered occurs in all the following except:,PPO Plans,Indemniity,HMO plans,Direct Reimbursement Plans,PPO Plans & Direct Reimbursement Plans only,"PPO Plans, Indemniity, & Direct Reimbursement Plans",all of the answer choices,C,
A key consideration in deciding whether to join a Dental PPO or Dental HMO is unused chairside hours.,True,False,,,,,,A,
PPO fees,are generally higher than regular fees,are fees generally set by insurance carriers,are the maximum fees to be charged by the participating Dentist,BOTH are generally higher than regular fees AND are fees generally set by insurance carriers,BOTH are fees generally set by insurance carriers and are the maximum fees to be charged by the participating Dentist,,,E,
A deductible is:,paid by the patient,a fee that must be collected,"many times, an annual fee",occurs in many indemnity plans,all of the answer choices,,,E,
The leading method of unintentional deaths in the United States in 2019 was?,motor vehicle accidents,opioids,accidental falls,sleeping pills,none of the answer choices,,,B,
Indemnity Insurance Plans are considered Capitation Plans.,True,False,,,,,,B,
