title,Ethics Final Exam (Summer 2021),ethics,
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following statements as described in The ADA Principles of Ethics and Code of Conduct is FALSE?,"The ADA Code is, in effect, a written expression of the obligations arising from the implied contract between the dental profession and society.",The ADA Code is an evolving document.,"Although ethics and the law are closely related, they are not the same.",Ethical obligations may—and often do—exceed legal duties.,None of the statements here is FALSE.,,E,
Consider the following five definitions: I. The dentist has a duty to respect the patient’s rights to self-determination and confidentiality.  II. The dentist has a duty to refrain from harming the patient.  III. The dentist has a duty to promote the patient’s welfare.  IV. The dentist has a duty to treat people fairly.  V. The dentist has a duty to communicate truthfully.  Which of the following answer choices includes a list of Ethical Principles correctly ordered to match the definitions above?,"Autonomy, Beneficence, Non-maleficence, Justice, Veracity.","Autonomy, Non-maleficence, Beneficence, Justice, Veracity.","Autonomy, Non-maleficence, Beneficence, Veracity, Justice.","Veracity, Non-maleficence, Beneficence, Justice.","Autonomy, Non-maleficence, Beneficence, Justice, Veracity.",,E,
The rapid development of the Covid-19 vaccine led to mistrust and hesitancy in some. Which of the following factors did NOT contribute to this successful rapid development of what by all scientific measures has so far proven to be a “safe and effective” vaccine?,New platforms for vaccine delivery were already researched.,Rapid gene sequencing of the virus allowed for rapid development of antigen sources.,Vaccine development steps were executed in parallel.,The disease was confined to a very small population so that recruitment for clinical trials was focused on that very small group.,Vaccines were produced in parallel with clinical trials.,,D,
Which of the following is NOT an ethical consideration regarding Covid-19 vaccination?,"Vaccines are available in some parts of the world, but not in others.",People who choose not to get vaccinated pose a threat to others.,Drug companies are offering tiered pricing in different places throughout the world.,Different strategies for education and community engagement are utilized in different places throughout the world.,ALL of the statements here are ethical considerations.,,E,
Which of the following are NOT ethical obligations of government when dealing with a situation such as the Covid-19 pandemic?,To provide honest and effective leadership.,To portray facts accurately.,Not to cloud science with politics.,To hide factual information from the public if it conflicts with a policy the government wants to promote.,ALL of the statements here are ethical obligations of government.,,D,
A school mandates that all of its students must be vaccinated against Covid-19.  Students who are not vaccinated due to legitimate medical reasons cannot attend school. Consider the following three statements: I. This may violate a student’s individual autonomy. II. This may violate a student’s individual veracity. III. This may violate the ethical principles of beneficence and non-maleficence for the individual student but may be consistent with those principles from a health standpoint for the remainder of the school population and their contacts.,"I, II, and III are TRUE.",Only I and III are TRUE.,Only II and IIII are TRUE.,Only I is TRUE.,Only II is TRUE.,,B,
"Microaggressions are never intentional, they are always unintentional.",TRUE.,FALSE.,,,,,B,
"All of the following are effective steps toward becoming an ally towards persons being subjected to microaggressions, EXCEPT:",Feeling guilty over past microaggressions you may have committed or witnessed and ignored.,Reflecting on your own advantages and privileges.,Reflecting on your own biases.,Being prepared to see situations differently.,ALL of the statements here are effective steps toward becoming an ally.,,A,
A microinsult is…,…when a person intentionally behaves in a discriminatory manner.,…an action or comment that is unintentionally discriminatory.,…when a person’s comment invalidates or undermines the experiences of a certain group of people.,ALL of these statements describe a microinsult.,NONE of these statements describe a microinsult.,,B,
Claims that the COVID-19 vaccine causes infertility in women are being spread by so-called experts and many others on social media.  Current science has shown that there is no truth to these claims.  Those falsely promoting these claims are guilty of violating which of the following ethical principles?,Veracity.,Non-beneficence.,Maleficence.,Autonomy.,None of these principles.,,A,
Which of the following behaviors is not considered unprofessional behavior for a dental student?,Coming to sim-lab while drunk.,Coming to lecture while drunk.,Coming to clinic while drunk.,Coming to a school social event after hours and getting drunk.,None of the behaviors described here are considered unprofessional.,All of the behaviors described here are considered unprofessional.,F,
Consider the following statements: I. It is legitimate to justify “getting around a rule” if you and other reasonable people consider the rule to be non-consequential. II. It is legitimate to justify “getting around a rule” if everyone else is “getting around the rule”. III. It is legitimate to justify “getting around a rule” if you and other reasonable people consider the rule to be nonconsequential and everyone else is “getting around the rule”. IV. Situational ethics can be used to justify getting around a rule.,"Only I, II, and III are TRUE.","I, II, III, and IV are TRUE.",None of these statements are true.,Only IV is TRUE.,Only III is TRUE.,,C,
"Of the following statements, which one describes the most ethical behavior?",Delaying a patient’s treatment so that you can do the procedure on a clinical board examination.,Delaying a patient’s treatment so that you can do the procedure on a clinical board examination when the delay poses no harm to the patient and you obtain the patient’s consent.,Delaying a patient’s treatment so that you can do the procedure on a clinical board examination when the delay poses no harm to the patient.,Delaying a patient’s treatment so that you can do the procedure on a clinical board examination when you obtain the patient’s consent.,NONE of these behaviors can be described as ethical.,,B,
Which of the following is NOT an obligation of TCDM faculty to their students?,To inform students of criteria that will be used for evaluation prior to the evaluation.,To stay current in teaching techniques even if there has been no change in the information being presented for many years.,To maintain ZERO tolerance for cheating and dishonesty.,To place student learning ahead of patient care.,To maintain student privacy and confidentiality.,,D,
"When assessing a situation to determine the most ethical way to proceed, all of the following steps must be taken EXCEPT:",Identify the facts,Obtain missing information.,Identify the perspective of all stakeholders,Identify all alternatives to action.,Choose a solution that satisfies all ethical principles.,,E,
"Consider the following two statements: I. A licensed, practicing dentist must put the interest of their patients ahead of her/his own interests. II. A dental student can put her/his own interests ahead of their patient’s interests as the student needs to learn all of the skills involved in the practice of dentistry.",I and II are TRUE.,Only I is TRUE.,Only II is TRUE.,I and II are both NOT TRUE.,,,B,
