title,Oral & Maxillofacial Surgery Midterm Exam (Spring 2018),omfs,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,option_i,correct,image
Which of the following is the BEST description of a valid informed consent for a medical or surgical procedure?,"A note in the medical record which is signed by the treating doctor, the patient, and a witness, in which the patient gives the doctor permission to treat them.","A witnessed discussion between the treating doctor and the patient in which the proposed treatment is discussed. The discussion should include a description of the procedure, the risks and benefits of the procedure, the likelihood of success of the procedure, and any alternatives to the treatment and the risks and benefits of those alternatives",A witnessed discussion between the treating doctor and the patient in which it is made clear that treatment must be provided - doing nothing is not an option.,A pre-operative review of the doctor's previous consultation by the doctor or his/her designee in which all issues related to the procedure are discussed.,A witnessed and documented discussion in which all issues discussed are initiated by the patient's questions so that the requirement to answer all of the patient's questions is clearly met.,,,,,B,
A patient presents to your office for extraction of a tooth. You obtain a written and oral medical history which reveals the following information: • 70-year-old male • Myocardial infarction 3 years ago • 3 stents placed at that time • Ejection fraction 50 % • Develops shortness of breath when climbing more than 1 flight of steps • Takes insulin for diabetes What ASA classification would best describe his condition?,ASA I,ASA II,ASA III,ASA IV,ASA V,ASA VI,ASA VII,,,C,
Which of the following statements about patients with thrombocytopenia is TRUE?,"A patient may have a platelet deficiency, but as long as their platelet count is 50,000 or more, tooth extraction can generally be performed without significant bleeding risk.","If a patient with a history of thrombocytopenia has a normal platelet count for greater than two months, it can be assumed that their platelet count will stay in the normal range and surgery can be safely performed.","If tests reveal a normal platelet count on a patient with a known platelet disorder, tooth extraction can be performed without risk of bleeding.",Liver disease is never a cause of an abnormal platelet count.,"If a patient has a history of thrombocytopenia but has a normal platelet count at the time of surgery, they can be given NSAIDs or aspirin for pain control in the peri-operative period.",,,,,A,
Which of the following statements regarding management of anticoagulation with regard to the performance of oral surgery procedures is TRUE?,A treating dentist should always advise a patient on warfarin to not take their warfarin for three days prior to an extraction.,The decision as to whether or not to hold off on taking targeted anticoagulants prior to tooth extraction should be based on the patient's INR three days before the procedure.,The MAPPP app is extremely useful because it gives treating dentists the information they need to manage their patients' anticoagulation without ever having to consult their patients' physicians.,Decisions regarding the management of anticoagulation prior to tooth extraction should be based on the risk of bleeding with the specific procedure being performed and the risk of clotting complications if the anticoagulation therapy is interrupted. A decision to interrupt a patient's anticoagulation should be made in conjunction with the physician managing the anticoagulation.,"In this day and age, it is never necessary to alter a patient's anticoagulation regimen prior to oral surgical procedures because local adjunctive procedures and materials and reversal agents can be utilized to safely control all post-operative bleeding.",,,,,D,
"All of the following statements regarding oral surgery on patients who have conditions that may exacerbate their potential to bleed are TRUE, EXCEPT:",Patients with the potential to have bleeding problems should be taken care of early in the day and early in the week for elective and non-emergent situations.,"If a patient with increased risk for bleeding requires multiple teeth to be extracted, it may be prudent to first perform a “test” surgery by extracting one or two teeth and seeing how they respond.",Local anesthetic that contains epinephrine should always be used on these patients as it will overcome the patient's risk for increased bleeding.,Adjunctive local measures should be utilized to reduce the risk of harmful bleeding.,"When circumstances permit, oral surgical procedures should be scheduled at times when bleeding risk is less likely, such as before or after chemotherapy regimens, rather than while chemotherapy is being performed.",,,,,C,
Which of the following practices would NOT be useful for minimizing the risk of vaso-vagal reactions?,Pre-operative hydration.,Anxiety control,Pain control,Administration of supplemental O2.,Maintaining the patient in an upright position throughout the procedure.,,,,,E,
Which of the following regimens is applicable for a patient with Type 1 diabetes in the peri-operative period?,"If the patient was able to eat breakfast and their post-operative oral intake will be impaired, then the patient should take their usual dose of regular insulin and one-half of their NPH dose.","If the patient is NPO, then they should take their usual dose of regular insulin and not take their NPH dose.","If the patient was able to eat breakfast and their post-operative oral intake will be impaired, then the patient should take one half of their dose of regular insulin and their usual NPH dose.","If the patient is NPO, then they should not take their regular insulin but they should take their regular NPH dose.","Whether or not the patient is able to eat before surgery, they should follow their usual insulin regimen as prescribed by their doctor.",,,,,A,
Which of the following statements regarding oral surgery in HIV+ patients is TRUE?,HIV+ patients are at significantly increased risk of infection following oral surgical procedures.,Approximately 50 % of HIV+ patients have a decreased platelet count that puts them at significant risk of bleeding during and following oral surgical procedures.,Antibiotic prophylaxis is indicated for oral surgical procedures an HIV+ patient with a CD4+ count less than 200.,Antibiotic prophylaxis is indicated for oral surgical procedures for an HIV+ patient with a neutrophil count less than 4000.,HIV antiviral medications do not exhibit significant interactions with other medications that may be used by these patients.,,,,,C,
Which of the following statements related to osteoradionecrosis (ORN) is NOT TRUE?,Removal of potential sources of infection such as carious or periodontally involved teeth before the initiation of radiation treatment is helpful in the prevention of ORN.,"When extractions are performed prior to irradiation, sharp areas of bone should be smoothed as bone remodeling will not occur normally in irradiated bone.","When extractions are performed prior to irradiation, primary closure of soft tissue should be achieved when possible so that radiation therapy can be initiated as soon as possible.","When extractions are performed prior to irradiation, a three-week waiting period prior to irradiation will generally be adequate. If soft tissue closure has not occurred, irradiation should be withheld until this is achieved, unless the risk of waiting longer is significant.",Endodontic treatment of non-restorable teeth in irradiated patients is not beneficial as these procedures are associated with the same risk as extractions in these patients.,,,,,E,
Which of the following statements regarding patients with adrenal suppression is TRUE?,Secondary adrenal suppression is caused by any disease of the adrenal cortex which results in an inability to release endogenous corticosteroids in response to stress.,"Complex prolonged surgery may result in hypertension, syncope, nausea, and hypothermia.",Supplemental steroids should be given for all patients with adrenal suppression for any surgical procedure.,"When supplemental steroids are necessary for a patient who is currently on steroids, the following regimen should be followed: Administer twice the patient's daily dose on pre-op, op, and post-op day 1, then resume the normal dose.","When supplemental steroids are necessary for a patient who has taken 20 mg of hydrocortisone or its equivalent for two or more weeks within the previous year, the following regimen should be followed: Administer steroids for six weeks as follows: 60 mg of hydrocortisone daily for 2 weeks before the procedure, 40 mg daily for 2 weeks following the procedure, and then 20 mg daily for the following 2 weeks.",,,,,D,
