title,GDA Midterm Exam (Summer 2016),gda
question,option_a,option_b,option_c,option_d,option_e,correct,image
Approximately how many cells are included in the morula?,16,32,64,8,,A,
The Millard Advancement Technique is used to repair which of the following?,Cleft palate,Cleft lip,Bifid Uvula,Oblique facial cleft,,B,
The stage of kidney development that gives rise to the primordia of the kidneys and begins development in the 5th week is:,Pronephric kidneys,Mesonephric kidneys,Metanephric kidneys,,,C,
Identify the structure in the figure.,Lacunar network,Amnion,Synchtiotrophoblast,Lacunae,,C,images/gda-midterm-summer-2016/fig4.jpeg
Which of the following structures forms by both endochondral and intramembranous ossification?,Maxilla,Mandible,Parietal bone,Ethmoid bone,Sphenoid bone,B,
Boys of what ethnic background are most commonly affected by cleft lip syndrome?,Africans,Americans,Europeans,South Asians,Italians,D,
"What do aortic arch 5, pharyngeal arch 5 and pharyngeal pouch 5 have in common?",All are related to the common carotid artery,All give rise to structures in the ear,They have no derivatives,They are all related to development of the tongue,,C,
Which of the following statement about the Rule of 10s is false?,Child must be at least 10 months old,Child must weight at least 10 pounds,Child must have hemoglobin of at least 10 grams,"Child must have white blood cell count of less than 10,000",,A,
"Which of the following is the term for a patient who is “tongue-tied”, or had a frenum length of less than 2cm?",Macroglossia,Microglossia,Ankyloglossia,Cacoglossia,,C,
Pharyngeal arches 4 and 6 are innervated by which Cranial Nerve?,CN II Optic,CN VII Facial,CN V Abducens,CN X Vagus,CN XI Spinal Accessory,D,
Meckel's cartilage provides the model for which of the following structures?,Maxilla,Mandible,Medial Pterygoid,External auditory meatus,Temporal bone,B,
"Which of the following stages of lung maturation is defined by occurrence from 26 weeks to birth, start of the development of surfactant and difficulty of fetal survival due to respiratory distress?",Pseudoglandular stage,Canalicular Stage,Terminal Sac Stage,Alveolar Stage,,C,
Which of the following is a secondary vesicle that forms from the forebrain?,Telencephalon,Mesencephalon,Metencephalon,Myelencephalon,,A,
Which of the following is NOT true about Spina Bifida Occulta?,Neural arches fail to fuse in the median plane,Spina Bifida Occulta often presents with no symptoms,"The only identifying mark may be a dimple, birthmark or tuft of hair",Varying severe neurological effects such as anesthesia are common,,D,
The endoderm gives rise to which of the following?,Lining of the respiratory tract,Skeletal muscles,Connective tissue,Blood cells,Central nervous system,A,
Identify the plane of reference shown in the figure.,Coronal section,Transverse section,Median section,Sagittal plane,,B,images/gda-midterm-summer-2016/fig16.png
Which if the following statements is NOT true about oral health and pregnant women?,"Poor dental health may lead to pain, which patients may treat inappropriately with over the counter medication",Vertical transmission of bacteria between mother and child can increase the risk of childhood caries,Dental infections can spread and cause systemic disease,It is safe for pregnant women to take all medications during pregnancy even if they are not approved by their OB/GYN,,D,
Which of the following is true of supine hypertensive syndrome?,Affects pregnant women as the vena cava becomes compressed by the uterus,"Presents as an abrupt fall in blood pressure, bradycardia, nausea and sweating",Can be avoided by treating pregnant patients in a semi-supine position with a pillow under the right hip,All of the above,None of the above,D,
What defines fetal maturity?,35 weeks prenatal development,2500 grams,Adequate surfactant for independent respiration,All of the above,,D,
Proper nutrition is as important for the mother as it is for the developing fetus. Deficiency in which of the following is closely linked to neural tube defects?,Manganese,Vitamin C,Folate,Calcium,Phosphorus,C,
"A patient presents to the office with an endodontic abscess requiring a root canal to be performed. Before the patient is referred to the endodontist for treatment, the patient requires a prescription for antibiotics. She is currently 24 weeks pregnant. Which of the following is an appropriate choice for this patient?",Macrolides,Penicillins,Tetracyclines,Sulfonamides,,B,
The FDA Pregnancy Drug Class that includes medications like Accutane that have been shown to be harmful in both animal and human studies with evidence-based human risk and risk that greatly outweighs any benefit during pregnancy is:,Class A,Class B,Class C,Class D,Class X,E,
"Which of the following drugs causes increased heart rate in mother and baby, oxygen deprivation, withdrawal symptoms including tremors and sleeplessness and learning disabilities later in life?",Marijuana,PCP,Methamphetamine,Heroin,,C,
Identify the suture from the figure provided.,Metopic,Lamboidal,Sagittal,Coronal,,D,images/gda-midterm-summer-2016/fig24.jpeg
What is the appropriate definition for natal teeth?,Those that are erupted and present at birth,Those that erupt sometime during the first month of life,Primary teeth with enamel defects due to Vitamin D deficiency,Permanent teeth present in an infant,,A,
What is the classification of the cleft palate shown in the figure?,Class I,Class II,Class III,Class IV,,C,images/gda-midterm-summer-2016/fig26.jpeg
