title,Practice Management I Midterm Exam (Spring 2022),pmgmt1,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Which of the following are used on an insurance form to identify the provider of the service rendered?,The CDT code,The DEA number,The NPI number,The CDS Number,None of the above,,,C,
Dental insurance was first created by dentist.,True,False,,,,,,A,
What is the best method for receiving detailed information regarding a patients' benefits?,Reviewing previous claims experience,the personnel office of the employer,from the patient,by requesting a pre-determination of benefits,examining information printed on the insurance card.,,,D,
Insurance claim forms may contain the following information except:,Insurance group number,Social security number,Date of birth of patient,Patients' marital status,,,,D,
Direct Reimbursement Plans means that the patient pays the dentist directly and is reimbursed by the employer.,True,False,,,,,,A,
When submitting an insurance form after offering a discounted fee to a patient,the regular fee for services are submitted for payment,the PPO fee is submitted for payment,the discounted fee is submitted for payment,the UCR fee is submitted for payment,none of these,,,C,
The Department of Insurance requires that insurance claims reflect that exact dates of service and specific description of services performed.,True,False,,,,,,A,
The “Birthday Rule” :,Is used to identify the oldest parent,Is used to identify which parent is primary,The primary is the insurance that pays the most,None of the above are correct,A &C are correct,,,B,
If a crown is prepped in December and inserted in January,the claim may be sent in as being performed in December.,the date of service is the date the preparation of the tooth.,the insertion date of the crown in January must be used.,Any treatment date may be used,none of these,,,C,
Dental Maintenance Organization (DMO) plan,allows a patient to see the Dentist of their choice,the patient may select any PPO Dentist.,the patient must see a dentist that is contracted under that DMO plan,allows the patient the freedom to choose any Dentist.,none of these,,,C,
"In regard to insurance submission, a person may be guilty of insurance fraud if","one knowingly makes a false, fraudulent, or misleading statement",omits a material fact from the claim form,both a and b,neither a or b,,,,C,
Preferred Provider Organization (PPO) plan is an Indemnity Plan.,True,False,,,,,,A,
Indemnity Insurance Plans are used to represent a Capitation Plan,True,False,,,,,,B,
Dental Maintenance Organization (DMO) plans generally have which of the following:,Annual maximum,Annual deductible,Pre-set co-payment schedules,a &b,b &c,None of the above,,C,
Preferred Provider Organization (PPO) plans generally have which of the following:,Annual maximum,Annual deductible,Pre-set co-payment schedules,a &b,b &c,None of the above,,D,
Preferred Provider Organization (PPO) plans have fees that are generally lower than UCR fees.,True,False,,,,,,A,
For patients that are covered by more than one insurance carrier the dentist should,submit the claim to only one insurance carrier since it is illegal to have two or more insurance benefit plans,submit claims to both insurance carriers without telling either of the two about each other,coordinate the benefits of the primary carrier with the secondary carrier,none of the above,,,,C,
CPT codes are:,criteria for identifying caries,codes for identifying dental procedures,Uniform criteria for premedication,All of the above,None of the Above,,,B,
Capitation benefit plans pay the dentist,after the Dentist submits a claim form,based on a sliding scale,a per-person or per-family dollar amount,per Dentist encounter,only when the patient sees the Dentist,,,C,
"When submitting insurance claims for a minor child less than 18 years of age where both parents have dental benefit coverage, the dentist must:",let the parents decide which insurance will pay first,send the claim to either of the insurance companies,determine which parent is primary and which is secondary,submit the claim for the parent who brought the form in first,none of the above,,,C,
Payment for dental services rendered occurs in all of the following except:,PPO Plans,Indemnity,HMO plans,Direct Reimbursement Plans,A &D only,"a, b,& d",all of the above,C,
A key consideration in deciding whether to join a dental PPO or Dental HMO is unused chairside hours.,True,False,,,,,,A,
PPO fees,are generally higher than regular fees,are fees generally set by insurance carriers,is the maximum fee to be charged by the participating Dentist,both a and b,both b and c,,,E,
A deductible is,paid by the patient,a fee that must be collected,many times an annual fee,occurs in many indemnity plans,All of the above,,,E,
UCR as it relates to fees stands for,"Useful, Contingent, and Reliable","Usual, Customary, and Reasonable","Unified, Consistent, and Related",All of the above,,,,B,
The agency that deals with safety in the workplace is:,HIPAA,EPA,OSHA,HHS,None of the above,,,C,
A national repository of adverse actions taken against a Dentist.,DPI,OSHA,HIPAA,National Data Bank,None of these,,,D,
Agency that establishes requirements for the management of medical wastes:,Board of Dentistry,NJBRH,NPI,DEP,None of these,,,D,
Laws proposed by the legislature and signed by the governor are called,Regulations,Laws,Statutes,None of the Above,,,,C,
CPT is:,Criteria for identifying caries,Codes for identifying dental procedures,Uniform criteria for premedication,None of the above,,,,D,
