title,Fixed Prosthodontics Midterm Exam 2 (Fall 2018),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"(BOARD QUESTION) When fabricating a porcelain fused to metal restoration, fracture or failure usually occurs:",In the porcelain,At the porcelain-metal interface,In the metal,None of the above,,,A,
"When discussing the stress distribution of a post, the most favorable type of post is:",Tapered,Screw,Cylindrical,None of the above,,,C,
(BOARD QUESTION) Which of the following are indications for a fixed prosthesis or important considerations when treatment planning for a fixed prosthesis:,The need to prevent the overeruption of opposing teeth and the drift of teeth neighboring the edentulous space.,A limited number of edentulous areas which would not otherwise be more satisfactorily restored with a removable partial denture.,Esthetics,"Patient motivation, including time availability.",Clinical and technical ability.,All of the above.,F,
"(BOARD QUESTION) Endodontically treated teeth that have been restored with a cast post and core, are subjected to a high incidence of:",Periodontal disease.,Recurrent caries.,Vertical root fracture.,The need for an apicoectomy.,,,C,
"(BOARD QUESTION) According to the ADA classification for alloy systems used for metal restorations, noble alloys:",Have a noble metal content at least 60%.,Have a noble metal content at least 45%.,Have a noble metal content at least 25%.,Have a noble metal content at least 15%.,,,C,
A screw type post is generally a prefabricated post:,True,False,,,,,A,
"(BOARD QUESTION) Periodontal health of the gingival tissues is a major concern when planning any fixed prosthodontic treatment. For optimal periodontal health, restoration finish lines ideally should be:",Within the sulcus at least 1.0 mm and away from the free gingival margin without encroaching on the biologic width.,Terminated at the free gingival margin.,Supragingival whenever possible (or at least 0.5 mm from the free gingival margin) to allow for hygienic cleansing.,As far as possible subgingivally into the attachment apparatus.,,,C,
(BOARD QUESTION) The preparation for a full veneer crown is begun with occlusal reduction. There should be __________ occlusal clearance:,0.5mm,1.5 mm,2.0 mm,2.5mm,,,C,
"(BOARD QUESTION) When treatment planning for fixed prosthodontics, which of following can NOT be obtained from diagnostic casts:",The length of the abutment teeth.,The inclination of the abutment teeth.,The crown to root ratio of the abutment teeth.,"Mesial/distal drifting, rotation and faciolingual displace ment can be clearly see.",,,C,
(BOARD QUESTION) The forces a fixed prosthesis applies to abutment teeth should be directed and/or modified by:,At right angles to the long axis of the teeth.,Parallel to the long axis of the teeth.,By decreasing the buccolingual dimension of the pontic(s).,b and c,None of the above,,D,
Stress distribution of a post-core is a more important quality than retention:,True,False,,,,,A,
"(BOARD QUESTION) All of the following statements concerning pontics are true, EXCEPT one, which one is the exception:","Regarding ease of cleaning and good tissue health, proper pontic design is more important than the choice of the material used in fabrication.",The contour and nature of the pontic contact with the ridge is very important.,The area of contact between the pontic and the ridge should be small.,The portion of the pontic approximating the ridge should be as concave as possible.,The pontic should not exert pressure on the ridge.,,D,
(BOARD QUESTION) Contact angle is a measurement of:,Strain,Elasticity,Wetting ability,Opacity,Fusion Temperature,,C,
(BOARD QUESTION) The ideal crown to root ratio to be utilized as a bridge abutment:,3:1,2:1,1:2,1:1,,,C,
"(BOARD QUESTION) Which of the following marginal designs is theoretically best for cast gold restorations, allowing burnishing and adaptation of the gold to the tooth:",Shoulder,Shoulder with bevel,Chamfer,Bevel or feathered edge,,,D,
The pulp horn most likely to be exposed during crown preparation of a maxillary first molar is:,Distobuccal,Mesiobuccal,Distolingual,Cusp of Carabelli,,,B,
(BOARD QUESTION) All ceramic restorations are popular because of their superior esthetics and generally favorable gingival tissue response. The finish line of choice when fabricating an allceramic crown is a:,90 degree shoulder,Bevel,Chamfer,45 degree shoulder,,,A,
(BOARD QUESTION) All of the following metals are considered to be base metals EXCEPT:,Nickel,Cobalt,Chromium,Silver,,,D,
All endodontically treated teeth should be restored with a post and core:,True,False,,,,,B,
(BOARD QUESTION) Under which of the following conditions would the margins of a porcelain fused to metal crown be placed subgingivally: 1) Esthetics requires it. 2) Dental caries involvement demands it. 3) Adequate retention requires it. 4) All porcelain fused to metal crowns should be placed subgingivally.,"1,2","1,2,3",1 only,4 only,,,B,
"(BOARD QUESTION) When mixing dental stone, why should the powder be sprinkled onto the water in the mixing bowl?",The addition of powder prevents an exothermic reaction.,The water should be added to the powder.,This results in better powder mixing and reduced chance for air bubbles.,The powder is added to the water to avoid using more than one bowl.,,,C,
(BOARD QUESTION) Dental plaster and stone are vibrated after mixing to:,Minimize distortion.,Reduce setting time,Eliminate air bubbles,Increase the setting time,,,C,
The anterior determinant of occlusion is:,The horizontal AND vertical overlap of the anterior teeth,The horizontal overlap of the anterior teeth,The vertical overlap of the anterior teeth,None of the above,,,A,
Which impression material is known as an addition silicone?,Polyether,Vinyl Polysiloxane,Alginate,ZOE,,,B,
"(BOARD QUESTION) When comparing the preparation of a ceramic crown to an all metal cast crown, the MOST important difference is:",Facial tooth preparation,Configuration of the path of insertion,Lingual/palatal tooth reduction,Type of margin or finishing line,,,D,
(BOARD QUESTION) Which impression material has the best wettability?,Polyether,Polysulfide,Hydrocolloids (reversible and irreversible),Vinyl polysiloxane,,,C,
THE Dean of the dental school is:,Dr. Bert Goldfinger,Dr. Ed Farkas,Dr Ronnie Myers,None of the above,,,C,
A tapered post is the most retentive type of post:,True,False,,,,,B,
"(BOARD QUESTION) When preparing a crown on a tooth with a short occlusal/incisal to gingival length (short clinical crown), the taper of the axial walls should be:",Average,Maximal for proper convenience form,Minimal to assure maximum retention,20 degree taper,,,C,
(BOARD QUESTION) Which semiadjustable articulator has the upper and lower members rigidly attached?,Arcon articulator,Non-Arcon articulator,,,,,B,
(BOARD QUESTION) Trauma to the pulp during tooth preparation is caused by:,The remaining thickness of dentin.,Use of coolant during tooth preparation.,Sharpness of cutting instrument.,Pressure applied to tooth by operator.,All of the above.,,E,
(BOARD QUESTION) You are ready to pack retraction cord around a tooth prepared for a crown on a patient who is hypertensive. You should use a retraction cord that is NOT impregnated with:,Aluminum potassium sulfate,Zinc chloride,Epinephrine,Aspirin,,,C,
The most common cause of dry mouth (xerostomia) is,Aging,Diabetes,Medications,Alcohol consumption,,,C,
