title,Oral Pathology Exam 1 (Spring 2022),oralpath,exam1
question,option_a,option_b,option_c,option_d,option_e,correct,image
What term best describes this lesion,Papillary,Erosion,Pustule,Telangiectasia,Fissure,A,images/oralpath-exam1-spring-2022/fig1.jpeg
What term best describes this lesion,Papillated,Erosion,Pustule,Telangiectasia,Fissure,D,images/oralpath-exam1-spring-2022/fig2.jpeg
Which is true of the following statements: Statement 1: Double lip is only acquired after birth Statement 2: Double lip may be associated with thyroid enlargement,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which is true of the following statements: Statement 1: Fordyce granules are ectopic sebaceous glands Statement 2: Fordyce granules are common and can be found in about 80% of the population,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
What is the name of the following variant of normal:,Hairy tongue,Oral hairy leukoplakia,Squamous papilloma,Lichenoid mucositis,Geographic tongue,A,images/oralpath-exam1-spring-2022/fig5.jpeg
Which of the following conditions is associated with supernumerary teeth?,Ectodermal dysplasia,Cleidocranial dysplasia,Osteogenesis imperfecta,Amelogenesis Imperfecta,,B,
Connection of two teeth by cementum alone is termed:,Fusion,Gemination,Concrescence,Hypoplasia,Hypercementosis,C,
"A patient that brushes their teeth with excessive pressure will likely lose tooth structure through which of the following means, attributed to their excessive heavy teeth brushing habit:",Attrition,Abrasion,Erosion,Abfraction,,B,
True or False: Tooth anomalies do not need to be documented as a part of the patient's chart/dental record.,True,False,,,,B,
What is the term for the condition in which a neonatal tooth that ulcerates the tongue during breastfeeding?,Ascher disease,Riga-Fide disease,Morsicatio buccarum,Linea alba,Melkersson- Rosenthal disease,B,
Which is true of the following statements: Statement 1: Erythroleukoplakia is a histologic diagnosis Statement 2: Tobacco smoking is a risk factor for oral squamous cell carcinoma,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
A diagnosis of “moderate epithelial dysplasia” will likely result in which of the following treatments per the lecture slides:,No treatment,Monitor every 6 months,Excision of the entire lesion,Excision of the lesion with frozen sections,Resection and neck dissection,C,
Which is true of the following statements: Statement 1: Nicotinic stomatitis is a premalignant condition Statement 2: Chewing tobacco has a higher risk of malignancy than smoking,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
True or false: Most cases of proliferative verrucous leukoplakia will undergo malignant transformation within 8 years of diagnosis.,True,False,,,,A,
Which papilloma is most likely to transform into squamous cell carcinoma?,Squamous papilloma,Fungiform papilloma,Inverted papilloma,Cylindrical cell papilloma,Verruca vulgaris,C,
"According to the JADA article, what is the course of action for a lesion described as “A clinically evident, seemingly innocuous lesion (not suspected to be malignant)”",No further action is necessary,Periodically follow up with patient to determine the need for further evaluation,Perform a biopsy of lesion,Perform an adjunctive test,Refer to a specialist,B,
True or False: 64% of cases of oral lichen planus will transform to squamous cell carcinoma,True,False,,,,B,
Which is true of the following statements: Statement 1: Cancers do not exhibit contact inhibition Statement 2: Carcinomas derive from ectodermal structures,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
True or False: Adults get cancer of places where their body meets the environment,True,False,,,,A,
True or False: The multi-hit hypothesis states that only one exposure to a carcinogen is needed for cancer development.,True,False,,,,B,
Which of the following cancers does NOT have a viral pathogenesis,Melanoma,Hepatocellular carcinoma,Cervical cancer,Nasopharyngeal carcinoma,Burkitt Lymphoma,A,
What is the mechanism of cancergenesis from indirect ionizing radiation?,Creation of mutations,Creation of free radicals,Activation of dormant viruses,Inactivation of tumor suppressor genes,,B,
What must be required for an effective cancer screening?,The cancer you're looking for has to be common enough that you have a chance of finding it in the population.,The test must work,Action can be taken if it is found,All of the above must be present for effective screening,,D,
"True or False: Teletherapy is radiotherapy in which the source of irradiation is placed close to the surface of the body, within a body cavity, or in body tissues",True,False,,,,B,
Which is true of the following statements: Statement 1: The majority of patients with oral lichen planus develop cutaneous lichen planus Statement 2: The majority of patients with cutaneous lichen planus develop oral lichen planus,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,D,
Which of the following entities may look clinically similar to lichen planus?,Systemic lupus erythematosus,Amalgam reaction,Stomatitis medicamentosa,Cinnamon flavoring sensitivity,All can look clinically similar to lichen planus,E,
Which is true of the following statements: Statement 1: Hemorrhagic crusting of the lips is a classic finding in erythema multiforme Statement 2: A targetoid skin rash may be finding in erythema multiforme,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
Which of the following practitioners must be involved in the care of patients with mucous membrane pemphigoid?,Nephrologist,Hematologist,Endodontist,Ophthalmologist,Pulmonologist,D,
Which is true of the following statements: Statement 1: Mucous membrane pemphigoid can present as desquamative gingivitis Statement 2: Pemphigus vulgaris can present as desquamative gingivitis,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,A,
True or False: A blood test can be used to diagnose pemphigus vulgaris,True,False,,,,A,
Which of the following is a sign of primary herpetic gingivostomatitis,Gingival ulceration,Cervical lymphadenopathy,Fever,Fatigue,All of the options are signs of primary herpetic gingivostomatitis,E,
Where would one observe intraoral recurrent herpes simplex in an immunocompetent person?,Tongue,Floor of mouth,Hard palate,Soft palate,Buccal mucosa,C,
Which of the following is diagnostic of AIDS in a patient with previously diagnosed HIV patient with previously diagnosed HIV,CD 4+ T-cell count >200,Kaposi sarcoma,CD 4+ T-cell >30% of WBCs,Pseudomembranous candidiasis of the buccal mucosa,,B,
Which is true of the following statements: Statement 1: Kaposi sarcoma is caused by the Epstein Barr Virus Statement 2: The oral mucosa is the most common initial site for AIDS-related Kaposi sarcoma,Both statements are true,Both statements are false,Statement 1 is true and statement 2 is false,Statement 1 is false and statement 2 is true,,B,
Which form of candidiasis is more likely to be observed in a patient with a CD4+ count of 150?,Erythematous,Pseudomembranous,Candida is not a finding in patients with AIDs,,,B,
True or False: immunosuppression is a risk factor for developing cancer,True,False,,,,A,
Which of the following is NOT a possible cause of macroglossia?,Lymphangioma,Oromandibular-limb hypogenesis syndrome,Beckwith-Wiedmann syndrome,Myxedema,Amyloidosis,B,
"Based on statistics, what is the most common histologic diagnosis of a leukoplakia in the oral cavity?",Hyperkeratosis,Mild dysplasia,Moderate dysplasia,Severe dysplasia,Squamous cell carcinoma,A,
A male patient of 35-years presents with grey-white striations of the bilateral buccal mucosae which disappear when the tissue is stretched. What is the diagnosis?,Lichen planus,Pseudomembranous candidiasis,Leukoedema,Pemphigus vulgaris,Leukoplakia,C,
Which tooth is most common in which to observe dens evaginatus?,Mandibular premolar,Mandibular third molar,Maxillary lateral incisor,Mandibular central incisor,Maxillary canine,A,
