title,Periodontics II Midterm Exam (Fall 2017),perio2,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is true regarding Chronic Inflammatory Enlargement?,It is always localized,It is not caused by Mouth Breathing,It is caused by dental plaque,It usually progresses quickly,,C,
A Gingival Abscess has the following characteristic:,It can be rapidly expanding,It is usually asymptomatic,It can lead to a sinus tract,It does not affect adjacent teeth,,A,
What is true regarding Idiopathic Gingival Enlargement?,It only affects Attached Gingiva,It is hereditary,It is caused by plaque,a and b.,,D,
Which of the following is not a feature of a “Pregnancy Tumor”?,It is usually painful from the outset,It is associated with Prevotella Intermedia and Prevotella Nigrescens,It can spontaneously regress after completion of the pregnancy,It is a discrete spherical mass,,A,
The following Neoplastic Enlargement is Malignant:,Squamous Papilloma,Peripheral Giant Cell Granuloma,Melanoma,Leukoplakia,,C,
Which is true regarding Pyogenic Granuloma?,There is chronic inflammatory infiltrate,There is non-specific enlargement,It is a mass of granulation tissue,All of the above are true,,D,
Which criteria help to determine if a tooth has a Periodontal Abscess vs a Periapical Abscess?,Caries,Periodontal Pocketing,Vitality,All of the above,,D,
Which of the following are features of Primary Herpetic Gingivostomatitis (PHGS)?,PHGS heals with scaring,Most oral lesions are the result of Herpes Simplex Type II,"PHGS presents with multiple vesicles, ulcerations, inflamed gingiva, cervical lymphadenopathy, and elevated temperature",All of the above,,C,
Varicella-Zoster Virus (VZV):,Infection occurs mainly in adulthood,Is the cause of chickenpox,Causes large ulcers in the floor of the mouth,All of the above,,B,
Which of the following is true regarding Oral Candidiasis?,It is associated with Linear Gingival Erythema,It presents as three distinct forms,It is the second most common fungal infection of the oral mucosa,None of the above,,A,
Which of the following is not a cause of occlusal trauma?,Parafunctional Habits,Altered Passive Eruption,Faulty Restorations,All are causes of occlusal trauma,,B,
Which of the following is true regarding Occlusal Trauma?,Parafunctional Habits is an example of Primary Occlusal Trauma,Secondary Occlusal Trauma is non-reversible,Chronic Occlusal Trauma is more common than Acute Occlusal Trauma,All of the above,,D,
What are features of Malocclusion?,Malocclusion can cause Gingivitis,Malocclusion can produce occlusal trauma,Malocclusion can cause Periodontitis,All of the above,,B,
For what reasons would you adjust a patient's occlusion?,To reduce muscle pain and dysfunction,To prevent development of abnormal wear patterns,To reduce mobility,All of the above,,D,
When evaluated radiographs for periodontal disease which of the following is true?,Moderate bone loss is when there is greater than 50% bone loss,The crest of bone is viewed relative to a line drawn between the CEJ of adjacent teeth,Bone level is normally found 3-4mm apical to the CEJ,None of the above,,B,
Which of the following are limitations of radiographs?,They are difficult to standardize,There must be 50-60% mineral loss before it is visible radiographically,"Due to superimposition, details of bony architecture may be lost",a and b.,a and c.,E,
Which of the following factors affect the overall patient prognosis?,Patient cooperation and compliance,Stress,Chronic vs Aggressive Periodontitis,a and b.,All of the above,E,
What is true regarding factors affecting individual tooth prognosis?,"Mobility, no matter what the cause, affects individual tooth prognosis",Distribution and type of bone loss is extremely important,1 wall bony defect has a better prognosis vs a 2 wall defect,Probing depth does not affect prognosis,,B,
Which of the following factors of root anatomy contribute to a better tooth prognosis?,Divergent roots have a better prognosis than convergent roots,Maxillary Molars have more enamel projections than Mandibular Molars,Maxillary Central Incisors more often have palatal grooves than Maxillary Lateral Incisors,Short Tapered Roots have a better prognosis than Long Straight Roots,,A,
Which factors of Molar Furcation involvement is true regarding prognosis?,Maxillary Molars with a distal furcation is more favorable than Maxillary Molars with buccal and mesial furcation involvement.,Mandibular Molar furcation involvement is more favorable than Maxillary Molar furcation involvement,Mandibular 1st Molar furcation involvement is less favorable than Mandibular 2nd Molar furcation involvement,All of the above are true,,B,
Hopeless Teeth have which of the following characteristics?,Non-restorability due to extensive caries,Generalized circumferential bone loss to within 3mm of apex,Pocket depth to apex with pulpal involvement,a and b.,"a, b, and c.",D,
According to the study published by McGuire and Nunn which prognosis was the most accurate over time?,Good,Fair,Poor,Questionable,Hopeless,A,
Which prognosis has the following definition: (1 or more of the following) 50% attachment loss with Class II furcations. The location and depth of furcations would allow proper maintenance but with difficulty.,Good,Fair,Poor,Questionable,Hopeless,C,
Which prognosis has the following definition: (1 or more of the following) • greater than 50% attachment loss resulting in poor crown-to-root ratio. • Poor root form. • Class II furcation not easily accessible for maintenance care or Class III furcations. • Mobility of 2 or greater. • Close root proximity.,Good,Fair,Poor,Questionable,Hopeless,D,
"Which prognosis has the following definition: Inadequate attachment to maintain the tooth in health, comfort, and function.",Good,Fair,Poor,Questionable,Hopeless,E,
Which of the following is not true regarding shallow and deep pocket depths?,Deep sites are more likely to contain aerobic bacteria,Bleeding upon probing occurs more often in deep pockets,Deep sites are more difficult to maintain,Supraginginval hygiene will affect flora in shallow sites only,,A,
Which of the following are part of “Initial Preparation?”,Gingivectomy,Elimination of “local factors”,Crown Fabrication,All of the above,,B,
Which of the following are part of Re-Evaluation or Presurgical Evaluation?,Occlusal adjustment,Oral hygiene status,Splinting,All of the above,,D,
When determining success of periodontal therapy which of the following criteria indicate success of treatment?,Increase is probing depth,Decrease in occlusal stability,Reduction or absence of bleeding upon probing,All of the above,,C,
When presenting a treatment plan to a patient which of the following should be included?,Length and cost of treatment,Encourage questions,Describe patient's condition and clinical finding,a and b.,"a, b, and c.",E,
