title,TMD & Orofacial Pain Final Exam (Spring 2021),tmd,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
(CASE AB) After  you obtain the history which of the following should be done next by the clinician?,Obtain a panoramic radiograph,Prescribe Ibuprofen 400 mg three times daily for one week and then have the patient return for a reevaluation,"Perform a thorough examination of the head and neck, as well as the oral cavity, order a panoramic or CBCT scan, develop differential diagnosis and then determine the best course of management.",Immediately refer the patient to a clinician with experience with temporomandibular disorders because it does not make any sense for you to evaluate the patient further,,C,
(CASE AB) Statement #1: You inform the patient that they have “TMJ syndrome” and that she definitely has disc displacement Statement #2: You should refer the patient to a physical therapist for definitive treatment Which of the following is correct with respect to diagnosis and treatment of this patient:,"Statement #1 is correct, statement #2 is correct","Statement#1 is correct, statement#2 not correct","Statement #1 is not the correct,  statement #2 correct","Statement #1 is not correct, statement #2 is not correct.",,D,
"(CASE AB) Following your examination, you document that the patient’s maximum interincisal opening distance is 21 mm with deviation to the right. The left lateral excursion is 1 mm, the right lateral excursion is 9 mm. The right TMJ is tender to palpation as well as the right masseter and temporalis muscles. You obtain a panoramic radiograph, which appears normal. You then order an MRI which demonstrates a large effusion of fluid in the right temporomandibular joint, a small area of cortical bone loss involving the superior condyle, and anterior disc displacement.  Which of the following, if any, can be discarded as a possible diagnosis?",Synovitis right temporomandibular joint with myalgia of the right temporalis and masseter muscles,Internal derangement of the right temporomandibular joint with disc displacement and synovitis,Neoplasia involving the right temporomandibular joint,"None, all of these diagnoses are possible",,D,
(CASE AB) Which of the following is NOT APPROPRIATE initial treatment for this patient’s condition?,Temporomandibular joint arthroscopic surgery,"Moist, heat, softer diet and jaw exercises",Clenching awareness and avoidance,Ibuprofen 400mg three times daily for 10 days,,A,
"(CASE AB) The patient undergoes 3 months of treatment with heat, massage, softer diet, NSAIDs, an oral appliance and jaw exercises.  Her symptoms continue at the same high level and she is fearful that she will never be able to chew or have normal jaw function.  Which of the following should be the considered as the next logical option for treatment?",Minimally invasive arthroscopic surgery,Open joint surgery designed to reposition the disc,Total joint replacement surgery,"Continued non-surgical therapy and refer her to a psychiatrist for stress management, then re-evaluate her in 8 months.",,A,
"(CASE AB) If the patient were to undergo surgical treatment for her TMJ disorder, which of the following would be most appropriate in the postoperative rehabilitation period?","Jaw exercises, non-chew and/or very soft diet, clenching awareness and avoidance, non -steroidal anti-inflammatory medications, follow up with surgeon 1 week, 3 weeks postoperatively, then every 1-3 months as needed.","Continued use of an oral appliance, pain medications for 3 months, follow up with surgeon in 3 months.",Follow up with the surgeon in one week and then in 5 months,"Physical therapy once per week for two months, then have the patient return to the surgeon for a postoperative evaluation in 2 months",,A,
"(CASE AB) A patient with severe TMJ synovitis and limited jaw opening who undergoes arthroscopic TMJ surgery, and follows an appropriate postoperative rehabilitation is most likely to have which of the following outcomes 3 – 6 months postoperatively?","Increased TMJ pain, decreased maximum interincisal opening distance","Decreased TMJ pain, decreased maximum interincisal opening distance","Decreased TMJ pain, increased maximum interincisal opening distance","Increased TMJ, pain, increased maximum interincisal opening distance",The results of TMJ arthroscopy are very variable and each of the following outcomes have an EQUAL chance of occurring,C,
(CASE AB) The patient returns to your office 3 months following surgery and she indicates that she has remained compliant with your postoperative rehabilitation instructions. The patient also tells you that she has now returned to work at a job that she hates and is also in the middle of a custody battle with her divorced spouse. She is aware  of having increased clenching during the day and night due to this stress and her sleep is poor. Which one of the following statements is FALSE?,Persistent clenching and joint overload will contribute to further cartilage degradation in the temporomandibular joints,She must stop performing passive motion jaw exercises which are contributing to cartilage degradation and synovitis.,You should consider placing the patient on a muscle relaxant before bedtime to help with muscle tension and potentially improve sleep.,You should reinforce clenching awareness and avoidance during the day and inform her to download  a clenching reminder APP on her iPhone.,,B,
"(CASE AB) A patient returns to your office following an arthroscopy that successfully reduces pain and increases jaw opening for 5 months.  However, the patient has noticed a sudden increase in pain levels to a level “8” on the visual analog scale (0=no pain, 10=the most severe pain). The pain began 10 days prior to her appointment.  Which one of the following is NOT appropriate for initial management of this patient?",Ibuprofen 400mg three times daily for10 days with meals.,Very soft diet for the next 10-14days.,Hot compresses to the right and left masseter and temporalis muscles,"TMJ arthroscopy, since it was successful the first time",,D,
"(CASE AB) A patient who underwent successful arthroscopic TMJ surgery with no symptoms for 5 years moves to another state and you do not hear from her until 8 years after your treatment. She then returns to your office with significant right and left TMJ pain, severe limitation of maximum interincisal opening distance, constant pain in both the right and left face which is increased to lightly touching the skin in front of the right and left TMJs. She reports that over the past 3 years, she was treated by other surgeons who performed 3 additional surgeries, including right and left TMJ disc repositioning surgery, bilateral discectomies, then bilateral prosthetic total joint replacements. Which of the following statements is FALSE?",She most likely has developed chronic neuropathic pain.,Additional surgery is less likely to achieve a good outcome,Orthodontic and/or prosthodontic correction of her malocclusion is likely to be the best course of management,"Multidisciplinary management of the chronic orofacial pain is most likely to be the best course of management of this patient CASE CD- questions 11 – 16  are pertinent to Case CD A 55 year old female presents to your office with a chief complaint of severe pain associated with the lower right second bicuspid tooth. She reports that she has had pain on the right posterior mandibular region for two years. Over the past two years she has been treated by multiple dentists and has undergone the following procedures: Endodontic therapy on #31 twice, extraction of # 31, endodontic therapy #30, apicoectomy #30, extraction #30. After each procedure the pain returned at a higher level and now the pain is very severe, significantly impairing the quality of her life. The panoramic radiograph of the mandibular right can be seen below: The patient points directly to the mandibular right second bicuspid tooth and she begs you to extract #29. The clinical examination reveals the neck and oral soft tissues to appear normal. There is no evidence of swelling or infection. Teeth #’s 27, 28, and 29 are equally tender to percussion. Light palpation of the right posterior buccal alveolus makes the pain worse. You pulp test # 27, 28 and 29 all testing vital. Cranial nerve examination reveals a mild paresthesia of the right lower lip and chin.",,C,images/tmd-final-spring-2021/fig10.jpeg
