title,Oral Radiology Final Exam (Fall 2021),oralrad,final
question,option_a,option_b,option_c,option_d,correct,image
Each of the following is a purpose of quality assurance EXCEPT for one. Which is the EXCEPTION?,Minimize radiation dose,Optimize image quality,Optimize diagnostic yield,Patient education,D,
"If one of your digital sensors needs to be replaced, where should you note this and keep track of similar issues that may arise?",Dose Journal,Personal Journal,Radiology Log,Testing Phantom,C,
Testing phantoms can be used for:,Measuring spatial resolution using line pairs per millimeter,Measuring contrast resolution using a stepwedge or wells of varying depth and diameter,Both types of measurements in the answer choices,None of the types of measurement in the answer choices,C,
The following radiograph depicts multiple periapical lesions. Which of the following terms describes the radiopaque bone surrounding the periapical lesions?,Lamina dura,Dense reactive bone formation,Enamel pearls,Cervical burnout,B,images/oralrad-final-fall-2021/fig4.jpeg
The RADIOPAQUE border surrounding the extraction socket is known as the ________?,PDL space,Lamina dura,Enamel,Pulp,B,images/oralrad-final-fall-2021/fig5.jpeg
Teeth #24 and #25 are asymptomatic and vital. Which of the following is the MOST LIKELY diagnosis?,Mental foramen,Periapical lesion,Cemento-osseous dysplasia,Cervical burnout,C,images/oralrad-final-fall-2021/fig6.jpeg
Which of the following is the MOST LIKELY diagnosis of the radiolucency on the mesial aspect of the root of #22? Note that the lesion is well-corticated. Also note that the lamina dura of #22 is intact.,Lateral periodontal cyst,Lateral radicular cyst,Apical periodontitis,Periapical scar,A,images/oralrad-final-fall-2021/fig7.jpeg
Which of the following errors in technique is present in the panoramic radiograph below?,Chin far up,Patient is wearing jewelry,Motion artifact,Patient’s neck is not straight,B,images/oralrad-final-fall-2021/fig8.jpeg
Which of the following is the most significant error in technique is present in the panoramic radiograph below?,Motion artifact,Head rotated right,Beam-hardening artifacts,Overexposure,A,images/oralrad-final-fall-2021/fig9.jpeg
Which is the anatomical structure outlined by red?,Hard palate,Tongue,Ghost image of left mandible,Airway (oropharynx),D,images/oralrad-final-fall-2021/fig10.jpeg
Ghost images normally project on the film as:,"Reduced in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the opposite side of the image","Enlarged in size, superior, and on the same side of the image","Reduced in size, superior, and on the same side of the image",B,
"When taking a panoramic radiograph, which part of the patient’s head is imaged first?",Right,Left,Superior,Inferior,B,
Which of the following is an ADVANTAGE of panoramic radiography?,Patient does not need to open wide,Capturing the facial bones and teeth in one image,Low patient dose,All of the answer choices are advantages,D,
Which of the following is the most significant error in technique is present in the panoramic radiograph below?,Head rotated left,Head tilted right,Chin down,Patient movement,C,images/oralrad-final-fall-2021/fig14.jpeg
