title,Pathomedicine Exam 6 (Fall 2018),patho,legacy
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,option_h,correct,image
Vulnerability to measles infection is most consistent with a deficiency in:,Vitamin A,Vitamin B,Vitamin C,Niacin,Iron,,,,A,
"A hypochromic, microcytic anemia would be most consistent with a deficiency in:",Iron,Vitamin K,Folate,Vitamin B12,Vitamin B6,,,,A,
"Pellagra, a disease characterized by a clinical triad of dementia, dermatitis and diarrhea, results from a deficiency in:",Pyridoxine,Niacin,Riboflavin,Pantothenic acid,Biotin,,,,B,
Hepatitis A is transmitted mostly by:,Sexual contact,Respiratory droplets,Healthcare occupational exposure,Medication errors,Unsanitary conditions,,,,E,
Chronic hepatitis is most likely to occur in patients infected by:,Hepatitis A virus,Hepatitis B virus,Hepatitis C virus,,,,,,C,
For what duration of time will patients who develop hepatitis A typically have anti-hepatitis A virus IgG antibodies present in the serum?,4-6 months following development of hepatitis A,Entire lifetime following development of hepatitis A,0-4 months following development of hepatitis A,4-12 months following development of hepatitis A,24-48 hours following development of hepatitis A,,,,B,
Seroconversion is most likely to occur following an occupational exposure to:,Human immunodeficiency virus,Hepatitis B virus,Hepatitis C virus,,,,,,B,
Infection by which virus is most likely to elevate the risk for chronic kidney disease?,Hepatitis A,Hepatitis B,Hepatitis C,Hepatitis D,Hepatitis E,,,,C,
Delta coinfection is the simultaneous occurrence of acute hepatitis D virus infection (HDV) and acute:,Hepatitis A infection,Hepatitis B infection,Hepatitis C infection,Hepatitis E infection,,,,,B,
"The liver is responsible for all of the following, EXCEPT one. Which one is the EXCEPTION?",Metabolism,Catabolism,Carbohydrate storage,Secretion of glucocorticoids,Detoxification,,,,D,
"All of the following represent clinical manifestations of alcoholic hepatitis, EXCEPT one. Which one is the EXCEPTION?",Hepatomegaly,Ankle edema,Jaundice,Ascites,Mucosal pallor,,,,E,
Which artery represents the most common location for occurrence of cerebrovascular accidents?,Vertebral artery,Central cerebral artery,Posterior cerebral artery,Middle cerebral artery,Anterior cerebral artery,,,,D,
"All of the following are risk factors for cerebrovascular accidents, EXCEPT one. Which one is the EXCEPTION?",Controlled hypertension,Obesity,Prior ischemic event,Uncontrolled hypertension,Diabetes mellitus,,,,A,
Which of the following is/are a self-limiting condition(s)?,Transient ischemic attack,Reversible ischemic neurologic deficit,CVA in evolution,Completed stroke,All the above,A and B,A and C,B and C,F,
