title,Fixed Prosthodontics Midterm Exam (Fall 2022),fixedpros,midterm
question,option_a,option_b,option_c,option_d,correct,image
Point G:,Rest Position,Maximum Intercuspation,Hinge axis to maximum opening,None of the above,C,
Point F:,Centric Relation,Rest Position,Hinge axis terminating point,None of the above,C,
Point E:,Maximum Intercuspation,Centric Relation,Maximum Hinge opening,Maximum Protrusive Point,A,
Point D:,Maximum Opening Point,Hinge Axis Terminating Point,Rest Position,Hinge axis terminating point,A,
Point C:,Maximum Intercuspation,Maximum Opening Arc,Centric Relation,None of the above,B,
Point B:,Centric Relation,Rest Position,Maximum Opening Point,None of the above,B,
Point A:,Centric Relation,Hinge Axis Terminating Point,Maximum Protrusive Point,Rest Position,C,
Irreversible Hydrocolloid impression materials are only sensitive to temperature changes:,True,False,,,B,
Maximum retention of a fixed prosthesis is accomplished with multiple paths of insertion:,True,False,,,B,
The gain of water during the formation of Brush-Heap structures is known as Syneresis:,True,False,,,B,
"Your sales rep has a “special”deal for you. He has a new impression material with a 2% Permanent Deformation ratio. This a material, given all other favorable factors, you should consider purchasing:",True,False,,,A,
An Intracoronal restoration (inlay) uses external surfaces for retention:,True,False,,,B,
The first “modern” crown was fabricated using:,Porcelain,Gold,Porcelain fused to metal,None of the above,A,
"Mr. Spiderman presents to your office for crowns on teeth 3,4,5 and 6. While able to climb webs, scale buildings, and fly he has very poor oral hygiene. Despite you and your staff stressing the importance of proper hygiene, there is no improvement. He shows little tooth structure when he smiles (do spiders smile?). You decide the best margin (finish line) for your crowns should be:",Subgingival,At the free gingival margin,Supragingival,None of the above,C,
Resistance Form prevents dislodgement of a prosthesis by forces directed along the long axis of the tooth:,True,False,,,B,
"Mr. Wonderful presents to your office for treatment. He had a coronary bypass in 2010, cataract surgery in 2017 and suffers from scleroderma which makes it difficult to open his mouth fully. He needs a crown on tooth # 11 and you begin treatment. The type of provisional which would be least intrusive given his limited opening would be:",Conventional PMMA,Lab processed provisional?,Ion Crown Provisional,None of the above,C,
"When the dentist damages the tooth distal to the one being worked on, it is known as unavoidable damage:",True,False,,,B,
"When in Maximum Intercuspation (MIP), which two teeth occlude with the mandibular second molar:",Maxillary first premolar and second premolar,Maxillary second premolar and first molar,Maxillary first molar and second molar,None of the above,C,
The Temporomandibular Joint is what type of joint:,Ball and Socket,Ginglymo-Arthrodial,Fibrous,None of the above,B,
"When viewing the Moh's Hardness Scale, enamel ranks as:",2,4,7,None of the above,D,
The thickness of remaining dentin following tooth preparation is directly proportional to the pulpal response of the prepared tooth:,True,False,,,B,
The most critical issue to avoid when preparing a crown is:,Esthetics,Smoothness of the crown,Undercuts,None of the above,C,
"In Maximum Intercuspation (MIP), the palatal cusp of the maxillary second premolar will occlude with:",Mesial marginal ridge of the mandibular second premolar,Mesial fossa of the mandibular second premolar,Distal marginal ridge of the mandibular second premolar,Mesial fossa of the mandibular first molar,C,
"Mrs. Bluestein is an 88-year-old female. She presents with a history of high blood pressure, migraine headaches, a 10-year-old hip replacement and a really bad disposition. While doing your comprehensive exam, you do an occlusal analysis. When Mrs. Bluestein goes into right lateral excursion, should she make contact on her left side:",True,False,,,B,
A realistic crown to root ratio would be:,1:1,1:2,2:3,None of the above,C,
The difference between a tooth supported crown and an implant supported crown is the lack of:,Attached gingiva,Keratinized gingiva,Alveolar bone,Periodontal ligament,D,
George Washington decides he needs a new set of dentures. The position of the mandible which is repeatable and consistent would be:,Maximum Intercuspation,Centric Occlusion,Centric Relation,None of the above,C,
Which of these is not part of the TMJ bony complex:,Condyle of the mandible,Articular eminence of the temporal bone,Anterior aspect of the mandibular fossa,Styloid process,D,
Which two teeth would occlude with the incisal edge of the right mandibular lateral incisor during protrusion of the mandible:,Maxillary right central incisor and left central incisor,Maxillary right central incisor and right lateral incisor,Maxillary right lateral incisor and canine,Maxillary right canine and first premolar,B,
Brush Heap structure of an impression material describes the major ingredient of filler particles:,True,False,,,B,
Statement One: Protrusion occurs after the mandible is opens more than 20-25 mm Statement Two: Protrusion is an example of translatory movement of the mandible,Both statements are true,Both statements are false,"Statement One is true, Statement Two is false","Statement One is false, Statement Two is true",A,
Excessive taper on a crown preparation most importantly affects:,Axial Reduction,Retention,Gingival health,None of the above,B,
When discussing root surface area and the length of a fixed prosthesis we calculate using:,Auntie's Law,Uncle's Law,Ante's Law,My cousin Ethel's Law,C,
"When in Maximum Intercuspation position (MIP), which two teeth occlude with the maxillary first premolar:",Mandibular canine and first premolar,Mandibular first premolar and second premolar,Mandibular second premolar and first molar,None of the above,B,
The material considered to be the strongest and hardest when fabricating a crown is:,Gold,Acrylic Resin,Lithium Disilicate,Zirconia,D,
The occlusal force generated by a fixed prosthesis is:,26.0 pounds,35 pounds,150 pounds,None of the above,D,
The Glenoid Fossa sits in the:,Parietal bone,Occipital bone,Temporal bone,None of the above,C,
"When treatment planning a long span fixed prosthesis, doubling the length of the span will increase it's deflection by a factor of:",2,4,6,8,D,
"We discussed in Lecture One that on July 1, 2025 you will be able to start practicein the state of New York:",True,False,,,B,
Alginate Impressions are 70% solid filler:,True,False,,,B,
