title,Practice Management II Final Exam (Fall 2021),pmgmt2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which insurance policy type covers the dental practice for slips and falls.,Workers Compensation policy,Business Owners policy,Malpractice insurance policy,Health Insurance policy,,B,
All malpractice claims that are settled are publicly reported by the:,Board of Dentistry,National Practitioner Data Bank,American Dental Association,Local Periodicals,,B,
"According to the lecture, Dentist represent excellent risks for banks because their default rate is",25%,30%,10%,Less than .5 of 1%,None of the answer choices,D,
You purchase an existing practice and hire an Endodontist to perform Root Canal procedures in the office. The Endodontist commits malpractice.,The Endodontist is liable for his professional malpractice.,The owner is liable for the Endodontists’ malpractice,Liability can be found on both parties.,,,C,
(a)Botox procedures are considered the practice of Dentistry and can be performed in any region of the face;(b) Botox is covered by all dental malpractice insurance companies.,both statements are true.,"the first statement is true, and the second statement is false","the first statement is false, and the second statement is true",both statements are false,,D,
Dental malpractice insurance rates are calculated on,location of the office,the years of practice,the dental school attendant,The risk of procedures performed,None of the answer choices,D,
(a) Occurrence and claims made dental malpractice insurance policies offer deep discounts to Dentist that practice part-time during their residency. (b) Claims made policies in the case are usually cheaper.,Both statements are true.,"The first statement is true, and the second statement is false","The first statement is false, and the second statement is true",Both statements are false,,B,
A malpractice insurance can settle a malpractice insurance claim:,If the dentist commits a violation that is not within the standard of care,If the insurance decides it is too costly to take the case to trial.,If the dentist gives attestation to settle the claim.,If the State Board consents to settle the case,None of the answer choices,C,
Which procedures would not influence a higher rate in malpractice premiums?,Surgical placement of implants,Multiple crown and bridge procedures,Botox,Extraction of impacted 3rd molars,None of the answer choices,B,
"According to the Heartland lecture, if the Association for Dental Support Organizations were to negotiate with insurance companies to inflate their fees to benefit only DSO’s it would be a violation of what laws?",HIPAA laws,Anti-trust laws,COBRA laws,Equal Rights laws,None of the answer choices,B,
All dental malpractice claims that are publicly settled are reported to the:,Board of Dentistry,National Practitioner Data Bank,American Dental Association,Local Periodicals,,B,
The type of insurance that aims to protect the owner from malpractice performed by an employee dentist is called:,Workers Compensation Insurance,Corporate Malpractice Insurance,Personal Liability Insurance,None of the answer choices,,B,
"A patient presents to your office for an emergency appointment and has a tooth extracted. The tooth is extracted without incident. Following the procedure as the patient is getting in his vehicle, he falls in the parking lot and fractures his leg. Which insurance company would cover you if you were sued?",Health insurance policy,Business owners’ policy,Malpractice insurance,Workers’ compensation policy,No liability insurance necessary,B,
Components of a credit score:,Payment history,Credit usage,Credit inquiries,Age of accounts,All of the answer choices,E,
"As mentioned in the lecture when managing one’s debt, one must be cognizant of:",Number of hours worked,Paying off one’s student loan debt,One’s credit score,None of the answer choices,,C,
"According to the lecture, what percentage of liquid assets does a bank expect the borrower to have when borrowing money to purchase a practice?",25%,30%,10%,50%,,C,
Current dental market misconceptions are:,DSOs own the landscape,Traditional sole proprietorship is the past,Associate will never own a practice,It is impossible for a solo practitioner to own multiple practices,All the answer choices,E,
Most DSO’s are run by management companies and owned by,Dentist,Healthcare Insurance Companies,Private Equity Firms or Hedge Funds,Practice Brokers,None of the answer choices,C,
"Currently, which rate is considered most ideal when financing a dental practice in today’s marketplace:",Credit Card rate,Fixed rate,Variable rate,Hybrid rate,None of the answer choices,B,
Paying off student loan debt is more impressive to the bank than making minimum payments and saving the difference,True,False,,,,B,
After 5 years of working as an associate at various dental offices you have decided to purchase a practice on your own. What will a Dental Broker require prior to your visiting potential practices to purchase?,Good credit score,Pre-approval by a bank,State licensure,Proof of graduation,Recommendations from previous employers,B,
"According to the lecture, since in most states, only a Dentist can draw profits from a dental practice how do most DSO’s derive funds from a dental practice?",Advertising fees,Consulting fees,Associate fees,Management fees,Contributions,D,
"The proper means to establish office policy, explain benefits including sick and vacation time as well as establish protocols and procedures is through which vehicle?",Staff meetings,Signed documents at the start of employment,Office manual,Meetings with the office manager,None of the answer choices,C,
In an “at will” state an employee cannot be terminated for which of the following reasons?,Insubordination,Discrimination,Consistent tardiness,No cause,Voluntary absence without notice,B,
A dental practice that is not sold as a private sale is generally sold by a(n),Dental Association,Advertising on Craigslist,Dental Broker,Dental Periodicals,None of the answer choices,C,
