title,PCOD I Midterm Exam (Fall 2018),pcod1,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Smoothing out the axio-pulpal line angle of a Class II amalgam cavity prep?,Improves the resistance form,Improves the retention form,Improves the outline form,Weakens the retention form,,,,A,
"You have punched the holes for the rubber dam too far apart, what will happen?",You will have excess rubber between the contacts,The interproximal rubber may be very thin and break,You must make additional holes to accommodate the arch,Should not be a problem as the rubber is elastic,,,,A,
A rectilinear instrument has a formula that reads 13-97-9-15. The 9 in the formula represent?,The width of the blade in mm,The width of the blade in 1/10s of a mm,The length of the blade in mm,The length of the blade in 1/10s of a mm,,,,C,
"Amalgam undergoes different setting reactions, the weakest stage is:",Silver mercury phase,Copper mercury phase,Tin mercury phase,Silver copper mercury phase,,,,C,
You have prepared a DO cavity preparation for amalgam on tooth # 29. The ideal depth of the pulpal floor?,.5mm,.75mm,1.0mm,2.0mm,3,,,D,
The purpose for attaching dental floss to rubber dam clamp is,prevent from falling on the floor,prevent from patient aspirating the clamp,prevent rubber dam from slipping off clamp,to help keep clamp in one place,,,,B,
Why do you invert the rubber dam,keep damn in place,prevent from lacerating the tissue,allow for easier removal of rubber dam,help improve moisture control,,,,D,
Mrs. Jones tell you that her previous dentist had told her that it is not terrible if you eat cake after dinner but it is more critical the frequency or number of time you eat fermentable carbohydrates. He mentioned that what happens is the saliva after eating immediately becomes acidic. She claims he also mentioned the length of time it stays acidic. He referred to this by term she couldn't remember. Could you help her out?,acid curve,Stephen curve,saliva curve,ph curve,,,,B,
"During the preparation of a class II cavity, which of the following permanent teeth pulp horns will be most subject to accidental exposure?",Distofacial of the maxillary first molar,Distofacial of the mandibular first molar,Facial of the mandibular first premolar,Lingual of the mandibular first premolar,,,,C,
The composite restoration is bigger than the light tip of the curing unit. In this situation the restoration is cured by,Placing the tip stepwise over each area and exposing each area for the required time.,Positioning the tip far enough from the surface to illuminate the entire surface.,Centering the tip on the surface and curing the entire restoration from this position.,,,,,A,
"In preparing a tooth for a class I amalgam restoration, the mesial and distal walls are divergent in order to:",Prevent undermining the marginal ridges,"The mesial and distal walls are convergent, not divergent",Provide convenience form,Extend the preparation into areas more readily cleaned,,,,A,
Acid etching of the tooth surface increases retention and adaptation of resin restorations by: A. Increasing the surface area B. Conditioning the surface for better wetting C. Creating surface irregularities for better mechanical locking,A and B,A and C,B and C,All of the above,,,,D,
A patient presents with an amalgam restoration that is fractured despite being placed only 6 months ago. The most likely cause is?,Recurrent caries,Inadequate depth of the preparation,Excessive width of the preparation,Premature occlusal contact,,,,B,
