title,Oral Radiology Midterm Exam (Fall 2017),oralrad,midterm
question,option_a,option_b,option_c,option_d,correct,image
Which of the following is NOT a source of radiation?,Radon,The Earth (terrestrial),CT scans,MRI scans,D,
"Within the x-ray machine, characteristic radiation is produced by interaction of _____ with ______.",Photons; matter,Electrons; photons,Electrons; the tungsten target Photons; the tungsten target,,C,
Within the x-ray tube:,Electrons stream from a filament in the anode to a target in the cathode.,Electrons stream from a filament in the cathode to a target in the anode.,Photons stream from a filament in the anode to a target in the cathode.,Photons stream from a filament in the cathode to a target in the anode.,B,
"When an x-ray machine is set to 70 kVp, the peak energy of electrons passing through the x-ray tube is:",Boosted by the high-voltage transformer to 70 volts,"Boosted by the high-voltage transformer to up to 70,000 volts (70 kilovolts)",Reduced by the filament transformer to 70 volts,Reduced by the filament transformer to 70 milliamps (0.07 amps),B,
"When exposure time is cut in half, the number of photons generated at all energies in the x-ray emission spectrum is:","The same, and the range of photon energies is unchanged","The same, but the range of photon energies doubles","Cut in half, but the range of photon energies is unchanged Cut in half, but the range of photon energies doubles",,C,
Increasing the kVp will:,"Increase the number of photons generated, but not their mean energy nor their maximal energy","Increase the number of photons generated and their mean energy, but not their maximal energy","Increase the number of photons generated, their mean energy, and their maximal energy",Decrease the number of photons generated but increase their mean energy and their maximal energy,C,
"Potassium normally has 19 protons and 20 neutrons. However, there is another stable _________ of potassium which has 19 protons and 22 neutrons, called potassium-41.",Organ,Isotope,Polymer,Enantiomer,B,
More than __% of the kinetic energy of electrons produced at the filament is converted to heat at the target.,10,50,90,99,D,
"The tungsten target, the anode, is _________-ly charged. The filament, the cathode, is __________-ly charged.",Positive; positive,Negative; negative,Positive; negative,Negative; positive,C,
One advantage of digital imaging versus film imaging is that digital:,Imaging has a lower initial setup expense.,Imaging eliminates chemical processing.,Components are inexpensive to replace.,Systems will not become obsolete over time.,B,
The photostimulable material used for radiographic imaging with the _________________ is “europium-doped” barium fluorohalide.,Charge-coupled devices (CCD),Flat panel detectors,Complementary metal oxide semiconductors (CMOS),Photostimulable phosphor (PSP),D,
"A radiograph contains bright, or ____________, areas that were struck by relatively few ___________.",Radiolucent / electrons,Radiolucent / photons,Radiopaque / electrons,Radiopaque / photons,D,
Each pixel is isolated from its neighboring pixels and is directly connected to a transistor when the ______________ is used as a digital image receptor.,Charge-coupled device (CCD),Complementary metal oxide semiconductor (CMOS),Flat panel detector,Photostimulable phosphor (PSP),B,
Which of the following is the name of an actual digital enhancement?,Tearing,Colorize,Pixelize,Noise,B,
Which of the following statements is true regarding digital image processing?,Most digital images are processed or enhanced in some way before you even see the image.,Edge enchancement is reversible.,Image enhancements are more commonly utilized with film systems than with digital systems.,Digital image processing increases the noise in the image.,A,
Image sharpness is improved by __________ the distance between the x-ray source and the object. Image sharpness is also improved by __________ the distance between the object and image receptor.,Increasing / increasing,Increasing / decreasing,Decreasing / increasing,Decreasing / decreasing,B,
The “L” in the acronym SLOB stands for:,Lasting,Lovely,Lingual,Lancet,C,
"As the contrast resolution (bit depth) increases, the number of available gray levels:",Increases,Decreases,Remains the same,There is no correlation between contrast resolution (bit depth) and grey levels,A,
"If you were to replace a circular collimator with a rectangular collimator, the dose to the patient ________.",Increases,Decreases,Remains the same,There is no correlation between collimation and patient dose,B,
If an extremely obese or extremely petite patient presents to your clinic for a radiographic examination:,Consider modifying the collimation,Consider taking fewer radiographs,Consider modifying the focal spot size,"Consider modifying the exposure parameters (kV, mA, and/or time)",D,
"Assuming the x-ray source is aimed properly at the image recptor, if the object being imaged is not parallel with the image receptor, you should expect:",Foreshortening,Elongation,Eggshell effect,Upside-down image,A,
Spatial resolution can be measured in:,Line pairs per millimeter (lp/mm),Bit depth,Pixel value,Height,A,
"The primary cause of radiation-induced cell death, heritable (genetic) mutations, and cancer formation (carcinogenesis) is damage to a cell’s:",Protein,Lipid,Carbohydrate,DNA,D,
Which of the following type of cells has the greatest radiosensitivity?,Muscle tissue,Basal cells of oral mucous membranes,All of the answer choices have the same radiosensitivity,Nerve tissue,B,
Osteoradionecrosis is:,Caused by taking bisphosphonates,Primarily caused by radiation-induced damage to the vasculature of the trabecular bone,The most serious clinical complication that occurs in bone after irradiation,Less likely to occur the higher the radiation dose that is absorbed by the bone,B,
For deterministic effects:,The severity of the clinical effect is independent of dose.,They are the same as stochastic effects.,Individuals may show the effect when the dose is above a threshold.,The frequency of the effect is proportional to the dose.,C,
