title,GDA Final Exam (Summer 2022),gda,final,"3 questions (cleft lip classification, cleft palate classification, and a cranial suture) reference a figure that was not available in the source file."
question,option_a,option_b,option_c,option_d,option_e,correct,image
What defines the period of middle childhood?,The prepubertal period,The eruption of the primary teeth,The start of the eruption of permanent teeth,Development of the adrenal glands,,C,
During what season is growth in height the fastest?,Spring,Summer,Winter,Fall,,A,
"Deficiency of which of the following vitamins is related to the development of rickets, or defective mineralization and calcification of the bones that causes bowing and fracture?",Vitamin A,Vitamin B,Vitamin C,Vitamin D,Vitamin E,D,
Fill in the blanks. _____________________ is the most important hormone related to growth and development and secreted by the _________________________.,Somatotropin (HGH); pituitary,Estrogen; ovaries,Thyroid hormone; parathyroid,Somatotropin (HGH); thymus,,A,
"According to the Rule of 5s, approximately how many centimeters in head growth occurs during the first year of life?",5cm,10 cm,15 cm,25 cm,50 cm,D,
Which is the following types of cells are the only haploid cells in the body?,Stem cells,Neural crest cells,Gametes,Dermal cells,Red blood cells,C,
Where does fertilization of the ovum by the sperm take place?,Ovary,Endometrial lining of uterus,Uterine tube,None of the above,,C,
Which germ layer gives rise to the peripheral nervous system (PNS)?,Endoderm,Mesoderm,Ectoderm,,,C,
Which pharyngeal arch gives rise to the muscles of mastication?,Arch 1,Arch 2,Arch 3,Arch 4,Arch 5,A,
Which two pharyngeal arches contribute to the formation of the hyoid?,Arches 1 and 2,Arches 2 and 3,Arches 3 and 4,Arches 4 and 5,Arches 5 and 6,B,
Cranial Nerve IX is the ________ Nerve and its function is ____________.,Glossopharygeal; Taste on posterior tongue and gag reflex,Vestibulochochlear; Gag reflex and phonation,Hypoglossal; Taste on anterior tongue,Vagus; Hearing and equilibrium,None of the answer choices are correct,A,
What is the name and function of Cranial Nerve XII?,"Glossopharyngeal, taste in the posterior tongue","Hypoglossal, visceral muscle movement","Glossopharyngeal, eyeball movement","Vestibulocochlear, hearing","Hypoglossal, movement of the tongue",E,
Which of the following is true about the development of the thyroid?,The thyroid is derived from pharyngeal arch 4,The thyroid is connected to the tongue by the thyroglossal duct which remains throughout life and can be detected in the adult,Neural crest cells of from Pharyngeal Pouch 4 migrate into the gland and give rise to the parafollicular (aka C-cells) of the thyroid,All of the above,,C,
What is the classification of the cleft lip shown in the photo?,Unilateral Complete,Unilateral Incomplete,Bilateral Complete,Bilateral Incomplete,,A,
What is the classification of the cleft palate shown in the figure?,Class I,Class II,Class III,Class IV,,C,
Identify the suture from the figure provided.,Metallic,Lambdoidal,Sagittal,Coronal,,D,
The FDA Pregnancy Drug Class that includes medications like Accutane and Coumadin that have been shown to be harmful in both animal and human studies with evidence-based human risk and risk that greatly outweighs any benefit during pregnancy is:,Class A,Class B,Class C,Class D,Class X,E,
"A patient presents to the office with an endodontic abscess requiring a root canal to be performed. Before the patient is referred to the endodontist for treatment, the patient requires a prescription for antibiotics. She is currently 24 weeks pregnant. Which of the following is an appropriate choice for this patient?",Macrolide's,Penicillins,Tetracyclines,Sulfonamides,,B,
What does not define fetal maturity?,32 weeks prenatal development,2500 grams,Adequate surfactant for independent respiration,All of the above define fetal maturity,,A,
Which of the following is true of supine hypertensive syndrome?,Affects pregnant women as the vena cava becomes compressed by the uterus,"Presents as an abrupt fall in blood pressure, bradycardia, nausea and sweating",Can be avoided by treating pregnant patients in a semi-supine position with a pillow under the right hip,All of the above,None of the above,D,
Identify the plane of reference shown in the figure.,Coronal section,Transverse section,Median section,Sagittal plane,Caudal end,A,images/gda-final-summer-2022/fig21.jpeg
Meckel's cartilage provides the model for which of the following structures?,Maxilla,Mandible,Medial Pterygoid,External auditory meatus,Temporal bone,B,
