title,DAO Midterm Exam (Summer 2018),dao,midterm,"1 question (listing the four structures of the periodontium) was a fill-in-the-blank question in the source, not multiple choice, so it was omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,correct,image
"If a permanent maxillary second molar has only three cusps, what are the three cusps called?","Distolingual, distobuccal, and buccal","Mesiobuccal, distobuccal, and lingual","Buccal, lingual, and distolingual","Mesiobuccal, distobuccal, and buccal",,B,
Mandibular molars are the widest teeth buccolingually.,True,False,,,,B,
Which statement is true regarding the proportions and shape of the crown of a permanent maxillary first molar?,The crown is wider occlusocervically than mesiodistally.,The crown is wedge shaped from the proximal view.,The crown is wider buccolingually than mesiodistally.,The crown is wider buccolingually in the distal half than in the mesial half.,The crown is longer occlusocervically on the distal half than in the mesial half.,C,
Which adult teeth most commonly fail to form?,Mandibular first premolars,Maxillary lateral incisors,Third molars (especially maxillary),Maxillary first premolars,Second molars,C,
Which tissue makes up the majority of the bulk of a tooth?,Lamina dura,Cementum,Pulp,Enamel,Dentin,E,
Which premolar (if any) is most likely to have three cusps: one buccal and two lingual?,No premolar is likely to have two lingual cusps and one buccal cusp.,Maxillary first premolar,Mandibular second premolar,Maxillary second premolar,Mandibular first premolar,C,
Which of the following best represents the order of emergence of the permanent teeth from earliest eruption to latest eruption (universal numbering system)?,"19, 5, 11, 8","19, 8, 5, 11","8, 19, 5, 11","8, 5, 19, 11",,B,
Which of these teeth is likely to form from four lobes?,Mandibular canine,Maxillary central incisor,Mandibular lateral incisor,Maxillary canine,All of these teeth form from four lobes.,E,
Which cusp is the largest and tallest cusp on permanent maxillary first molars?,Distolingual,Mesiolingual,Distal,Distobuccal,Mesiobuccal,B,
"On incisors, the number of lobes on the facial surface (which is the same as the number of mamelons on the incisal surface) is:",Five,One,Two,Three,Four,D,
Which permanent teeth are most likely to have three cusps and three roots?,Maxillary first molars (without a cusp of Carabelli),Mandibular first premolars,Maxillary second molars if you include the cusp of Carabelli,Mandibular second premolars,Maxillary second molars,E,
Which anterior tooth has a mesial cusp slope that is more nearly horizontal?,Mandibular lateral incisor,Mandibular central incisor,Mandibular canine,Maxillary canine,Maxillary central incisor,C,
What is the correct order of anatomic landmarks of a tooth with two roots beginning at the cementoenamel junction and moving toward the root tip?,"Trunk, cervix, furcation, apex","Trunk, furcation, cervix, apex","Furcation, trunk, cervix, apex","Cervix, trunk, furcation, apex","Cervix, trunk, apex, furcation",D,
A permanent maxillary first molar often has a fourth root canal that is most often located in:,The mesiobuccal root,A fourth root,The lingual root,The distobuccal root,,D,
"Which of the following roots is, on average, the longest?",Lingual root of a maxillary first molar,Lingual root of a maxillary second molar,Mesial root of a mandibular first molar,Root of a maxillary canine,Root of a mandibular canine,D,
Which of the following bumps or ridges is NOT likely to be found on a permanent mandibular first molar?,Mesial marginal ridge,Oblique ridge,Mesial cusp ridge of the distal cusp,Triangular ridge of the mesiolingual cusp,Transverse ridge,B,
"When holding both any maxillary and mandibular incisor, which characteristic is most likely to apply to the mandibular incisor but not the maxillary incisor?","From the incisal view, the labiolingual dimension is greater than the mesiodistal dimension on mandibular incisors.",The crown has lingual ridges and fossae that are more prominent on mandibular incisors.,The incisal edge is more likely to be labial to the midroot axis line on mandibular incisors.,The cingulum is off center toward the distal on mandibular incisors.,The root is more likely to be straight than bent to the distal on mandibular incisors.,A,
Which statement is true regarding all lateral incisors (maxillary and mandibular)?,Roots are slightly shorter than crowns.,"When viewed from the proximal (mesial or distal), facial outlines are S-shaped.","When viewed from the facial, the crown gets wider from the contact areas toward the cervical line.","When viewed from the facial, mesioincisal angles are more square than distoincisal angles.","When viewed from the facial, outlines are wedge shaped.",D,
"From the proximal view, which premolar most closely resembles a canine?",Maxillary second premolar,Mandibular first premolar,Mandibular second premolar,Maxillary first premolar,,B,
Which tooth has the shortest root relative to its crown?,Mandibular central incisor,Maxillary central incisor,Maxillary lateral incisor,Mandibular lateral incisor,,B,
Which tooth is not considered a succedaneus tooth?,11,24,19,28,,C,
"When compared to other premolars, which of the following characteristics is unique to a mandibular first premolar?",There is likely to be a mesiolingual groove crossing onto the mesiolingual surface.,The root is often bifurcated.,"The occlusal groove pattern is shaped like a ""Y.""",The lingual cusp is almost the same height as the facial cusp.,The distal cusp ridge is shorter than the mesial cusp ridge.,A,
A “+” groove pattern on the occlusal surface identifies the tooth as the:,Maxillary second permanent molar,Maxillary third permanent molar,Maxillary first permanent molar,Mandibular first permanent molar,Mandibular second permanent molar,E,
"When viewed from the buccal aspect, the mesial slope of the buccal cusp ridge of the maxillary second premolar is usually longer than the distal slope.",True,False,,,,B,
Which of the following premolars frequently has only one pulp horn?,Mandibular second,Maxillary first,Mandibular first,Maxillary second,,C,
"When referring to mandibular anterior tooth surfaces, what term may correctly be used to refer to a facial surface?",Lingual,Mesial,Labial,Buccal,Palatal,C,
What is the general guideline for the location of the height of contour (crest of curvature) on most anterior teeth?,The facial and lingual heights of contour are both in the incisal third.,The facial and lingual heights of contour are both in the middle third.,The facial height of contour is usually more cervical than the lingual contour.,The facial height of contour is usually more incisal than the lingual contour.,The facial and lingual heights of contour are both in the cervical third.,E,
"When holding any extracted permanent maxillary and mandibular molar from the same mouth, which trait (if any) can be used to distinguish a maxillary molar from a mandibular molar?",Maxillary molars tip considerably toward the lingual relative to the long axis of the root.,Maxillary molars have three roots.,The occlusal outline of a maxillary molar is wider mesiodistally than faciolingually.,Maxillary molars have more divergent roots (roots are more spread out) toward the apex.,None of these traits can correctly be used to distinguish maxillary molars from mandibular molars.,B,
Which trait describes a mandibular canine when compared to a maxillary canine?,The crown is wider mesiodistally on the mandibular canine compared to a maxillary canine.,Incisal wear (faceting) is usually located more lingually on the mandibular canine incisal edge.,The cusp angle (before wear) is more acute (sharper) on the mandibular canine.,The lingual ridge is more prominent on the mandibular canine.,The mesial crown outline is in line with the root on the mandibular canine.,E,
"When viewed from the buccal, the distal contact area of the permanent maxillary first molar is located approximately at the ____________ of the crown.",Junction of the occlusal and middle thirds,Cervical third,Junction of the middle and cervical thirds,Middle of the middle third,,D,
Which tooth (using the Universal numbers) is most likely to be the longest tooth in the mouth?,#14,#27,#8,#6,#9,D,
The lingual root of the permanent maxillary first molar frequently presents a distal curvature at the apical third of the root.,True,False,,,,B,
Which permanent molar is most likely to have five cusps and three roots?,Mandibular first molar,Mandibular second molar,Maxillary second molar,Maxillary first molar,,D,
"When the maxillary first premolar has more than one root, which description applies?",There are most often three roots: one facial and two lingual.,There are most often two roots: a mesial and a distal.,There are most often three roots: two facial and one lingual.,There are most often two roots: a facial and a lingual.,,D,
Which of the following characteristics is seen most of the time on ALL permanent incisors?,The root is longer than the crown.,Facial and lingual crests of curvature are located in the middle third.,The distoincisal angle is more acute (sharper) than the mesioincisal angle.,The crown is wider (in a mesiodistal dimension) than long (in an incisogingival dimension).,The proximal view is pentagon shaped.,A,
"Compared to permanent maxillary lateral incisors, maxillary central incisors are more likely to exhibit:",The cingulum positioned distally,An outline (from the incisal view) that is more round or oval as opposed to triangular,Deeper and smaller lingual fossae,Smaller crowns,Lingual pits,A,
"If two triangular ridges join, what is the entire ridge called?",Labial ridge,Marginal ridge,Cusp ridge (mesial or distal),Cervical ridge,Transverse ridge,E,
"Using the Federation Dentaire tooth numbering system, a French dentist identified tooth #12 as missing. What is the Universal number that would be used for identifying this tooth?",#7,#15,#10,#2,None of these answers is correct.,A,
The occlusal aspect of a permanent maxillary first molar contains two obtuse and two acute angles. The obtuse angles are:,Distofacial and distolingual,Mesiolingual and distolingual,Mesiofacial and distofacial,Mesiofacial and distolingual,Mesiolingual and distofacial,E,
Which premolar has two major cusps almost the same size and length?,Maxillary second premolar,Mandibular second premolar (two-cusp type),Maxillary first premolar,Mandibular second premolar (three-cusp type),Mandibular first premolar,A,
Which premolar has a nonfunctional lingual cusp?,Maxillary second premolar,Mandibular first premolar,Mandibular second premolar,Maxillary first premolar,,B,
Which (if any) of these teeth exhibit more cervical line curvature on the mesial aspect than on the distal aspect? There is one best answer.,Maxillary canine,Mandibular canine,"The maxillary central incisor, maxillary canine, and mandibular canine",Maxillary central incisor,None of these answers is correct.,D,
"When viewed from the proximal, the lingual crest of curvature (height of contour) for posterior teeth is most likely located in the ____________ third.",Cervical,Lingual,Incisal,Middle,Occlusal,D,
Which best describes the mesial incisal cusp ridge of a mandibular canine?,The mesial cusp ridge is almost horizontal.,The mesial cusp ridge is in alignment with the mesial root surface.,The mesial cusp ridge is almost vertical.,The mesial cusp ridge meets the distal cusp ridge to form a sharp cusp tip.,The mesial cusp ridge is longer than the distal ridge.,A,
The mandibular (glenoid) fossa is a feature of which bone?,parietal,maxilla,mandible,temporal,,D,
