title,GDA Midterm Exam (Summer 2022),gda,midterm,"One question has a duplicate answer choice in the original source (two options both read ""Incomplete bilateral"")."
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following is not a common symptom of COVID-19 in young children?,Fever,Cough,Pneumonia,Diarrhea,Vomiting,E,
Pregnant women are more at risk for contracting COVID-19 and have a higher morbidity rate that an individual that is not pregnant.,True,False,,,,B,
Which of the following do patients with spend bifida have an increased risk of allergy to?,Penicillin,Sulfa drugs,Ragweed,Latex,Peanuts,D,
At what week can the heartbeat begin to be detected on ultrasound?,Week 4,Week 5,Week 8,Week 12,Week 15,B,
The effects of Fetal Alcohol Syndrome are apparent in infants and toddlers and can continue to effect an individual into teenage and adult years.,True,False,,,,A,
Which of the following is not a sign of supine hypotensive disorder in pregnant women?,Tachycardia,Weakness,Nausea,Sweating,Drop in blood pressure,A,
Maternal exposure to harmful substances can affect the developing fetus during any trimester and is dependent on the critical period.,True,False,,,,A,
Growth in height is fastest in the spring.,True,False,,,,A,
Statement 1: Early childhood is defined by the eruption of the first primary teeth. Statement 2: Late childhood is the pre-pubertal period and is defined by significant motor development.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,A,
A patient in her second trimester presents to your office for a routine dental restoration. What is the best choice of local anesthetic for pregnant women that need to undergo routine dental procedures?,Articaine,Mepiviciane,Prilocaine,Lidocaine,,D,
Rubella is the leading cause of what development defect in the developed world?,Blindness,Muscular dystrophy,Attention Deficit Disorder,Congenital heart defects,None of the above,E,
The capability of a cell to give rise to several different kinds of specialized cells is known as:,Induction,Complexity,Critical period,Pluripotential,Repercussion,D,
Which of the following is NOT true about diagnostic radiation in relation to pregnant patients?,The FDA states diagnostic radiation is appropriate in pregnant patients and no changes need to be made to protocol.,Use of a lead apron with a thyroid collar is indicated.,The risk of birth defects from the radiation from one full mouth series (FMX) is 9 in 1 billion,It is important to communicate and educate expecting patients so that all parties feel comfortable with treatment options,All of the above statements were true.,E,
What FDA classification is given to drugs that have been proven to cause fetal abnormalities during development and the risk of use always outweighs any possible benefit?,Category A,Category B,Category C,Category D,Category X,E,
A 25 week pregnant patient presents to her obstetrician for examination three weeks follow-ing the death of her parent. The obstetrician is concerned with increased stress levels due to this traumatic event and the over-secretion of which is the following hormones?,Cortisone,Testosterone,Growth hormone,Secretin,Estrogen,A,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,C,
A patient presents to your practice 22 weeks pregnant and requires root canal. You plan to refer to her to your favorite endodontist. What is the appropriate medication for pain management of this patient until procedure can be completed?,Ibuprofen,Codeine,Aspirin,Toradol,Acetaminophen,E,
