title,Prosthodontic Review Final Exam (Summer 2020),prosthrev,
question,option_a,option_b,option_c,option_d,option_e,correct,image
Tooth structure loss limited to the mandibular molars in seen in which of the following types of erosion?,soda swishing,fruit mulling,GERD,sucking on fruit,,A,
Erosion of the facial surfaces of the maxillary anterior teeth is characteristic of ?,fruit mulling,GERD,sucking on citrus fruit,soda swishing,,C,
A dental lesion described as wedge or V shaped with sharp internal and external line angles is called?,abfraction,toothbrush abrasion,erosion,none of the answer choices,,A,
Mesial drift of the dentition seen in advanced tooth structure loss is caused by?,loss of interproximal tooth structure,periodontal disease,orthodontic relapse,none of the answer choices,,A,
Which of the following is not an advantage of an implant overdenture?,increased retention,increased stability,decreased occlusal efficiency,improved speech,,C,
Which of the following denture criteria are required when using an existing denture during the implant healing phase?,proper VDO,acceptable esthetics,adequate stability,all of the answer choices,,D,
When measuring for the proper locator abutment height the proper dimension is assessed by?,measuring the height of the existing healing abutment,measuring the height of the gingiva from the top of the implant to the top of the gingiva,measuring the height of the gingiva from the top of the implant to the top of the gingiva plus 1.5 mm,none of the answer choices,,B,
An overdenture can be supported by?,teeth,roots,implants,all of the answer choices,,D,
"During the wax try-in of the maxillary and mandibular complete denture tooth setup, you notice wrinkling at the corners of the mouth indicating the vertical dimension of occlusion is incorrect. How can you correct the deficiency?",increase VDO,decrease VDO,,,,A,
"During the wax try in visit, it was determined that the centric occlusion of the denture is incorrect. What is the best method of correcting for the error.",make intraoral adjustments,make a new facebow record,make a new centric relation record,None of the answer choices,,C,
The posterior palatal seal compensates for which process during the fabrication of the maxillary complete denture.,Poor impressions,Tissue displacement,Polymerization and cooling shrinkage of the acrylic,Expansion of the dental stone,,C,
The purpose of the preliminary impression includes all of the following except:,creates a preliminary cast,allows for the fabrication of a custom tray,provides a master cast,allows for overextended impression,,C,
What occlusal scheme is indicated in complete dentures?,group function,bilateral balanced occlusion,anterior guidance,mutually protected occlusion,,B,
The facial border of the maxillary anterior teeth is how many mm from the posterior border of the incisive papilla?,1-2 mm,4-5 mm,8-10 mm,12-14 mm,,C,
All of the following classify denture teeth based on cusp angle except?,monoplane,semi-anatomic,anatomic,morphologic,,D,
A shallow condylar guide angle and incisal angle requires a lower cusp angle tooth.,True,False,,,,A,
Centric occlusion may or may not coincide with the maximum intercuspal position ?,True,False,,,,A,
The anterior point of reference for the Hanau springbow facebow is the :,orbitale,nasion,glabella,modiolis,,A,
Centric relation is dependent on tooth contact.,True,False,,,,B,
The spherical theory of occlusion was described by:,Monson,Bonwill,Balkwill,Evans,,A,
A triple tray should never be used for a distal abutment.,True,False,,,,A,
Cementation of emax crowns is completed with ?,resin modified glass ionomer cement,resin cement,polycarboxylate cement (duralon),zinc oxide eugenol,,B,
All the following are examples of chemical reaction (irreversible) impression materials except:,agar,irreversible hydrocolloid,PVS,putty,,A,
Which of the following hemostatic agents is known for discoloration?,ferric sulfate,aluminum chloride,epinephrine,none of the answer choices,,A,
What is the minimum amount of gutta percha required to create an apical seal when preparing a post space?,3 mm,4 mm,5 mm,6 mm,,C,
What is the minimum root wall thickness required when preparing a post space?,1 mm,2 mm,3 mm,4 mm,,A,
Parapost drills can be used to gain length for the post space.,True,False,,,,B,
A cast post and core is indicated when there is less than what percentage of coronal tooth structure remaining?,10 %,25%,50%,70%,,B,
Mastication induces what kind of occlusal forces on dental implant restorations?,transverse,apical,sagital,none of the answer choices,,A,
Torque = Force x Distance,True,False,,,,A,
Implant crowns should have steep cuspal inclinations?,True,False,,,,B,
The minimum interocclusal space required for a cement-retained implant crown is:,4 mm,5 mm,6 mm,8 mm,,C,
Which of the following increase implant load?,cantilevers,excessive restoration height,cantilevers and excessive restoration height,none of the answer choices,,C,
What class of levers is an implant FPD involving posterior cantilevers ?,Class 1,Class 2,Class 3,Class 4,,A,
All of the following are advantages of splinting implant restorations except?,Increase AP spread,Decrease cement retention,Distribution of forces over a greater area,Decrease of screw fracture,,B,
The “All-on-4” concept is recommended for patients with the following?,pneumatized maxillary sinuses,significant tooth loss and caries,patient who cannot have conventionally (vertical) placed implants,all of the answer choices,,D,
Combination syndrome is characterized by maxillary anterior flabby ridge. This is likely due to which of the following?,U shaped ridge,V shaped ridge,Mandibular anterior teeth,Patient not removing dentures at night,Class II occlusion,C,
Clicking of the denture together is an indication of which of the following:,increased vertical dimension of occlusion,decreased vertical dimension of occlusion,,,,A,
Angular Cheilitis is seen in patients with,increased VDO,decreased VDO,,,,B,
The material of choice for post surgical denture relining is:,soft tissue reline (Coe Soft),tissue conditioner (Coe Comfort),hard reline (Coe-rect),all of the answer choices,,B,
