title,PCOD II Final Exam (Spring 2018),pcod2,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following are true of gold onlay preparations?,The cavosurface margins are always beveled,Internal line angles should be sharp,The occlusal reduction of the working cusp should be 2.0 mm,The buccal and lingual walls of the proximal boxes should be divergent,all of the above,E,
Fracture of an all-ceramic restoration due to fatigue can result from:,accidentally biting down on a hard olive pit,exceeding the compressive strength of the ceramic when trying-in or cementing the restoration,cyclic stress in function (chewing) over several years of time,all the above,none of the above,C,
A slot preparation for a Class II composite restoration should be used when:,decay is present only on the proximal surface (as seen radiographically),there is no radiographic evidence or clinical evidence of occlusal decay,there are no existing restorations on the occlusal surface touching the occlusal cavosurface margins of the slot preparation.,a and c only,all of the above,E,
The Class III facial approach preparation differs from the lingual approach in that:,the facial cavosurface margin is rectangular shaped,the facial cavosurface margin is not beveled,the lingual cavosurface margin always breaks contact,all of the above,none of the above,E,
Retention in a Class III facial approach is placed:,at the facial-lingual-axial point angle,at the gingival-axial line angle,at the buccal-axial line angle,a and b,all the above,D,
Calcium hydroxide liner (Dycal®) is used for which the following purposes?,Protects the pulp from chemical insult,Used for thermal protection of the pulp,Used as an antibacterial agent,a and c,all of the above,D,
A glass ionomer base is used for which of the following purposes?,Thermal insulator under composite restorations,Increases retention of composite restorations,Stimulates reparative dentin under metallic restorations,All of the above,None of the above,E,
"While removing decay from a large carious lesion in tooth #31, it is determined that the floor of the preparation is within 0.5 mm of the mesial pulp horn. Prior to placing an amalgam restoration, which of the following procedures should be performed?","Place (Dycal®) over the entire pulpal floor of the preparation, then place the amalgam","Place (Dycal®) over the mesial pulp horn area, then place the amalgam","Place glass ionomer base over the entire pulpal floor of the preparation, then place the amalgam","Place (Dycal®) over the mesial pulp horn area, place a thick layer of glass ionomer base to replace missing dentin, then place the amalgam","Place a thick layer glass ionomer base to replace missing dentin, then place the amalgam",D,
Which of the following is/are reasons for placing a bevel on the facial margin of an anterior composite restoration?,Provides additional retention,Decreases marginal leakage,Makes the transition from restoration to tooth less visually obvious,all of the above,none of the above,D,
IRM® is used for which of the following purposes?,Temporary intracoronal restorations.,Liner under composite restorations,Base in shallow amalgam preparations,all of the above,none of the above,A,
The ingredient of IRM® is that is responsible for its anodyne property is:,methylmethacrylate (MMA),eugenol,water,zinc acetate,none of the above,B,
