title,Endodontics Final Exam (Spring 2022),endo,final
question,option_a,option_b,option_c,option_d,correct,image
The most common diagnosis requiring antibiotic prescription is:,Acute apical abscess,Chronic apical abscess,Symptomatic apical periodontitis,Symptomatic irreversible pulpitis,A,
A patient presents with a periapical lesion that encompasses the apex of teeth #23-26. All four teeth test vital. It is likely that at least one of the four anterior teeth are the cause of the lesion:,True,False,,,B,
If you cannot visualize a periapical lesion on radiograph then the apical diagnosis cannot be symptomatic apical periodontitis:,True,False,,,B,
You are about to take the cone fit radiograph to confirm that your gutta percha cones are going down to working length. At this point it is advised to remove the rubber dam clamp to help get a more accurate radiograph:,True,False,,,B,
What irrigant is best used to remove old gutta percha when performing a retreatment of a previously treated root canal:,Chlorhexidine,Sodium hypochlorite,EDTA,Chloroform,D,
The irrigant of choice for smear layer removal is:,Chlorhexidine,Sodium hypochlorite,EDTA,Chloroform,C,
The one benefit that chlorhexidine has over sodium hypochlorite is tissue dissolving properties:,True,False,,,B,
The best way to ensure that a periapical lesion heals is to inject sodium hypochlorite as far down the canal as possible:,True,False,,,B,
"If you cannot fit a clamp on the tooth you will be treating endodontically, then you should avoid placing a rubber dam altogether as this will put the patient at an increased risk for aspiration of the clamp:",True,False,,,B,
Vital pulp therapy performed to allow continued physiological development and formation (closure) of a vital immature root. This defines:,Apexification,Apicoectomy,Palpectomy,Apexogenesis,D,
"A 34 year old female presents to your office will a traumatic pulpal exposure of tooth #10. She reports that she is in severe pain and has not slept for the last couple of nights. Upon clinical testing, you determine that the pulp is still vital, extremely tender to percussion and lingering to cold. The treatment of choice is:",Root canal therapy,Direct pulp cap,Indirect pulp cap,Partial pulpotomy,A,
"A 34 year old female presents to your office will a traumatic pulpal exposure of tooth #10. She reports that she is in severe pain and has not slept for the last couple of nights. Upon clinical testing, you determine that the pulp is still vital, extremely tender to percussion and lingering to cold. The proper diagnosis is:",Pulp necrosis with symptomatic apical periodontitis,Symptomatic irreversible pulpitis with symptomatic apical periodontitis,Symptomatic irreversible pulpitis with acute apical abscess,Pulp necrosis with chronic apical abscess,B,
The cause of invasive cervical root resorption is a root canal infection that has invaded the external component of the root:,True,False,,,B,
Dens in dente is most commonly found in:,Maxillary central incisor,Maxillary lateral incisor,Maxillary canine,Mandibular premolar,B,
Dens evaginatus is most commonly found in:,Maxillary premolar,Mandibular premolar,Mandibular incisor,Mandibular molar,B,
Dens evaginatus is also known as dens in dente:,True,False,,,B,
When irrigating the root canal it is best to wedge the irrigating needle into the canal as this will help facilitate getting the irrigant to the apical portion of the canal.,True.,False.,,,B,
If a patient reports that they have severe tooth pain which keeps them up at night it is best to prescribe and have them take an antibiotic in addition to root canal therapy.,True.,False.,,,B,
The pulpal and periapical diagnosis which can potentially have life threatening consequences is.,Pulp necrosis with symptomatic apical periodontitis.,Pulp necrosis with acute apical abscess,Symptomatic irreversible pulpitis with symptomatic apical periodontitis.,Pulp necrosis with chronic apical abscess.,B,
The most effective irrigant to remove bacterial biofilms from the root canal is:,Sodium hypochlorite,Calcium hydroxide,Chlorhexidine,EDTA.,A,
EDTA is the best irrigant to remove the organic portion of the smear layer.,True.,False.,,,B,
The preferred treatment for a tooth with a diagnosis of reversible pulpitis due to caries is root canal therapy.,True.,False.,,,B,
A patient presents with a sinus tract that traces to tooth #30. The assumed pulpal diagnosis is:,Pulp necrosis.,Symptomatic irreversible pulpitis.,Reversible pulpitis.,Inconclusive.,A,
The root apex of which tooth is closest to the inferior alveolar nerve?,Mandibular 1st molar,Mandibular 2nd molar,Mandibular 1st premolar,Maxillary 3rd molar,B,
The most common tooth to have c-shaped anatomy is:,Mandibular 1st molar,Mandibular 2nd molar,Maxillary 1st molar,Maxillary 2nd molar,B,
Mandibular central incisors have 1 canal about 90 percent of the time.,True,False,,,B,
The maxillary second premolar most often has a one very wide canal in the bucco-palatal dimension.,True,False,,,A,
"When accessing a lower molar, one of the guiding principles is to drill until you feel a drop, at which point you have probably entered the pulp chamber.",True,False,,,B,
There is a periapical lesion that encompasses the apices of teeth #23-26. It is very likely that all four lower anterior incisors will require endodontic treatment,True,False,,,B,
Tooth #12 is sensitive to percussion and tests non-vital. There is no periapical lesion that can be visualized on the radiograph. The diagnosis is:,Pulp necrosis with acute apical abscess,Pulp necrosis with symptomatic apical periodontitis,Pulp necrosis with normal apical tissues,Symptomatic irreversible pulpitis with symptomatic apical periodontitis,B,
