title,Fixed Prosthodontics Midterm Exam 4 (Fall 2017),fixedpros,midterm
question,option_a,option_b,option_c,option_d,option_e,correct,image
Repeated firing of porcelain when fabricating a PFMincreases the formation of:,Silicon Dioxide,Leucite,Sanidine,Feldspar,,C,
Which of the following is used to opaque porcelain:,Feldspar,Cerium Oxide,Hydroxyappatite,Tin Oxide,None of the above,D,
When firing porcelain the dimensional change duringSintering is:,10%,5%,25%,There is no dimensional change,,C,
Porcelain breaks during compression and not tension:,True,False,,,,B,
"When selecting a porcelain to be applied to a metalcoping during PFM fabrication, the MOST importantphysical property to consider is:",Melting temperature,Dimensional stability,Coefficient of Thermal Expansion,Brinell Hardness,,C,
Sanidine is a byproduct of:,Feldspar,Leucite,Cerium Oxide,Tin Oxide,,B,
Most ALL CERAMIC restorations require a more aggressive tooth preparation than required for a PFM:,True,False,,,,A,
Empress restorations are fabricated by a millingprocess:,True,False,,,,B,
The Moh's Scratch Harness Test says that tooth enamel is softer than Silicone Carbide stones:,True,False,,,,A,
"When fabricating a metal coping for a PFM, the placement of interproximal struts allows for maximum------------- of porcelain:",Flexure,Tension,Compression,Shear,,C,
The predominant component of dental porcelain isSilicone dioxide:,True,False,,,,A,
The temperature that begins the “glass phase” of porcelain fabrication is:,1800 degrees,1000 degrees,1200 degrees,None of the above,,C,
"Iron, Indium and Tin are used to form an oxide layer on a Base metal coping when fabricating a PFM:",True,False,,,,B,
The temperature reached for porcelain bonding to a metal coping is usually in the range of:,1200 degrees,2100 degrees,1800 degrees,None of the above,,C,
When fabricating a 6 unit fixed prosthesis from tooth6 to 11 and you are concerned about abrasion of the lower anterior teeth you would select All Ceramic crowns as the material of choice:,True,False,,,,B,
Dr. Goldfinger has had a great time presenting Introduction to Fixed Prosthodontics to the Class of 2020:,True,False,Who is Dr. Goldfinger,None of the above,"For those of you worried about getting this question right, the answer is a). Thank you ALL!!!!!",A,
