title,Oral Pathology Final Exam (Spring 2019),oralpath,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change in her mouth. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the most appropriate overall term for the abnormality identified in the clinical image?",LEUKOPLAKIA,,,,,,FILL,images/oralpath-final-spring-2019/fig1.jpeg
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the approximate size of the abnormality?",2.0 x 1.7 CM,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the location of the abnormality (oneword)?",TONGUE,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What side is the abnormality located on?",LEFT,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the first entity on your differential diagnosis?",EPITHELIAL DYSPLASIA|HYPERKERATOSIS|SQUAMOUS CELL CARCINOMA,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the second entity on your differential diagnosis?",EPITHELIAL DYSPLASIA|HYPERKERATOSIS|SQUAMOUS CELL CARCINOMA,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the third entity on your differential diagnosis?",EPITHELIAL DYSPLASIA|HYPERKERATOSIS|SQUAMOUS CELL CARCINOMA,,,,,,FILL,
"See attached image. Intro: A female of 86-years presents to your practice for evaluation of a change to her tongue. HPI: She reports it was recently identified and is non-painful. MedHx: Ovarian cancer in 1995 managed by surgery and chemotherapy, anxiety disorder and chronic obstructive pulmonary disease (emphysema). Meds: Atorvastatin, alprazolam, nortriptyline, azithromycin, ethambutol and rifampin and calcium. Allergies: Denies. SocHx: Denies tobacco, occasional wine. Physical Exam: Vitals: BP: 116/82 HR: 78 Resp: 15/min Question: What is the most appropriate next step?",BIOPSY,,,,,,FILL,
"See attached image. Intro: A male of 30-years presents to your practice for the evaluation of a bump. HPI: The bump developed up about three weeks prior. He reported no pain and mentioned that his removable orthodontic retainer contacts the tissue in the area when inserted. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies tobacco. Occasional marijuana. Occasional beer, wine or mixed drinks. Physical Exam: Vitals: BP: 110/74 HR: 72 Resp: 14/min Question: What is the most appropriate overall term for the abnormality identified in the clinical image?",NODULE,,,,,,FILL,
"See attached image. Intro: A male of 30-years presents to your practice for the evaluation of a bump. HPI: The bump developed up about three weeks prior. He reported no pain and mentioned that his removable orthodontic retainer contacts the tissue in the area when inserted. MedHx: Denies. Meds: Denies. Allergies: Denies. SocHx: Denies tobacco. Occasional marijuana. Occasional beer, wine or mixed drinks. Physical Exam: Vitals: BP: 110/74 HR: 72 Resp: 14/min Question: What is the approximate size of the abnormality?",0.7 x 0.7 CM,,,,,,FILL,
