title,Pain & Anxiety Control Final Exam (Spring 2018),painanx,final
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following routes of administration exhibits the slowest rate of absorption?,Oral,Sublingual,Subcutaneous,Intramuscular,,,A,
"A drug induced depression of consciousness during which patients respond purposefully to verbal commands, either alone or accompanied by light tactile stimulation. No interventions are required to maintain a patent airway, and spontaneous ventilation is adequate. This is defining which of the following?",Minimal Sedation,Moderate Sedation,Deep Sedation,General Anesthesia,,,B,
"Sedation is a continuum; therefore, practitioners administering moderate sedation should be able to rescue a patient who enters deep sedation.",True,False,,,,,A,
Relief of anxiety through the dentist's behavior and communication is a form of which one of the following?,Iatrosedation,Hypnosis,Biofeedback,All of the above,,,A,
"All of the following are examples of parenteral drug administration, EXCEPT:",Intramuscular,Subcutaneous,Intravenous,Intranasal,Rectal,,E,
"All of the following are advantages of oral drug administration, EXCEPT:",Ease of Administration,Relative Safety,Nearly universal acceptance,Prolonged duration of action,,,D,
Which of the following routes of drug administration undergo the hepatic first-pass effect?,Sublingual,Intravenous,Transdermal,Intranasal,None of the above,,E,
Midazolam can be administered intranasally to the pediatric patient for sedation purposes.,True,False,,,,,A,
"Standard II in the basics for anesthetic monitoring, require continual evaluation of all of the following, EXCEPT",Oxygenation,Ventilation,Circulation,Temperature,Pupillary response,,E,
This image is a depiction of:,Capnography,Pulse Oximetry,Colorimetry,Oxygen Hemoglobin Dissociation Curve,,,A,
The carotid artery is the most frequently used for palpation of the pulse in all situations.,True,False,,,,,B,
A blood pressure cuff that is too tight will result in a blood pressure read that is:,Too high,Too low,"Accurate, it doesn't matter the size of the cuff, the monitor will adjust accordingly","Accurate, it doesn't matter the size of the cuff, the cuff pressure will adjust accordingly",,,A,
The first korotkoff sound represents diastolic pressure.,True,False,,,,,B,
Which of the following represents the correct color lead placement?,"A = white, B = Black; C = Red",A = Black; B = White; C = Red,A = Red; B = Black; C = White,None of the listed options are correct,,,A,
Respiratory arrest usually appears before cardiac arrest.,True,False,,,,,A,
"All of the following are ways to monitor respirations in your patients, EXCEPT",Observe chest wall motion,Observe color of mucous membranes of the oral mucosa and fingernail beds.,Observe inflation and deflation of the reservoir bag,Covering your patient's mouth with your hand,,,D,
"When you hear a high pitch crowing sound from your sedated patient, what are you assuming is the probable cause?",Laryngospasm,Bronchospasm,Hypopharyngeal Obstruction,Foreign Matter,,,A,
The toxic impurity that can be found in nitrous oxide gas is:,Ozone,Helium,Methane,Nitric oxide,Cyclopropane,,D,
Nitrous is measured as a gas under pressure in cylinders. Oxygen is measured as a gas under pressure in cylinders.,The first statement is false; the second statement is true,The first statement is true; the second statement is false,Both statements are true,Both statements are false,,,A,
Nitrous is relatively insoluble in the blood. Gases with low blood solubility require longer periods of time for onset of action.,The first statement is false; the second statement is true,The first statement is true; the second statement is false,Both statements are true,Both statements are false,,,B,
A full E tank of oxygen has how many liters of O2?,660L,2200L,750L,1600L,,,A,
What is the maximum exposure limit of Nitrous oxide for personnel in the dental setting according to OSHA and NIOSH?,25ppm,50ppm,75ppm,100ppm,,,B,
Excessive Nitrous oxide exposure can cause which of the following?,Leukopenia,A reduction in megaloblastic erythropoiesis resembling pernicious anemia,Myeloneuropathies,All of the above,None of the above,,D,
Please indicate the blade type; what hand this device is held in; where it is positioned?,Macintosh Blade; Left Hand; Tip of blade inserted into the vallecula,Macintosh Blade; Right Hand; Blade placed beneath the epiglottis,Miller Blade; Right Hand; Tip of blade inserted into the vallecula,Miller Blade; Left Hand; Blade placed beneath the epiglottis,,,A,
The purpose of the nasopharyngeal airway and oral pharyngeal airways is to displace the tongue from the pharynx and permit the patient to exchange air around or through the airway.The oral pharyngeal airway is better tolerated than a nasopharyngeal airway by the conscious patient.,The first statement is true; the second statement is false,The first statement is true; the second statement is true,The first statement is false; the second statement is false,The first statement is false; the second statement is true,,,A,
Which of the following is a triggering agent for Malignant Hyperthermia?,Succinylcholine,Nitrous Oxide,Fentanyl,Propofol,Midazolam,,A,
What stage of anesthesia do most complications occur?,Stage I,Stage II,Stage III,Stage IV,,,B,
Which of the following are contraindications to IV Moderate Sedation?,Patients younger than 16,Elderly debilitated patients,Pregnancy,BMI >40,All of the above,None of the above,E,
An 8 month old patient presents for surgery under anesthesia at the hospital. The mother states that she breastfed her infant 5 hours ago. You are the anesthesiologist in this case. Do you tell the surgeon you can continue with the case or do you explain to the surgeon that the case needs to be rescheduled due to failure of NPO guidelines?,"The case can continue as scheduled, NPO guidelines were properly followed",The case can continue with a 1 hour delay to meet NPO guidelines,,,,,A,
Anxiolytic properties of benzodiazepines are mediated by increased excitatory nerve transmissions.,True,False,,,,,B,
"Intravenous benzodiazepines do all of the following, EXCEPT:",Attenuate the emotional response to pain by acting on the limbic system,Produce anterograde amnesia,Provide anxiolysis,Provide analgesia,,,D,
What ingredient in diazepam and other agents causes the burning sensation on injection?,Propylene glycol,Ethyl alcohol,Benzoic acid,Benzyl alcohol,,,A,
You are the anesthesiologist in an intravenous moderate sedation case and you have administered IV Midazolam to your patient. The surgery is complete and your patient still seems to be overly sedated and their respiratory drive is significantly decreased. You believe you need to provide them with an antagonist to reverse the effects of the Midazolam. What medication will you choose and at what initial dosage?,Flumazenil; 0.2mg IV,Naloxone; 0.2mg IV,Flumazenil; 0.1mg IV,Naloxone; 0.1mg IV,,,A,
A benefit to administering Propofol during anesthesia cases is that it decreases the nausea and vomiting that can be typically increased from other IV sedation drugs.,True,False,,,,,A,
Which anticholinergic has the greatest effect on decreasing salivary secretions when given intravenously?,Atropine,Scopolamine,Glycopyrrolate,All of the above have equal effects on salivation,,,B,
"An anesthesiologist has given a patient an intramuscular injection of a sedative medication. As the oral surgeon in the case, you walk into the room and notice the patient still has their eyes open and has nystagmus. Which medication did the anesthesiologist likely give the patient?",Ketamine,Midazolam,Diazepam,Promethazine,,,A,
"According to the most recent studies, which of the following behavioral guidance techniques had the greatest parental acceptance?",Nitrous Oxide/Oxygen,Tell-Show-Do,Hand Over Mouth,General Anesthesia,,,B,
Behavior ___ is the phrase currently used to describe the process of leading a child through a dental appointment.,guidance,management,modification,justification,,,A,
"According to the Frankl behavioral rating scale, a child who demonstrates acceptance of treatment; cautious behavior at times; willingness to comply with the dentist, at times with reservation, but patient follows the dentist's directions cooperatively, would merit the rating of ___.",1,2,3,4,,,C,
Recommendations for communicating with children include avoiding:,eye contact,use of euphemisms,"sending ""you"" messages",use of loud commands as needed,,,C,
An uncooperative child responds more positively to being physically restrained by a parent or staff member than to protective stabilization. The preceding statement is true or false:,True,False,,,,,B,
The age at which most children are capable of sitting alone in a dental chair is:,3 years,5 years,7 years,1 year,,,A,
"Sally, an 8 year old female, broke her arm a few years ago and went to the emergency room to have it dealt with. Sally is now fearful of anyone wearing a white lab coat. Sally is experiencing a(n) _____ fear.",subjective,objective,,,,,A,
What is the minimum concentration of O2 that can be delivered via the Nitrous Oxide - Oxygen delivery system?,10%,30%,50%,70%,,,B,
What color is the Oxygen e-cylinder tank?,blue,orange,green,red,,,C,
"PATIENT #1: A 26 year old male in acute pain has a pericoronitis on a partially bony impacted #17. You conclude that the correct treatment is surgical removal of #17. He weighs approximately 150 lbs (70 kg). You perform an inferior alveolar nerve block with lingual nerve block using one cartridge of 0.5% Bupivacaine w Epi 1:200,000. You perform a buccal nerve block with half of a cartridge and to make certain that the patient is numb, you infiltrate local anesthesia around the surgical site using the remaining half of the cartridge. You have injected a total of 2 cartridges to this point. You wait 5 minutes and the patient indicates that his lower left lip feels numb. What dose of the local anesthetic solution have you administered?",Bupivacaine 9 mg with Epinephrine 0.009 mg,Bupivacaine 36 mg with Epinephrine 0.018 mg,Bupivacaine 18 mg with Epinephrine 0.018 mg,Bupivacaine 72 mg with Epinephrine 0.036 mg,,,C,
"PATIENT #1: A 26 year old male in acute pain has a pericoronitis on a partially bony impacted #17. You conclude that the correct treatment is surgical removal of #17. He weighs approximately 150 lbs (70 kg). You perform an inferior alveolar nerve block with lingual nerve block using one cartridge of 0.5% Bupivacaine w Epi 1:200,000. You perform a buccal nerve block with half of a cartridge and to make certain that the patient is numb, you infiltrate local anesthesia around the surgical site using the remaining half of the cartridge. You have injected a total of 2 cartridges to this point. You wait 5 minutes and the patient indicates that his lower left lip feels numb. What is the maximum recommended dose of local anesthetic that you can administer to this patient?",Bupivacaine 360 mg,Bupivacaine 180 mg,Bupivacaine 450 mg,Bupivacaine 90 mg,,,D,
"PATIENT #1: A 26 year old male in acute pain has a pericoronitis on a partially bony impacted #17. You conclude that the correct treatment is surgical removal of #17. He weighs approximately 150 lbs (70 kg). You perform an inferior alveolar nerve block with lingual nerve block using one cartridge of 0.5% Bupivacaine w Epi 1:200,000. You perform a buccal nerve block with half of a cartridge and to make certain that the patient is numb, you infiltrate local anesthesia around the surgical site using the remaining half of the cartridge. You have injected a total of 2 cartridges to this point. You wait 5 minutes and the patient indicates that his lower left lip feels numb. You proceed to remove the impacted lower left third molar. You notice that tooth #16 is hyper-erupted and is traumatizing the pericoronal soft tissues overlying the lower left third molar. You inform the patient that extraction of #16 is recommended, and you obtain informed consent to perform this surgery. The patient indicates that he is getting very nervous and requests something to ease his stress. He agrees with your suggestion to use “laughing gas,” Nitrous Oxide/Oxygen inhalation sedation. What concentration of N20/02 will be needed to help alleviate this patient's anxiety?","There is no set concentration to achieve stress reduction, as it is different for each patient and must be titrated according to the patient's response",30% Nitrous Oxide with 70% Oxygen,40% Nitrous Oxide with 60% Oxygen,50% Nitrous Oxide with 50% Oxygen,60% Nitrous Oxide with 40% Oxygen,,A,
