title,Pain & Anxiety Control Midterm Exam (Spring 2018),painanx,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Traumatic dental experiences early in life are common in patients who have severe fear and anxiety in the dental setting.,True,False,,,,,A,
A unique aspect of local anesthetic drugs used in dentistry is which one of the following:,The peak desired effect is one hour after administration when levels in the central nervous system are high,Local anesthetics are commonly used to control allergic reactions,The desired effect occurs when peak levels are present in the systemic circulation,The blockage of nerve conduction is most effective immediately after the injection and prior to absorption into the systemic circulation.,,,D,
"Inadequate local anesthesia when performing dentistry can lead to ALL of the following: unfavorable pain behavior, poor quality dentistry, a dental phobic patient, increased stress for the dentist, reduced chance of having a successful dental practice if it occurs frequently.",True,False,,,,,A,
Sensory input from the trigeminal nerve synapses in what portion of the brain stem?,Nucleus Caudalis,Reticular formation,Hypothalamus,Ventral anterior nucleus,,,A,
The greatest anatomic barriers to diffusion of substance through the peripheral nerve are,Epineural sheath,Endoneurium,Perineurium,Periosteum,,,C,
The main mechanism of action of local anesthetic drugs is,Blocking the sodium potassium pump,Increasing permeability of potassium across the axon membrane,Blocking of sodium channels,Blocking potassium channel,,,C,
Which one of the following factors does NOT affect the onset of local anesthesia action,The addition of Epinephrine to the local anesthetic requiring Sodium Bisulfite as an anti-oxidant,The pH of the tissues,The pKa of the local anesthetic,Gastro-esophageal reflux disease,,,D,
A 23 year old female requires removal of an impacted maxillary left third molar with a localized pericoronal infection. You provide nitrous oxide/oxygen inhalation sedation at 35% and then administer a left posterior superior alveolar nerve block injecting 36 mg Lidocaine with Epinephrine 0.018 mg. Within 5 minutes you notice that the patient has significant left sided facial swelling from the left temporal region superiorly to the left cheek. The most likely diagnosis is:,Spread of infection to the infratemporal space,Trauma to the lateral pterygoid muscle,Hematoma from trauma to the pterygoid venous plexus,Laceration of the inferior alveolar artery,,,C,
A 23 year old female requires removal of an impacted maxillary left third molar with a localized pericoronal infection. You provide nitrous oxide/oxygen inhalation sedation at 35% and then administer a left posterior superior alveolar nerve block injecting 36 mg Lidocaine with Epinephrine 0.018 mg. Within 5 minutes you notice that the patient has significant left sided facial swelling from the left temporal region superiorly to the left cheek. The correct treatment for this complication is:,"Rapidly complete extraction, provide ice and pressure to the site of swelling for 24 hours, and prescribe Amoxicillin 500 mg three times per day.",Abort the procedure and place the patient on Amoxicillin 500 mg three times per day.,Abort the procedure and place hot compresses to the area of swelling,"Rapidly complete the extraction, inject three more cartridges of 2% Lidocaine with Epinephrine 1:100, 000 to cause vasoconstriction in the region and prescribe a steroid medication to reduce the swelling.",,,A,
"A 23 year old female requires removal of an impacted maxillary left third molar with a localized pericoronal infection. You provide nitrous oxide/oxygen inhalation sedation at 35% and then administer a left posterior superior alveolar nerve block injecting 36 mg Lidocaine with Epinephrine 0.018 mg. Within 5 minutes you notice that the patient has significant left sided facial swelling from the left temporal region superiorly to the left cheek. The above patient returns to your office in 48 hours with a fever, severe trismus, increased pain and a swelling of the left cheek that is twice the size as it had been when you initially noticed the swelling two days ago. The most likely diagnosis is:",Ecchymosis,Infection,Trauma to the lateral pterygoid muscle,Temporomandibular joint inflammation,,,B,
"A 23 year old female requires removal of an impacted maxillary left third molar with a localized pericoronal infection. You provide nitrous oxide/oxygen inhalation sedation at 35% and then administer a left posterior superior alveolar nerve block injecting 36 mg Lidocaine with Epinephrine 0.018 mg. Within 5 minutes you notice that the patient has significant left sided facial swelling from the left temporal region superiorly to the left cheek. After 10 days on the appropriate treatment, the patient described above has no more swelling or pain, but has persistent trismus. Which ONE of the following is NOT AN APPROPRIATE management option?",Heat to muscles,Non-steroidal anti-inflammatory drugs,Muscle relaxants,A seven day course of antibiotics and narcotic analgesic medications,Passive jaw exercises,Follow the patient weekly and measure their interincisal opening distance to determine if there is progress,D,
Which of the following patients is most likely to develop ecchymosis following a dental injection?,A 25 year old female athlete who works out every day at the gym.,A 46 year old female with obesity and adult onset diabetes.,A 93 year old male with hypertension and dementia,A 50 year old male with atrial fibrillation on Coumadin 5 mg daily,,,D,
Trismus occurring 12-24 hours following an inferior alveolar nerve block is most likely due to,Trauma to the masseter muscle,Trauma to the medial pterygoid muscle,Trauma to the pterygoid plexus of veins,Trauma to the temporalis muscle,,,B,
A deep space infection from inoculation with an infected dental needle can potentially result in airway obstruction and death,True,False,,,,,A,
Which one of the following is NOT a risk factor for needle breakage?,Bending the needle,Changing direction while the needle deeply in the tissue,Multiple injections with the same needle,Aspiration prior to delivering an inferior alveolar nerve block,,,D,
Proper management of a broken needle following an inferior alveolar nerve block includes which of the following?,"Freeze, make certain patient is still and cooperative, make an incision into the area to try to localize and retrieve the needle","Freeze, make certain patient is still and cooperative, attempt to remove the needle tip (if visible) with hemostat, continue to attempt to remove the broken fragment until successful.","Freeze, make certain patient is still and cooperative, attempt to remove the needle tip (if visible) with hemostat, if unsuccessful after a few attempts, refer to oral &maxillofacial surgeon.",Obtain CT scan to localize the needle and then have the patient come back to your office the next day for surgical removal.,,,C,
Which of the following scenarios is most likely to result in facial nerve paralysis following a dental injection?,Performing an inferior alveolar nerve block and you do not feel the tip of the needle touch bone from the medial aspect of the mandible,Performing a posterior superior nerve block and the needle goes into tissue up to the hub,Performing a V2 nerve block through the greater palatine foramen.,Performing an inferior alveolar nerve block and you feel the needle touch the medial aspect of the mandible with only half of the length of the needle in tissue.,,,A,
Which of the following is the proper management of the patient who sustains a facial nerve paralysis immediately following a dental injection?,Reassure the patient and protect the cornea with an eye patch,Place patient on anti-viral medication and steroids,Inject 2% Lidocaine to cause vasodilation into the area,Refer the patient to a neurologist for diagnosis and management,,,A,
Which local anesthetic injection results in facial nerve paralysis most of the time?,Bilateral mental nerve blocks for deep scaling and root planing of the mandibular anterior teeth,Inferior alveolar nerve block for extraction of an impacted mandibular third molar,Posterior superior nerve block for removal of an impacted maxillary third molar,Auriculotemporal nerve block for temporomandibular joint procedures,,,D,
Which of the following local anesthetics have been associated with neurotoxicity and paresthesia?,4% Articaine and 2% Lidocaine,4% Prilocaine and 3% Mepivacaine,4% Articaine and 4% Prilocaine,0.5% Bupivacaine and 4% Articaine,,,C,
