title,Removable Prosthodontics Final Exam (Spring 2023),rempros,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Where should the apex of an occlusal rest be?,Must be placed more coronally than the base,Must be placed more apically than the base,Must be placed at the same level than the base,Must be placed parallel to the base,,B,
What should the depth of the preparation for a cingulum rest seat be?,1.0 mm,1.5 mm,2.0 mm,4.0 mm,,A,
The clearance for an occlusal rest seat preparation (with opposing tooth) should be?,3.0 mm,1.5 mm,2.0 mm,4.0 mm,,B,
The channel should have a margin and be __mm in width.,1.0 mm,1.5 mm,2.0 mm,4.0 mm,,C,
The ______ is prepared on the tooth so that it is parallel to the path of draw set _______.,Guide plate/ by surveying the cast,Guide plane/ by guide plates,Guide plane/ by surveying the cast,Guide plate/ by guide plates,,C,
The extension of the guide plane laterally should not extend to the proximal line angles.,True,False,,,,A,
On anterior teeth the guide plane is prepared ______ to the contact areas.,Superior,Inferior,Lingual,Facial,,C,
"______clasps are designed to keep a RPD in position, while ______ clasps are intended to brace abutment teeth upon insertion and removal of the prosthesis.",Reciprocal/ Reciprocal,Reciprocal/ Retentive,Retentive / Reciprocal,Retentive/ Retentive,,C,
A ________ displays limited resistance to flexing.,Complete Palate,Horseshoe Connector,Anteroposterior palatal strap,A &C,,B,
"In an anteroposterior palatal strap major connector, the dimension of each strap should be at least ____ in width and relatively thin in cross section.",4 mm,6mm,6mm,8mm,,D,
"To accommodate a lingual bar, at least ____ of vertical space must be present between the gingival margins of the teeth and the floor of the mouth.",4 mm,6 mm,8 mm,10 mm,,C,
Which of the following are disadvantages of a thermoplastic prosthesis?,Pink acrylic shade,Soft tissue impingement,Unable to reline,B &C,All of the above,D,
In the image shown below which of the following is being depicted?,Undercut gauge 0.01,Undercut gauge 0.02,Undercut gauge 0.03,Undercut gauge 0.04,,B,images/rempros-final-spring-2023/fig13.png
A second-class lever action exists in:,Kennedy class I,Kennedy class II,Kennedy class III,Kennedy class IV,,A,
The location of the undercut is the single most important factor in the selection of a clasp.,True,False,,,,A,
An RPD interocclusal record is made:,Before verifying the framework,Before making the final impression,After verifying the framework,After making the preliminary impression,,C,
What is the purpose of surveying?,To select the retentive area,To select the buccal corridors,To select a path of insertion,A &C,All of the above,D,
In the image shown below which of the following is being depicted?,Carbon marker,Analyzing rod,Undercut gauge 0.01,Wax knife,,B,images/rempros-final-spring-2023/fig18.jpeg
In the image shown below which of the following is being depicted?,Post,Analog,Locator Abutment,Metal Housing,,C,images/rempros-final-spring-2023/fig19.jpeg
Lack of reciprocation of a removable partial denture (RPD) clasp is likely to cause ____.,Tissue recession,Fracture of the rest,Fracture of the retentive clasp,Abutment tooth displacement during removal and insertion,,D,
