title,Ethics Final Exam (Summer 2023),ethics,
question,option_a,option_b,option_c,option_d,option_e,correct,image
Which of the following statements about the American Dental Association Principles of Ethics and Code of Professional Conduct is TRUE?,"Since the basic principles of ethics were already established when this document was first written, it has not required updating.",American Dental Association members are not bound to abide by these principles and Code.,It clearly states which ethical principles take priority over other ethical principles.,Dental students do not have to be concerned with these principles until after they have graduated from dental school and are becoming licensed to practice dentistry.,Ethical obligations discussed in this document often exceed legal duties.,E,
Which of the following duties describes the principle of BENEFICENCE?,Duty to respect patient's rights to self-determination and confidentiality.,Duty to do no harm.,Duty to act for the good of others.,Duty to treat people fairly.,Duty to be honest and trustworthy.,C,
The principle of JUSTICE applies to the way a dentist treats:,Their patients.,Their colleagues.,Society.,All of the above.,None of the above.,D,
Consider the following scenario: A dentist who is beloved in a community died weeks after selling his practice to a new dentist. The original dentist planned on working for the new dentist for five years to help transition the practice and help the new dentist become successful. The new dentist then kept the name of the original dentist on the practice for 5 years. Which of the following statements is TRUE?,This is consistent with ethical principles as described in the ADA Code.,This is a violation of the principle of veracity.,This is a violation of the principle of autonomy.,This is not an issue that the ADA Code covers.,None of these statements is TRUE.,B,
Consider the following scenario: A patient requests a treatment that their dentist believes is malpractice. The dentist refuses to perform the treatment. The patient tells the dentist that they want the procedure anyway and that they will sign a waiver that they will not hold the dentist responsible if the procedure does not work out favorably. The dentist still refuses to perform the procedure. Which of the following statements is TRUE?,The dentist is obligated to perform the procedure because refusing to do so violates patient autonomy.,"If the dentist refuses to do the procedure, this is consistent with the ethical principle of non-maleficence.",Only one ethical principle can apply to any specific situation.,Consideration of any of the ethical principles will result in the same decision by the dentist.,"In general, when making a decision regarding a given situation, consideration of the issue from either a legal or ethical standpoint will always result in the same decision.",B,
Dental educators have a responsibility to,Patients of the school.,Students of the school.,The public at large.,All of the groups mentioned here.,None of the groups mentioned here.,D,
"Consider the following scenario: A patient presents with an infection. You tell them that they need to take antibiotics for one week. They tell you they do not have insurance and ask you to write the prescription in their son's name as he has insurance. If you do not write the prescription for their son, they will not be able to get the needed medication. Which of the following statements is FALSE?",Writing the prescription in their son's name is illegal as it is a form of insurance fraud.,Writing the prescription in their son's name is a violation of the ethical principle of veracity.,It could be argued that writing the prescription in their son's name would adhere to the principle of beneficence.,NONE of these statements is FALSE.,,D,
Which of the following statements is FALSE?,Addiction can be considered a chronic disease.,One of the factors contributing to the risk of drug addiction for health care providers is the ready availability of drugs with a potential for abuse.,Alcoholism has a genetic component.,One of the factors contributing to the risk of drug addiction for health care providers is the mistaken belief that pharmacological knowledge will enable control of substance usage.,Health care providers are not at risk for drug addiction.,E,
The increase in drug overdose deaths following the onset and spread of Covid may be attributed to which of the following factors?,No live Alcoholic Anonymous or Narcotic Anonymous recovery meetings.,Reduced population in treatment centers due to social distancing.,Social isolation of people.,Limited referrals for treatment,All of the above.,E,
Which of the following is NOT an accurate recommendation that dentists should follow when considering prescribing opioids?,The initial prescription should be limited to no more than a ten-day supply.,Patients should be evaluated if they are requesting opioids for moderate to severe pain three days. After a routine procedure.,NSAIDs such as ibuprofen should be prescribed as first-line pain medication.,Opioids should not be prescribed for patients taking benzodiazepines such as Xanax to prevent respiratory depression.,Narcotics can only be prescribed for patients of record.,A,
Which of the following statements is FALSE?,Opioids should never be prescribed for patients with a history of substance abuse.,If a patient with a history of substance abuse requires opioids the medication should be given to a “trusted other”.,"If a patient with a history of substance abuse requires opioids, this should be coordinated with the patient's physician.","Whenever possible, definitive dental procedures should be performed to eliminate or reduce pain and the need for pain medications.",Long-acting local anesthetics may be used to eliminate or reduce pain and the need for pain medications.,A,
Which of the following statements regarding treating patients who are high is TRUE?,They are not able give legally adequate informed consent.,Provision of true emergency treatment is allowed if necessary.,They may not be capable of complying with treatment and post-op instructions.,Narcan (naloxone) should be on hand in case of overdose.,ALL of these statements are TRUE.,E,
Which of the following statements regarding the TCDM Honor Code is FALSE?,Violations of this Code may lead to disciplinary action including dismissal from TCDM.,Lack of awareness or understanding of a violated principle is not an acceptable excuse for having committed the violation.,"According to the Code, students must act respectfully during interactions with patients, staff, faculty, and peers.","Students acknowledge that while in public, they represent the dental profession, TCDM, and the TCUS and will conduct themselves in a responsible manner.",NONE of these statements is FALSE.,E,
Which of the following actions is NOT considered cheating?,Delaying scheduling of a procedure for a patient because you need to do that procedure for an examination in the future.,Collecting and storing extra materials that you may need for a simulation lab exercise because you heard that they ran out of these materials last year.,"Collecting and storing extra materials that you may need for a clinic procedure on one of your patients, because you heard that they ran out of these materials last year.",Performing a more extensive clinical procedure than necessary because you need to do that procedure to meet your requirements.,ALL of these actions are considered cheating.,E,
Which of the following statements regarding the TCDM Faculty Code of Conduct is FALSE?,Faculty is required to model ethical behavior.,Faculty is required to foster access to quality care for all and promote sound public health and primary prevention measures.,Faculty is required to place student education ahead of patient care.,Faculty is required to maintain confidentiality of a student's disclosures.,None of these statements is FALSE.,C,
Consider the following steps that can be used in the ethical decision-making process: I. Identify any missing information that it may be helpful to have. II. Rank the potential options. III. Confer/agree on the facts the case. IV. Identify all possible options. V. Identify which ethical principles apply to each option. VI. Choose the option to be taken. VII. Apply the judgement of others. What is the best order for using these steps?,"III, I, IV, V, VII, II, VI.","IV, III, I, V, VII, II, VI.","IV, V, VII, II, III, I, VI.","III, I, V, VII, II, IV, VI.",,A,
Which of the following actions taken by a dentist do not uphold patient AUTONOMY?,A dentist must provide a patient with a copy of their records when the patient requests these records.,A dentist must maintain their patients' confidentiality.,A dentist must obtain a patient's consent prior to performing a procedure.,A dentist may perform an action that benefits the public rather than an individual patient during a time of public emergency.,A dentist may not refuse a patient's request for their records because the patient owes the dentist money.,D,
Which of the following actions are most consistent with the ethical principle of JUSTICE?,A dentist reports gross or continual faulty treatment by another dentist.,A dentist advertises that he is “The best dentist West of the Mississippi”.,"A dentist claims that he can perform a treatment that will cure an illness, although this has not been substantiated.",A dentist claims that they have been board certified by a non-accredited specialty board.,,A,
Dr. Etienne spoke about how the estimates for GFR (Glomerular Filtration Rate) were calculated differently for African Americans than white Americans. Which of the following did NOT result from these incorrect calculations?,Diagnosis of kidney disease at a later stage and delayed referral to a nephrologist for black Americans when compared to white Americans.,Delayed referral for dialysis for black Americans when compared to white Americans.,Black Americans becoming eligible for the kidney transplant list at a later disease state than white Americans.,Black Americans having delayed access to kidney transplants relative to white Americans.,Black Americans recovering from end stage kidney disease sooner,E,
