title,DAO Final Exam (Summer 2022),dao,final
question,option_a,option_b,option_c,option_d,option_e,correct,image
Ideal Class I Occlusion involves an important first permanent molar relationship where the mesiobuccal cusp of the maxillary first molar is located within the:,Mesiobuccal groove of the mandibular first molar,Distobuccal groove of the mandibular first molar,Buccal groove of the mandibular second molar,Mesiobuccal groove of the mandibular second molar,Distobuccal groove of the mandibular second molar,A,
Where do the lingual cusps of the maxillary teeth occlude in the ideal class I occlusion?,In the buccal embrasure space between mandibular teeth,In the lingual embrasure space between mandibular teeth,In the occlusal fossae of mandibular teeth,,,C,
"Your patient's vertical dimension of rest is 40 mm. Therefore, what is the closest approximation of your patient's vertical dimension of occlusion?",42 mm,38mm,40mm,Cannot measure without more information,,B,
Which is NOT considered part of the Mandible?,Ramus,Angle,Coronoid Process,Mandibular fossa,,D,
Which is NOT a hard tissue of the TMJ?,Condyle,Articular Disc,Temporal Bone,All are hard tissue,,B,
True/ False: The maxilla is NOT involved in the movement of TMJ.,True,False,,,,A,
Leeway Space is defined as:,The primary teeth being wider mesiodistally than the succedaneous teeth,The space mesial to the primary maxillary canine,The space distal to the primary mandibular canine,B and C,,A,
The labial commissure is:,Where the upper and lower lip meet,The red zone of the lips,The border between the skin and the vermillion zone,Found in the center of the upper lip,An elevated nodule of tissue,A,
The following are found on the floor of the mouth except:,Sublingual caruncle,Lingual frenum,Sublingual fold,Rugae,Mucosa,D,
The buccal frenum can be found:,On the ventral surface of the tongue,In the vestibule,On the hard palate,On the soft palate,On the dorsal surface of the tongue,B,
Which is NOT a characteristic of primary teeth?,Primary teeth are less mineralized,Primary teeth are whiter than the secondary teeth,Pulp horns are higher,Primary teeth have more enamel as compared to the secondary teeth,,D,
Which two teeth CANNOT be in the pediatric patient's mouth at the same time? Use Universal Numbering System,K and 19,J and 12,B and 5,E and 24,,C,
Which pediatric tooth is unique in form and does NOT resemble any other tooth?,The primary maxillary first molar,The primary maxillary second molar,The primary mandibular first molar,The primary mandibular second molar,,C,
Taurodontism is,What we call teeth here at Touro,A condition where the pulp chamber is enlarged,A condition where the pulp chamber is decreased in size,A condition where there is excess enamel in the tooth,,B,
Focal Enamel Hypoplasia can be caused by,Genetic Disorder,Trauma,Infection,B and C,All of the above,D,
Which of the following would qualify as partial anodontia? (Use Universal Numbering system),Missing #7 and #10,"Missing #12, #13 and #14",Missing #17-32,All of the above,,D,
True/ False: A peg lateral should not be fixed until a child hits puberty.,True,False,,,,B,
A patient whose mother had syphilis while pregnant might exhibit,Mulberry molars,Hutchinson's Incisors,Amelogenesis Imperfecta,A and B,A and C,D,
Statement 1: The mandibular second premolar can vary in the number of cusps it has. Statement 2: The mandibular second premolar can have more than one occlusal groove scheme.,Both statements are true,Both statements are false,"First statement is true, the second statement is false","Second statement is true, the first is false",,A,
The following statements about maxillary second premolar are true EXCEPT:,Shorter central groove than the maxillary first premolar,Wider marginal ridges than the first premolar,Erupts between ages 8-9,More supplemental grooves,,C,
The following is true of the mandibular first premolar.,The mesial marginal ridge and contact point is more cervical than on the distal,The mesial marginal ridge and the distal marginal ridge are at the same height,There are normally 3 cusps with a Y-shape occlusal anatomy,The tooth does not taper toward the lingual.,,A,
One of the most defining features of the maxillary first premolar is,Short distal marginal ridge,Three roots,Mesial concavity,Most commonly missing posterior tooth,,C,
Which tooth has the longest tooth inciso-cervically of all posterior teeth?,Permanent maxillary first premolar,Permanent maxillary second premolar,Permanent maxillary first molar,Permanent mandibular first molar,,A,
Which teeth (primary or secondary) have the mesial proximal contact positioned more cervically than the distal proximal contact? 1. Mandibular first premolar 2. Primary maxillary canine 3. Primary mandibular canine 4. Mandibular second premolar,1 and 2,3 and 4,2 and 4,1 and 3,,A,
Which of the following grooves radiate out from the central fossa in a mandibular second molar? 1. Central 2. Mesiobuccal 3. Distobuccal 4. Lingual 5. Buccal,"2, 3, 4","1, 4, 5","1, 2, 3","1, 2, 3, 4",,B,
At what age does the permanent mandibular central incisors erupt?,4-5 years,6-7 years,9-10 years,11-12 years,,B,
At what ages is there complete root development in a permanent mandibular first molar?,6 months old,6 years,9 years,12 years,,C,
"In regards the size of the cusps of the Maxillary first molar, please select which list is correct when ranking the cusps BIGGEST to smallest.",ML >MB >DB >DL,DL >DB >ML >MB,MB >DB >ML >DL,ML >DB >MB >DL,,A,
"When looking at the occlusal surface of the Maxillary first molar, which angles are considered acute angles? 1. Mesiolingual 2. Mesiobuccal 3. Distolingual 4. Distobuccal",1 and 4,1 and 3,2 and 3,2 and 4,,C,
From which view are only two roots visible on a maxillary first molar?,Mesial,Distal,Buccal,Lingual,,A,
Which is NOT a trait of the permanent mandibular canines?,Two roots are possible,Two lingual fossa are present,Four cusp ridges are present,Two cusp ridges are visible on the lingual,,D,
Which tooth has the longest crown inciso-cervically of any tooth in the mouth?,Permanent mandibular canine,Permanent maxillary canine,Permanent central incisor,Permanent maxillary first molar,,A,
Which is the longest tooth in the whole mouth? (crown to apex of the root),Permanent Mandibular canines,Permanent Maxillary Canines,Permanent Maxillary First Molar,Permanent Mandibular First Molar,,B,
Which is NOT true of the maxillary lateral incisors?,Cingulum centered,Deepest lingual fossa,Has a distolingual twist,The anterior tooth most likely to have a crown variation,,C,
From the distal view I can see the mesial EXCEPT:,The permanent mandibular first molar,The permanent maxillary central incisor,The permanent mandibular lateral incisor,The permanent maxillary second premolar,,C,
Which tooth has a mesial to mesial contact?,#8,#24,#11,A and B,,D,
Which tooth is the largest tooth mesio-distally of ANY tooth in the permanent dentition?,Maxillary central incisor,Maxillary first molar,Mandibular first molar,Mandibular second molar,,C,
Which is NOT a characteristic of the permanent mandibular central incisors?,Smallest of any tooth,The location of the contact points are the same on the mesial and on the distal,Cingulum is distally located,Lingual surface contours are the smoothest,,C,
"As you move from the anterior teeth, and move posteriorly, all teeth have",More cusps,More grooves,More roots,All of the above,,D,
The permanent mandibular first molar develops from _____ lobes.,4,6,5,3,,C,
Statement 1: All teeth have a facial height of contour on the gingival 1/3. Statement 2: All teeth have their lingual height of contour in the middle 1/3.,Both statements are true,Both statements are false,"First statement is true, the second statement is false","Second statement is true, the first is false",,C,
All teeth taper toward the lingual EXCEPT:,Permanent maxillary first molar,Permanent mandibular second premolar,Permanent mandibular second Molar,A and B,All of the above,D,
The only moveable bone in the skull is:,The temporal bone,The parietal bone,The mandible,The frontal bone,,C,
From which view would you be able to see BOTH the facial and lingual embrasure?,Facial view,Lingual View,Mesial View,Occlusal View,,D,
The anatomical space between the free gingiva and the tooth is called:,Gingival sulcus,Attached gingiva,Mucosa,Interdental papilla,,A,
You are looking at the teeth in you patient's mouth. The portion of the tooth that is above the gingival margin considered:,Clinical Root,Anatomic Root,Clinical Crown,Anatomic Crown,There is not enough information given,C,
All the following tissues in the teeth are considered hard tissue EXCEPT:,Enamel,Dentin,Pulp,Cementum,,C,
Which of the following teeth are succedaneous?,The permanent molars,The primary molars,The permanent premolars,None of the above,,C,
The following teeth are NOT found in the primary dentition:,The maxillary premolars,The mandibular premolars,The maxillary third molars,All of the above,,D,
How many teeth are in each quadrant of the permanent dentition?,16,8,10,5,,B,
