title,GDA Midterm Exam (Spring 2019),gda,midterm
question,option_a,option_b,option_c,option_d,option_e,option_f,correct,image
Which of the following statements is true regarding gametogenesis?,The first meiotic division is a reduction division because the chromosome number is reduced from haploid to diploid.,During meiosis division occurs and chromosome number is reduced from 48 to 24.,The only haploid cells in the body are the egg and the sperm and they each contain 26 chromosomes.,Gametogenesis is important because it ensures a different number of chromosomes from one generation to the next.,,,C,
"Statement 1: Each pair of chromosomes consists of one chromosome from the mother and one from the father. Statement 2: During meiosis, the sex cells divide to produce gametes which contain two sets of chromosomes (2n).",Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,,C,
In what part of the uterus does fertilization occur?,Infundibulum,Ampulla,Isthmus,Mesosalpinx,Ovarian ligament,,B,
Statement 1: The enzyme acrosin aids the sperm in dispersing and penetrating the follicular cells during fertilization. Statement 2: Hyaluronidase lyses the zone pellucida and allows penetration of the sperm into the egg.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement is true.,,,B,
Mitochondrial DNA is inherited,From the mother only.,From the father only.,From both parents.,None of the above.,,,A,
The head of the developing embryo is also referred to as what end?,Caudal end,Sagittal end,Cranial end,Medial end,Proximal end,,C,
Mesenchyme from the 2nd pharyngeal arch gives rise to what group of muscles?,Extraocular muscles,Muscles of facial expression,Muscles of mastication,Muscles of the tongue,,,B,
What is the stomodeum?,Primordia of the ear,Primordia of the eye,Primordia of the chin,Primordia of the mouth,Primordia of the tongue,,D,
What does pharyngeal cleft 1 develop into?,External auditory meatus,Malleus,Tympanic Membrane,Hyoid,,,A,
What artery is related to Pharyngeal Arch 3?,Right subclavian artery,Pulmonary artery,Internal carotid artery,Maxillary artery,None of the above,,C,
What does Cranial Nerve VI control?,Sense of smell,Hearing,Trapezius Movement,Eyeball Movement,None of the above,,D,
A patient presents to your practice 32 weeks pregnant and requires extraction of abscessed tooth #31. What is the appropriate medication for pain management of this patient following her extraction?,Ibuprofen,Codeine,Aspirin,Toradol,Acetaminophen,,E,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,,C,
A 15 week pregnant patient presents to her obstetrician for examination three weeks following the death of her parent. The obstetrician is concerned with increased stress levels due to this traumatic event and the over-secretion of which is the following hormones?,Cortisone,Testosterone,Growth hormone,Secretin,Estrogen,,A,
"What FDA classification is given to drugs that have been proven safe in animal fetal studies but there are currently no adequate, well-controlled studies in humans?",Category A,Category B,Category C,Category D,Category X,,B,
Which of the following is true about diagnostic radiation in relation to pregnant patients?,The FDA states diagnostic radiation is contraindicated in pregnant patients,Use of a lead apron with a thyroid collar is indicated,The risk of birth defects from the radiation from one full mouth series (FMX) is 9 in 1 billion,It is important to communicate and educate expecting patients so that all parties feel comfortable with treatment options,All of the above statements were true.,,A,
The capability of a cell to give rise to several different kinds of specialized cells is known as:,Induction,Complexity,Critical period,Pluripotential,,,D,
"A patient presents to the clinic at which you work and states on her medical history that she is a current illicit drug user. She is visibly pregnant. Which of the following illegal drugs are you concerned she is taking because of the high addiction rates in mother and unborn baby, respiratory distress, severe withdraw symptoms including irritability and convulsions and higher incidence of HIV transmission from mother to fetus?",PCP,Heroin,Cocaine,Marijuana,Methamphetamines,,B,
A patient presents to your office with chief complaint “I have been using Crest white strips but the staining on my teeth has not improved”. On exam he has brown and yellow staining on all of his teeth. You suspect this discoloration is caused by which of the following?,Amoxicillin,Azithromycin,Aspirin,Tetracycline,Tramadol,,D,
Which of the following are consequences of poor maternal nutrition on the developing fetus?,Lower IQ,Increased risk of diabetes,Increased heart disease and high blood pressure,Abnormal brain development,All of the above,,E,
Rubella is the leading cause of what development defect in the developed world?,Blindness,Muscular dystrophy,Attention Deficit Disorder,Congenital heart defects,None of the above,,E,
Which of the following chemicals should women avoid that can be found in dental restorations and canned tuna?,Magnesium,Folic Acid,Calcium,Mercury,Phosphorus,,D,
A patient presents to your office and states on her medical history that she is taking Accutane. This drug is considered to be in what drug category?,Category A,Category B,Category C,Category D,Category X,,E,
Programmed cell death is also known as:,Induction,Complexity,Apoptosis,Pluripotential,,,C,
"Which of the following illegal drugs is related to increased miscarriage, restricted growth, a smaller head size, defects of the genital, kidneys and brain and withdrawal that includes tremors?",PCP,Heroin,Cocaine,Marijuana,Alcohol,,C,
A patient in her second trimester presents to your office for a routine dental restoration. What is the best choice of local anesthetic for pregnant women that need to undergo routine dental procedures?,Articaine,Mepiviciane,Prilocaine,Lidocaine,,,D,
The developing embryo is known as what when it reaches the uterus and implants in the lining?,Morula,Oocyte,Pronucleus,Blastocyst,Zygote,,D,
After birth at what time does the peak velocity of growth occur?,2 months,6 months,12 months,24 months,,,A,
Statement 1: Early childhood is defined by the eruption of the first permanent teeth. Statement 2: Late childhood is the pre-pubertal period and is defined by significant motor development.,Both statements are true.,Both statements are false.,Statement 1 is true. Statement 2 is false.,Statement 1 is false. Statement 2 is true.,,,D,
The Rule of 5's states that from 4 years old until puberty a child will grow approximately 10 centimeters per year.,True,False,,,,,B,
Which of the following statements is TRUE?,Less than 50% of factors related to growth and height are related to genetic control.,Environmental factors will never alter genetics.,"Both eye color and height are additive genes, resulting in a trait somewhere between the mother and the father.",One third of children who have Class III occlusion have a parent with Class III occlusion.,,,D,
Growth in height is fastest in the autumn.,True,False,,,,,B,
The hormone most important in regulating growth and development up until the time of puberty is:,Somatotropin,Thyroid hormone,Cortisol,Estrogen,Human Chorionic Gonadotropin,,A,
What organ system is most targeted by maternal alcohol consumption in the developing fetus?,Cardiovascular (Heart and blood vessels),Pulmonary (lungs),Neural (Brain and spinal cord),Gastrointestinal (Stomach and intestines),,,C,
What defines the period of middle childhood?,The start of puberty,Eruption of the first primary teeth,The eruption of the first permanent teeth,Development of adrenal glands,,,C,
"What specific step in the fertilization process causes a biochemical reaction that stops polyspermy, or the fertilization of the ovum by multiple sperm?",Release of hyaluronidase by the acrosome of the sperm,Formation of the female pronucleus,Cortical reaction,Formation of the ootid,,,C,
Maternal exposure to harmful substances only affects the developing fetus during the first trimester.,True,False,,,,,B,
Heavy drinking during which trimester is most likely to contribute to Fetal Alcohol syndrome?,First trimester,Second trimester,Third trimester,,,,B,
Which of the following characteristics is not likely to be seen in children with Fetal Alcohol Syndrome?,Microcephaly,Smooth philtrum,Thick upper lip,Epicanthal folds,None of the above,,C,
The effects of Fetal Alcohol Syndrome are only apparent in infants and toddlers as children will grow out of the development issues as they reach their teenager years.,True,False,,,,,B,
Smoking in pregnant women is NOT linked to which of the following:,Premature Birth,Low birth weight,Sudden Infant Death Syndrome,Colic,DeGeorge Syndrome,All are linked to smoking,E,
Which of the following is not a sign of supine hypotensive disorder in pregnant women?,Tachycardia,Weakness,Nausea,Sweating,Drop in blood pressure,,A,
Which of the following is NOT true regarding Treacher Collins Syndrome?,Underdevelopment of facial bones,Defects of the lower eyelids,Deformed external ears,Hearing loss,Below normal Intelligence,,E,
Pierre Robbins Syndrome is defined by:,Maxillary hyperplasia,Maxillary hypoplasia,Mandibular hyperplasia,Mandibular hypoplasia,,,D,
The image provided shows which Veau Class of cleft palate?,Class I,Class II,Class III,Clas IV,,,B,images/gda-midterm-spring-2019/fig45.jpeg
What kind of cleft lip is shown in the image provided?,Incomplete unilateral,Incomplete bilateral,Complete unilateral,Complete bilateral,,,A,images/gda-midterm-spring-2019/fig46.jpeg
Which of the following is NOT a goal of the repair of of cleft palates?,To be completed before there is significant speech development,To improve the quality of life of patients,To separate the oral cavity and the maxillary sinuses,To improve ability of child to eat,,,C,
Which of the following is not true of cleft repair regarding the Rule of 10's?,The child must weigh 10 pounds,The child must have a hemoglobin of at least 10 grams,"The child has a WBC count of no higher than 10,000",The child is at least 10 weeks of age,All of the above are true,,E,
Which cranial bone is depicted in green in the provided image?,Temporal,Parietal,Occipital,Ethmoid,Sphenoid,,B,images/gda-midterm-spring-2019/fig49.jpeg
Which of the following statements regarding Crouzon's Syndrome is true?,Frequency is 1000 per 1 million newborns,Crouzon's is an autosomal recessive disorder,Individuals with Crouzon's Syndrome frequently have severe overbites requiring orthodontic treatment.,Early fusion of bones in patient's with Crouzon's leads to abnormal facial anatomy?,,,D,
