title,Cariology Final Exam (Spring 2020),cario,final,"7 questions (about carious lesion types/zones, an enzyme in saliva, and demineralization pH values) were fill-in-the-blank questions in the source, not multiple choice, so they were omitted from this practice exam."
question,option_a,option_b,option_c,option_d,option_e,option_f,option_g,correct,image
Beta Tri-Calcium Phosphate remineralizing toothpaste is also commonly known as:,Prevident,MI Paste,Recaldent,Sensodyne,,,,A,
Which of the following is not an indication for Silver Diamine Fluoride use?,Patients with high caries risk,Patients with low caries risk or no carious lesions,Patients with xerostomia,Patients with early childhood caries,Patients with a silver allergy,Both B and E,,F,
Which cartoon character appeared in almost every slideshow? (Select All That Apply),Scooby Doo,Donald Duck,SpongeBob SquarePants,Mickey Mouse,,,,D,
Root Caries:,Are mainly caused by Actinomyces viscosus,Are Inverted U-Shaped lesions,Initial demineralization follows Sharpey's fibers,Are U-Shaped Lesions,Are V Shaped lesions,"A, C, D","A, B, C",F,
Four basic components of a biofilm are:,"Bacteria micro-colonies, Exopolysaccharide structure, Fluid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Primitive Communication System","Bacteria micro-colonies, Exopolysaccharide structure, Solid Nutrient Channel, Advanced Communication System","Bacteria micro-colonies, Intra-polysaccharide structure, Fluid Nutrient Channel, Primitive Communication System",,,,A,
Adverse effect(s) to the prolonged use of Chlorhexidine may be:,Bad breath,Staining of teeth,Excessive Fluoride buildup,Emergence of more virulent S. Mutans species,B and C,B and D,,F,
Fluorapatite is created by:,Fluoride binding to Hydrogen on the tooth surface,Fluoride binding to Calcium on the layer of the tooth surface,Fluoride binding to Calcium inside the hydroxyapatite,Fluoride binding to Magnesium in the dentin,,,,B,
Dental products need what percentage of Xylitol to have therapeutic effects?,10%,20%,25%,50%,,,,A,
Affected Dentin is:,Unable to be remineralized,Closer to the pulp than infected dentin,Teeming with bacteria,Has very little or no bacteria,Is able to be remineralized,"B, D, E","A, B, C",E,
Fluorapatite has the following effect(s):,Inhibits demineralization by making a less soluble mineral,Improves remineralization by speeding up the reuptake of Ca and P,Inhibits demineralization by making a more soluble mineral,Improves remineralization by slowing down the reuptake of Ca and P,A and B,C and D,,E,
Which of the following statements are true about CPP-ACP :,It is safe for all age groups,It should be used exclusively instead of a fluoride dentifrice,It has a 4-hour substantivity,It can be left on overnight and ingested,A and D,,,E,
The inner affected dentin of a carious lesion is comprised of which zones:,"Turbid, Transparent, and Normal","Infected, Transparent, and Normal","Subtransparent, Transparent, and Normal","Infected, Turbid and Transparent",,,,C,
Agglutinating factors in saliva:,Produce ammonia which raises the pH,Are bactericidal to gram negative bacteria,Lays a coating on the bacterial surfaces so that they stick to each other,Cause Bicarbonate and Hydrogen to combine,,,,C,
The three main forces involved in pellicle formation are:,"Van der Waals, Electrostatic Forces, Hydrophobic forces","Van der Waals, Electrostatic Forces, Hydrophilic forces","Van der Waals, Electronegative Forces, Hydrophobic forces","Van der Waals, Electropositive Forces, Hydrophilic forces",,,,A,
CPP-ACP binds to the tooth structure with:,The same affinity as S. Mutans,More affinity than S. Mutans,Less affinity than S. Mutans,No affinity as compared to S. Mutans,,,,B,
Which statement best describes Triclosan?,"Triclosan is cariogenic at low concentrations, but higher levels are cariostatic","Triclosan is bactericidal at low concentrations, but higher levels are bacteriostatic","Triclosan is bacteriostatic at low concentrations, but higher levels are bactericidal",,,,,C,
Which combination of agents will cause the most teeth staining?,"Cetylpyridinium Chloride, Chlorhexidine, Stannous Fluoride","Cetylpyridinium Chloride, Chlorhexidine, Sodium Monofluorophosphate","Cetrimide, Chlorhexidine, Stannous Fluoride","Cetrimide, Cetylpyridinium Chloride, Sodium Monofluorophosphate",,,,A,
The mechanism of action of Lactoferrin is:,Preventing calcium-phosphate salts on the tooth structure,Binding to free floating iron and preventing uptake by bacterial cells,A hydrolytic enzyme that causes cell lysis,A salivary antibody that prevents bacterial adherence to tooth structure,,,,B,
The advantage of incorporating probiotics into dairy products is:,Their capacity to neutralize acidic conditions,Their capacity to kill all types of cariogenic bacteria,Their capacity to bring Fluoride to the biofilm via emulsion,,,,,A,
The Zombie Effect describes how bacteria that have died from exposure to AgNPs can become:,Releasers of oral biofilms,Carriers of silver nanoparticles,Acidic microenvironments,Carious lesions,,,,B,
The conclusion from a reviewed journal article showed which of the following?,"4 applications of lysozyme, lactoperoxidase and lactoferrin reduced the number of S. Mutans.","3 applications of lysozyme, lactoperoxidase and statherins reduced the number of S. Mutans.","3 applications of lysozyme, lactoperoxidase and latoferrin reduced the number of S. Mutans.","4 applications of lysozyme, lactoperoxidase and salivary IgA reduced the number of S. Mutans.",,,,C,
Fluorapatite is created by:,Fluoride binding to Hydrogen on the tooth surface,Fluoride binding to Calcium on the layer of the tooth surface,Fluoride binding to Calcium inside the hydroxyapatite,Fluoride binding to Magnesium in the dentin,,,,B,
The salivary pellicle:,Is the cellular layer of adsorbed salivary proteins,Is a semi-permeable barrier between the enamel and oral environment,Forms within hours after a dental cleaning,Is the acellular layer of adsorbed salivary proteins,B and D,A and B,,E,
The primary mechanism of action of silver nanoparticles is:,Adherence into silver ions,Adherence and penetration into bacterial cells,Adherence into periodontal defects,,,,,B,
